Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,Antalie Napora,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,Armios Bell,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,Ash Lessard,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,Damoi Tui,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,Eoin Graupelz,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,Igna Phönix,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,Ion Düstertuch,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,Jonah der Entfesselte,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,Minara Anemina,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,Orra Grüntor,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,Thena Moga,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,Tinevin Hochtaub,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,Torr Olgosso,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,Aegis Aurora,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,Heulen des Alphas,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,Ambus Ansturm,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,Andvarius,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,Asenaths sanfte Berührung,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,Aschefetzen,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,Goldgreifer,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,Aurumvorax,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,Schwarzglut,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,Gebeine des Ullr,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,Goldschnabel,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,Schicksalsschlag,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,Bronns Geschmeidigkeit,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,Chernobogs Pfeiler,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,Perandus' Wappen,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,Dornenkrone,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,Daressos Salut,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,Dunkelschimmervektoren,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,Dunkelhohn,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,Todeseile,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,Harfe des Todes,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,Doedres Talent,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,Traumfragmente,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,Höhepunkt der Ezomyten,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,Gesichtsbrecher,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,Fuchsschatten,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,Geofris Taufe,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,Geschenke des Himmels,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,Goldkranz,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,Goldwyrm,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,Herzensbrecher,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,Heißkalt,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,Hrimnors Hymne,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,Infractem,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,Kaltenhalt,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,Karui-Wacht,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,Letzter Ausweg,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,Lichtbann-Gewand,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,Gliedspalter,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,Löwenauges Glanz,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,Löwenauges Pranken,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,Lochtoniale Schmeichler,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,Malachais Simula,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,Marohi Erqi,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,Matua Tupuna,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,Übereinkunft bei Mitternacht,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,Machthäuter,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,Mondkummer,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,Mortem Morsu,1,"<1, 0>",False,True,False,True
