Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,Antalie Napora,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,Armios Bell,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,Ash Lessard,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,Damoi Tui,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,Eoin Greyfur,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,Igna Phoenix,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,Ion Darkshroud,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,Jonah Unchained,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,Minara Anemina,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,Orra Greengate,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,Thena Moga,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,Tinevin Highdove,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,Torr Olgosso,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,Égida de la Aurora,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,Aullido del Alfa,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,Carga de Ambu,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,Andvarius,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,Toque Gentil de Asenath,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,Desgarro de Cenizas,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,Agarre de Oro,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,Aurumvorax,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,Brillo Negro,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,Huesos de Ullr,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,Pico Brillante,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,Impacto Amplio,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,Agilidad de Bronn,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,Pilar de Chernobog,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,Escudo de Armas Perandus,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,Corona de Espinas,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,El Coraje de Daresso,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,Vectores de Rayos Oscuros,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,Desdén Oscuro,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,Frenesí de Muerte,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,Arpa de la Muerte,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,La Ocupación de Doedre,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,Fragmentos de Sueño,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,Cresta Ezomita,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,Rompe Caras,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,Sombra de Zorro,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,Bautismo de Geofri,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,Regalos del Cielo,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,Armazón Dorado,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,Wyrm Dorado,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,Rompe Corazones,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,Temblores de Calor,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,Himno de Hrimnor,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,Infractem,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,Fin del Frío,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,Guarda Karui,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,Último Recurso,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,Atuendo del Fin de la Luz,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,Troza Miembros,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,La Mirada de Lioneye,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,Las Garras de Lioneye,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,Caricia Lochtonial,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,Máscara de Malachai,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,Marohi Erqi,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,Matua Tupuna,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,Trato a Medianoche,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,Desolladora Poderosa,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,Lamentos de Luna,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,Mortem Morsu,1,"<1, 0>",False,True,False,True
