Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,안탈리에 나포라,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,아르미오스 벨,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,애쉬 레사르,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,다모이 투이,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,오언 그레이퍼,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,이그나 피닉스,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,이온 다크슈라우드,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,요나 언체인드,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,미나라 아네미나,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,오라 그린게이트,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,디나 모가,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,타인빈 하이도브,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,토르 오글로소,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,비호의 오로라(Aegis Aurora),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,우두머리의 울부짖음(Alpha's Howl),1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,앰부의 돌진(Ambu's Charge),1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,앤드바리우스(Andvarius),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,아세나스의 부드러운 손길(Asenath's Gentle Touch),1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,부서진 잿더미(Ashrend),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,아우르시즈(Aurseize),1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,금빛 욕망(Aurumvorax),1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,검은 섬광(Blackgleam),1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,울러의 뼈(Bones of Ullr),1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,밝은 부리(Brightbeak),1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,파괴의 살(Broadstroke),1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,브론의 융통성(Bronn's Lithe),1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,체르노보그의 기둥(Chernobog's Pillar),1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,페란두스의 문양(Crest of Perandus),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,가시 왕관(Crown of Thorns),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,다레소의 경례(Daresso's Salute),1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,어두운 빛의 궤적(Darkray Vectors),1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,어두운 냉소(Darkscorn),1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,죽음의 재촉(Death Rush),1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,죽음의 하프(Death's Harp),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,도이드리의 임기(Doedre's Tenure),1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,꿈의 조각(Dream Fragments),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,에조미어의 면갑(Ezomyte Peak),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,페이스브레이커(Facebreaker),1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,여우 그림자(Foxshade),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,조프리의 세례(Geofri's Baptism),1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,하늘에서 내려준 선물(Gifts from Above),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,금테(Goldrim),1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,황금 아룡(Goldwyrm),1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,심장 분쇄기(Heartbreaker),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,열기와 오한(Heatshiver),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,흐림노르의 찬가(Hrimnor's Hymn),1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,침범자(Infractem),1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,붙잡은 냉기(Kaltenhalt),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,카루이의 수호(Karui Ward),1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,최후의 수단(Last Resort),1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,사그라든 빛의 의복(Lightbane Raiment),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,사지 분할기(Limbsplit),1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,라이온아이의 섬광(Lioneye's Glare),1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,라이온아이의 발(Lioneye's Paws),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,록토니얼의 손길(Lochtonial Caress),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,말라카이의 위장막(Malachai's Simula),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,마로히 에르키(Marohi Erqi),1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,마투아 투푸나(Matua Tupuna),1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,심야의 교섭(Midnight Bargain),1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,강력한 가죽칼(Mightflay),1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,달의 슬픔(Moonsorrow),1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,고통스러운 죽음(Mortem Morsu),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt1,8,405,온다르의 걸쇠(Ondar's Clasp),1,"<1, 0>",False,True,False,True
HaveUniqueBelt3,8,413,페란두스 문장(Perandus Blazon),1,"<1, 0>",False,True,False,True
HaveUniqueStaff3,8,421,갇힌 신의 기둥(Pillar of the Caged God),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword4,8,429,여왕의 법령(Queen's Decree),1,"<1, 0>",False,True,False,True
HaveUniqueBow4,8,437,화살 비(Quill Rain),1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt5,8,445,무지갯빛 발걸음(Rainbowstride),1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt1,8,453,래스피스 구체(Rathpith Globe),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe2,8,461,수확자의 추적(Reaper's Pursuit),1,"<1, 0>",False,True,False,True
HaveUniqueOneHandSword1,8,469,붉은 부리(Redbeak),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword1,8,477,리그월드의 돌진(Rigvald's Charge),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt4,8,485,냉기의 시선(Rime Gaze),1,"<1, 0>",False,True,False,True
HaveUniqueShieldStrInt5,8,493,불사조의 비상(Rise of the Phoenix),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt1,8,501,사디마의 손길(Sadima's Touch),1,"<1, 0>",False,True,False,True
HaveUniqueRing13,8,509,샤브론의 계시(Shavronne's Revelation),1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt1,8,517,샤브론의 겉옷(Shavronne's Wrappings),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword2,8,525,오한의 검(Shiversting),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet3,8,533,요정의 숨결(Sidhebreath),1,"<1, 0>",False,True,False,True
HaveUniqueBow2,8,541,은빛 가지(Silverbranch),1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex1,8,549,죄악의 여정(Sin Trek),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex1,8,557,뱀의 손길(Slitherpinch),1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt7,8,565,영혼의 외투(Soul Mantle),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet1,8,573,라즈워의 보석(Stone of Lazhwar),1,"<1, 0>",False,True,False,True
HaveUniqueStaff2,8,581,타린의 오한(Taryn's Shiver),1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe4,8,589,피의 수확자(The Blood Reaper),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex4,8,597,비의 인도자(The Bringer of Rain),1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt3,8,605,계약(The Covenant),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet7,8,613,이그노몬(The Ignomon),1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex1,8,621,송골매(The Peregrine),1,"<1, 0>",False,True,False,True
HaveUniqueStaff1,8,629,이글거리는 손길(The Searing Touch),1,"<1, 0>",False,True,False,True
HaveUniqueSceptre1,8,637,지고의 진리(The Supreme Truth),1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt3,8,645,천둥 주먹(Thunderfist),1,"<1, 0>",False,True,False,True
HaveUniqueRapier1,8,653,티푸아 카이코후루(Tipua Kaikohuru)/속박된 여신(The Goddess Bound),1,"<1, 0>",False,True,False,True
HaveUniqueDagger3,8,661,웅힐의 투박함(Ungil's Gauche),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet15,8,669,빅타리오의 예리함(Victario's Acuity),1,"<1, 0>",False,True,False,True
HaveUniqueWand3,8,677,공허 충전기(Void Battery),1,"<1, 0>",False,True,False,True
HaveUniqueAmulet14,8,685,볼의 헌신(Voll's Devotion),1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrInt1,8,693,파괴의 경야(Wake of Destruction),1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt2,8,701,방랑벽(Wanderlust),1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt1,8,709,기적의 발판(Wondertrap),1,"<1, 0>",False,True,False,True
HaveUniqueBelt1,8,717,웜의 허물(Wurm's Molt),1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt8,8,725,잔데투스의 성직복(Zahndethus' Cassock),1,"<1, 0>",False,True,False,True
UseCurrencyIdentification,1,733,감정 주문서,1,"<2, 0>",False,True,False,True
UseCurrencyPortal,1,734,포탈 주문서,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeToMagic,1,735,진화의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyAddModToMagic,1,736,확장의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyArmourQuality,1,737,방어구 장인의 고철,1,"<2, 0>",False,True,False,True
UseCurrencyWeaponQuality,1,738,대장장이의 숫돌,1,"<2, 0>",False,True,False,True
UseCurrencyRerollMagic,1,739,변화의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketColours,1,740,색채의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyFlaskQuality,1,741,유리직공의 방울,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketNumbers,1,742,쥬얼러 오브,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeRandomly,1,743,기회의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketLinks,1,744,연결의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyConvertToNormal,1,745,정제의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeToRare,1,746,연금술의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyMapQuality,1,747,지도제작자의 끌,1,"<2, 0>",False,True,False,True
UseCurrencyPassiveRefund,1,748,후회의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyRerollRare,1,749,카오스 오브,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeMagicToRare,1,750,제왕의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyGemQuality,1,751,세공사의 프리즘,1,"<2, 0>",False,True,False,True
UseCurrencyRerollImplicit,1,752,축복의 오브,1,"<2, 0>",False,True,False,True
UseCurrencyModValues,1,753,신성한 오브,1,"<2, 0>",False,True,False,True
UseCurrencyAddModToRare,1,754,엑잘티드 오브,1,"<2, 0>",False,True,False,True
UseCurrencyImprintOrb,1,755,영원의 오브,1,"<2, 0>",False,True,False,True
60OnslaughtStrDex,1,756,듀얼리스트,1,"<3, 0>",False,True,False,True
60OnslaughtStr,1,757,머라우더,1,"<3, 0>",False,True,False,True
60OnslaughtDex,1,758,레인저,1,"<3, 0>",False,True,False,True
60OnslaughtDexInt,1,759,쉐도우,1,"<3, 0>",False,True,False,True
60OnslaughtStrInt,1,760,템플러,1,"<3, 0>",False,True,False,True
60OnslaughtInt,1,761,위치,1,"<3, 0>",False,True,False,True
RecipeCurrencyIdentificationShard,1,762,주문서 조각,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToMagicShard,1,763,진화의 파편,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollMagicShard,1,764,변화의 파편,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToRareShard,1,765,연금술의 파편,1,"<4, 0>",False,True,False,True
RecipeCurrencyIdentification,1,766,감정 주문서,1,"<4, 0>",False,True,False,True
RecipeCurrencyAddModToMagic,1,767,확장의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyArmourQuality,1,768,방어구 장인의 고철,1,"<4, 0>",False,True,False,True
RecipeCurrencyWeaponQuality,1,769,대장장이의 숫돌,1,"<4, 0>",False,True,False,True
RecipeCurrencyMapQuality,1,770,지도제작자의 끌,1,"<4, 0>",False,True,False,True
RecipeCurrencyGemQuality,1,771,세공사의 프리즘,1,"<4, 0>",False,True,False,True
RecipeCurrencyFlaskQuality,1,772,유리직공의 방울,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollSocketColours,1,773,색채의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollSocketNumbers,1,774,쥬얼러 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeRandomly,1,775,기회의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToRare,1,776,연금술의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollRare,1,777,카오스 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyConvertToNormal,1,778,정제의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeMagicToRare,1,779,제왕의 오브,1,"<4, 0>",False,True,False,True
RecipeCurrencyModValues,1,780,신성한 오브,1,"<4, 0>",False,True,False,True
RecipeUnidentifiedMagic,1,781,미확인 마법 아이템,1,"<4, 0>",False,True,False,True
RecipeUnidentifiedRare,1,782,미확인 희귀 아이템,1,"<4, 0>",False,True,False,True
RecipeAmulet1,1,783,파우아 목걸이,1,"<4, 0>",False,True,False,True
RecipeAmulet2,1,784,산호 목걸이,1,"<4, 0>",False,True,False,True
RecipeRing5,1,785,토파즈 반지,1,"<4, 0>",False,True,False,True
RecipeRing6,1,786,사파이어 반지,1,"<4, 0>",False,True,False,True
RecipeRing7,1,787,루비 반지,1,"<4, 0>",False,True,False,True
RecipeAmulet8,1,788,터키석 목걸이,1,"<4, 0>",False,True,False,True
RecipeAmulet9,1,789,마노 목걸이,1,"<4, 0>",False,True,False,True
RecipeAmulet10,1,790,황수정 목걸이,1,"<4, 0>",False,True,False,True
RecipeAnyLifeFlask,1,791,임의의 생명력 플라스크,1,"<4, 0>",False,True,False,True
RecipeAnyManaFlask,1,792,임의의 마나 플라스크,1,"<4, 0>",False,True,False,True
RecipeAnyHybridFlask,1,793,임의의 하이브리드 플라스크,1,"<4, 0>",False,True,False,True
RecipeMap,1,794,임의의 지도,1,"<4, 0>",False,True,False,True
RecipeGem,1,795,임의의 젬,1,"<4, 0>",False,True,False,True
OpenMapTier1_1,1,796,지하실,1,"<5, 0>",False,True,False,True
OpenMapTier1_2,1,797,던전,1,"<5, 0>",False,True,False,True
OpenMapTier1_3,1,798,석굴,1,"<5, 0>",False,True,False,True
OpenMapTier1_4,1,799,무성한 유적,1,"<5, 0>",False,True,False,True
OpenMapTier1_5,1,800,사구,1,"<5, 0>",False,True,False,True
OpenMapTier1_6,1,801,말라붙은 호수,1,"<5, 0>",False,True,False,True
OpenMapTier1_7,1,802,열대 섬,1,"<5, 0>",False,True,False,True
OpenMapTier2_1,1,803,부두,1,"<5, 0>",False,True,False,True
OpenMapTier2_2,1,804,병기창,1,"<5, 0>",False,True,False,True
OpenMapTier2_3,1,805,잡목림,1,"<5, 0>",False,True,False,True
OpenMapTier2_4,1,806,산 바위 턱,1,"<5, 0>",False,True,False,True
OpenMapTier2_5,1,807,공동묘지,1,"<5, 0>",False,True,False,True
OpenMapTier2_6,1,808,하수도,1,"<5, 0>",False,True,False,True
OpenMapTier2_7,1,809,상점가,1,"<5, 0>",False,True,False,True
OpenMapTier3_1,1,810,빈민촌,1,"<5, 0>",False,True,False,True
OpenMapTier3_2,1,811,거미 소굴,1,"<5, 0>",False,True,False,True
