Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,Antalie Napora,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,Armios Bel Test this is a local edit,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,Ash Lessard,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,Damoi Tui,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,Eoin Greyfur Test this is a browser edit,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,Igna Fênix,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,Ion Darkshroud,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,Jonah Unchained,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,Minara Anemina,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,Orra Greengate,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,Thena Moga,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,Tinevin Highdove,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,Torr Olgosso,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,Égide Aurora,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,Uivo do Alfa,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,Investida de Ambu,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,Andvarius,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,Toque Gentil de Asenath,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,Ashrend,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,Aurseize,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,Aurumvorax,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,Brilho-Negro,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,Ossos de Ullr,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,Ponta-Clara,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,Golpe-Largo,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,Agilidade de Bronn,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,Pilar de Chernobog,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,Brasão de Perandus,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,Coroa de Espinhos,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,Saudação de Daresso,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,Vetores do Raio Sombrio,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,Desdém Sombrio,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,Pressa da Morte,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,Arpa da Morte,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,Mandato de Doedre,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,Fragmentos dos Sonhos,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,Pico Ezomita,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,Quebra-Cara,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,Sombra da Raposa,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,Batismo de Geofri,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,Presentes do Céu,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,Aro de Ouro,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,Wyrm Dourada,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,Destruidor de Corações,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,Calafrio Quente,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,Hino de Hrimnor,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,Infractem,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,Kaltenhalt,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,Proteção Karui,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,Último Recurso,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,Vestes da Ruína da Luz,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,Desmembrador,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,Deslumbre de Lioneye,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,Patas de Lioneye,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,Cuidado Lochtonial,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,Simula de Malachai,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,Marohi Erqi,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,Matua Tupuna,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,Barganha da Meia-Noite,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,Esfola Poderosa,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,Pesar da Lua,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,Mortem Morsu,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt1,8,405,Fivela de Ondar,1,"<1, 0>",False,True,False,True
HaveUniqueBelt3,8,413,Brasão de Perandus,1,"<1, 0>",False,True,False,True
HaveUniqueStaff3,8,421,Pilar do Deus Aprisionado,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword4,8,429,Decreto da Rainha,1,"<1, 0>",False,True,False,True
HaveUniqueBow4,8,437,Chuva de Penas,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt5,8,445,Passo do Arco-Íris,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt1,8,453,Globo de Rathpith,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe2,8,461,Perseguição do Ceifador,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandSword1,8,469,Bico Vermelho,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword1,8,477,Investida de Rigvald,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt4,8,485,Olhar da Geada,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStrInt5,8,493,Ascensão da Fênix,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt1,8,501,Toque de Sadima,1,"<1, 0>",False,True,False,True
HaveUniqueRing13,8,509,Revelação de Shavronne,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt1,8,517,Vestimenta de Shavronne,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword2,8,525,Ferroada Arrepiante,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet3,8,533,Sopro dos Sidhe,1,"<1, 0>",False,True,False,True
HaveUniqueBow2,8,541,Ramo Argênteo,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex1,8,549,Jornada do Pecado,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex1,8,557,Aperto Escorregadio,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt7,8,565,Manto d'Alma,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet1,8,573,Pedra de Lazhwar,1,"<1, 0>",False,True,False,True
HaveUniqueStaff2,8,581,Tremor de Taryn,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe4,8,589,O Ceifador de Sangue,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex4,8,597,O Portador da Chuva,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt3,8,605,O Pacto,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet7,8,613,O Ignomon,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex1,8,621,O Peregrino,1,"<1, 0>",False,True,False,True
HaveUniqueStaff1,8,629,O Toque Lancinante,1,"<1, 0>",False,True,False,True
HaveUniqueSceptre1,8,637,A Verdade Suprema,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt3,8,645,Punho do Trovão,1,"<1, 0>",False,True,False,True
HaveUniqueRapier1,8,653,Tipua Kaikohuru/O Vínculo da Deusa,1,"<1, 0>",False,True,False,True
HaveUniqueDagger3,8,661,Desastre de Ungil,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet15,8,669,Acuidade de Victario,1,"<1, 0>",False,True,False,True
HaveUniqueWand3,8,677,Bateria do Vácuo,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet14,8,685,Devoção de Voll,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrInt1,8,693,Despertar da Destruição,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt2,8,701,Sede de Viajar,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt1,8,709,Armadilha Maravilhosa,1,"<1, 0>",False,True,False,True
HaveUniqueBelt1,8,717,Couro de Wurm,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt8,8,725,Batina de Zahndetos,1,"<1, 0>",False,True,False,True
UseCurrencyIdentification,1,733,Pergaminho de Sabedoria,1,"<2, 0>",False,True,False,True
UseCurrencyPortal,1,734,Pergaminho de Portal,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeToMagic,1,735,Orbe de Transmutação,1,"<2, 0>",False,True,False,True
UseCurrencyAddModToMagic,1,736,Orbe da Ampliação,1,"<2, 0>",False,True,False,True
UseCurrencyArmourQuality,1,737,Sucata do Armeiro,1,"<2, 0>",False,True,False,True
UseCurrencyWeaponQuality,1,738,Amolador do Ferreiro,1,"<2, 0>",False,True,False,True
UseCurrencyRerollMagic,1,739,Orbe de Alteração,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketColours,1,740,Orbe Cromático,1,"<2, 0>",False,True,False,True
UseCurrencyFlaskQuality,1,741,Bugiganga do Vidreiro,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketNumbers,1,742,Orbe do Joalheiro,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeRandomly,1,743,Orbe da Chance,1,"<2, 0>",False,True,False,True
UseCurrencyRerollSocketLinks,1,744,Orbe da Fusão,1,"<2, 0>",False,True,False,True
UseCurrencyConvertToNormal,1,745,Orbe do Expurgo,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeToRare,1,746,Orbe da Alquimia,1,"<2, 0>",False,True,False,True
UseCurrencyMapQuality,1,747,Cinzel do Cartógrafo,1,"<2, 0>",False,True,False,True
UseCurrencyPassiveRefund,1,748,Orbe do Arrependimento,1,"<2, 0>",False,True,False,True
UseCurrencyRerollRare,1,749,Orbe do Caos,1,"<2, 0>",False,True,False,True
UseCurrencyUpgradeMagicToRare,1,750,Orbe Real,1,"<2, 0>",False,True,False,True
UseCurrencyGemQuality,1,751,Prisma do Lapidário,1,"<2, 0>",False,True,False,True
UseCurrencyRerollImplicit,1,752,Orbe Abençoado,1,"<2, 0>",False,True,False,True
UseCurrencyModValues,1,753,Orbe Divino,1,"<2, 0>",False,True,False,True
UseCurrencyAddModToRare,1,754,Orbe Exaltado,1,"<2, 0>",False,True,False,True
UseCurrencyImprintOrb,1,755,Orbe Eterno,1,"<2, 0>",False,True,False,True
60OnslaughtStrDex,1,756,Duelista,1,"<3, 0>",False,True,False,True
60OnslaughtStr,1,757,Marauder,1,"<3, 0>",False,True,False,True
60OnslaughtDex,1,758,Caçadora,1,"<3, 0>",False,True,False,True
60OnslaughtDexInt,1,759,Sombra,1,"<3, 0>",False,True,False,True
60OnslaughtStrInt,1,760,Templário,1,"<3, 0>",False,True,False,True
60OnslaughtInt,1,761,Bruxa,1,"<3, 0>",False,True,False,True
RecipeCurrencyIdentificationShard,1,762,Fragmento de Pergaminho,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToMagicShard,1,763,Fragmento da Transmutação,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollMagicShard,1,764,Fragmento da Alteração,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToRareShard,1,765,Fragmento da Alquimia,1,"<4, 0>",False,True,False,True
RecipeCurrencyIdentification,1,766,Pergaminho de Sabedoria,1,"<4, 0>",False,True,False,True
RecipeCurrencyAddModToMagic,1,767,Orbe da Ampliação,1,"<4, 0>",False,True,False,True
RecipeCurrencyArmourQuality,1,768,Sucata do Armeiro,1,"<4, 0>",False,True,False,True
RecipeCurrencyWeaponQuality,1,769,Amolador do Ferreiro,1,"<4, 0>",False,True,False,True
RecipeCurrencyMapQuality,1,770,Cinzel do Cartógrafo,1,"<4, 0>",False,True,False,True
RecipeCurrencyGemQuality,1,771,Prisma do Lapidário,1,"<4, 0>",False,True,False,True
RecipeCurrencyFlaskQuality,1,772,Bugiganga do Vidreiro,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollSocketColours,1,773,Orbe Cromático,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollSocketNumbers,1,774,Orbe do Joalheiro,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeRandomly,1,775,Orbe da Chance,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeToRare,1,776,Orbe da Alquimia,1,"<4, 0>",False,True,False,True
RecipeCurrencyRerollRare,1,777,Orbe do Caos,1,"<4, 0>",False,True,False,True
RecipeCurrencyConvertToNormal,1,778,Orbe do Expurgo,1,"<4, 0>",False,True,False,True
RecipeCurrencyUpgradeMagicToRare,1,779,Orbe Real,1,"<4, 0>",False,True,False,True
RecipeCurrencyModValues,1,780,Orbe Divino,1,"<4, 0>",False,True,False,True
RecipeUnidentifiedMagic,1,781,Item Mágico Não Identificado,1,"<4, 0>",False,True,False,True
RecipeUnidentifiedRare,1,782,Item Raro Não Identificado,1,"<4, 0>",False,True,False,True
RecipeAmulet1,1,783,Amuleto Paua,1,"<4, 0>",False,True,False,True
RecipeAmulet2,1,784,Amuleto Coral,1,"<4, 0>",False,True,False,True
RecipeRing5,1,785,Anel de Topázio,1,"<4, 0>",False,True,False,True
RecipeRing6,1,786,Anel de Safira,1,"<4, 0>",False,True,False,True
RecipeRing7,1,787,Anel de Rubi,1,"<4, 0>",False,True,False,True
RecipeAmulet8,1,788,Amuleto de Turquesa,1,"<4, 0>",False,True,False,True
RecipeAmulet9,1,789,Amuleto de Ágata,1,"<4, 0>",False,True,False,True
RecipeAmulet10,1,790,Amuleto de Citrina,1,"<4, 0>",False,True,False,True
RecipeAnyLifeFlask,1,791,Qualquer Frasco de Vida,1,"<4, 0>",False,True,False,True
RecipeAnyManaFlask,1,792,Qualquer Frasco de Mana,1,"<4, 0>",False,True,False,True
RecipeAnyHybridFlask,1,793,Qualquer Frasco Híbrido,1,"<4, 0>",False,True,False,True
RecipeMap,1,794,Qualquer Mapa,1,"<4, 0>",False,True,False,True
RecipeGem,1,795,Qualquer Gema,1,"<4, 0>",False,True,False,True
OpenMapTier1_1,1,796,Cripta,1,"<5, 0>",False,True,False,True
OpenMapTier1_2,1,797,Masmorra,1,"<5, 0>",False,True,False,True
OpenMapTier1_3,1,798,Gruta,1,"<5, 0>",False,True,False,True
OpenMapTier1_4,1,799,Ruína Coberta,1,"<5, 0>",False,True,False,True
OpenMapTier1_5,1,800,Dunas,1,"<5, 0>",False,True,False,True
OpenMapTier1_6,1,801,Lago Seco,1,"<5, 0>",False,True,False,True
OpenMapTier1_7,1,802,Ilha Tropical,1,"<5, 0>",False,True,False,True
OpenMapTier2_1,1,803,Cais,1,"<5, 0>",False,True,False,True
OpenMapTier2_2,1,804,Arsenal,1,"<5, 0>",False,True,False,True
OpenMapTier2_3,1,805,Matagal,1,"<5, 0>",False,True,False,True
OpenMapTier2_4,1,806,Desfiladeiro da Montanha,1,"<5, 0>",False,True,False,True
OpenMapTier2_5,1,807,Cemitério,1,"<5, 0>",False,True,False,True
OpenMapTier2_6,1,808,Esgoto,1,"<5, 0>",False,True,False,True
OpenMapTier2_7,1,809,Arcada,1,"<5, 0>",False,True,False,True
OpenMapTier3_1,1,810,Gueto,1,"<5, 0>",False,True,False,True
OpenMapTier3_2,1,811,Covil da Aranha,1,"<5, 0>",False,True,False,True
OpenMapTier3_3,1,812,Pirâmide Vaal,1,"<5, 0>",False,True,False,True
OpenMapTier3_4,1,813,Recife,1,"<5, 0>",False,True,False,True
OpenMapTier3_5,1,814,Nascentes,1,"<5, 0>",False,True,False,True
OpenMapTier3_6,1,815,Gêiser de Lama,1,"<5, 0>",False,True,False,True
OpenMapTier4_1,1,816,Catacumbas,1,"<5, 0>",False,True,False,True
