Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,Анталия Напора,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,Армис Белл,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,Эш Лессар,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,Дамои Туи,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,Эойн Седовласый,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,Игна Феникс,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,Иона Тёмный Саван,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,Иона Освобожденный,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,Минара Анемина,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,Орра Зеленые врата,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,Фина Мога,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,Тиневий Боголюб,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,Торр Олгоссон,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,Эгида Авроры,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,Вой Альфы,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,Раж Амбу,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,Андвариус,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,Мягкое касание Азенат,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,Пепел,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,Златохваты,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,Аурумворакс,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,Отсвет мрака,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,Кости Уллра,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,Сияющий клюв,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,Тугой натяг,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,Гибкость Бронна,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,Столп Чернобога,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,Щит семьи Перандус,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,Терновый венец,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,Салют Дарессо,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,Несущие тьму,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,Чёрная насмешка,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,Смертельная спешка,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,Арфа смерти,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,Власть Доэдре,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,Осколки снов,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,Триумф эзомита,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,Мордобои,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,Лисья тень,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,Благословение Джофри,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,Дары небес,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,Золотой колпак,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,Золотые полозы,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,Губитель сердец,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,Лёд и пламень,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,Гимн Гримнора,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,Инфрактам,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,Кальтенхалт,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,Оберег каруи,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,Последнее средство,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,Ряса отступника,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,Рукоруб,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,Взор Львиного глаза,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,Лапы Львиного глаза,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,Ласка Локтона,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,Личина Малахая,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,Марохи Эрки,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,Матуа Тапуна,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,Полуночная сделка,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,Свежеватель,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,Тоска луны,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,Укус смерти,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt1,8,405,Объятия Ондара,1,"<1, 0>",False,True,False,True
HaveUniqueBelt3,8,413,Герб рода Перандус,1,"<1, 0>",False,True,False,True
HaveUniqueStaff3,8,421,Столп пленённого бога,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword4,8,429,Царский указ,1,"<1, 0>",False,True,False,True
HaveUniqueBow4,8,437,Ливень перьев,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt5,8,445,Радужная поступь,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt1,8,453,Вал мёртвых,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe2,8,461,Погоня жнеца,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandSword1,8,469,Красный клюв,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword1,8,477,Клич Ригвальда,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt4,8,485,Ледяной взгляд,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStrInt5,8,493,Возрождение Феникса,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt1,8,501,Касание Садимы,1,"<1, 0>",False,True,False,True
HaveUniqueRing13,8,509,Откровение Шавронн,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt1,8,517,Наряд Шавронн,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword2,8,525,Дрожащее жало,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet3,8,533,Дыхание Ши,1,"<1, 0>",False,True,False,True
HaveUniqueBow2,8,541,Серебряная ветвь,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex1,8,549,Поход Греха,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex1,8,557,Ползучий хват,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt7,8,565,Покров духа,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet1,8,573,Камень Лазвара,1,"<1, 0>",False,True,False,True
HaveUniqueStaff2,8,581,Дрожь Тарина,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe4,8,589,Кровавый жнец,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex4,8,597,Несущий дождь,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt3,8,605,Договор,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet7,8,613,Гномон,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex1,8,621,Чужестранец,1,"<1, 0>",False,True,False,True
HaveUniqueStaff1,8,629,Опаляющее касание,1,"<1, 0>",False,True,False,True
HaveUniqueSceptre1,8,637,Высшая истина,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt3,8,645,Кулаки грома,1,"<1, 0>",False,True,False,True
HaveUniqueRapier1,8,653,Типуа Каикохуру / Запрет богини,1,"<1, 0>",False,True,False,True
HaveUniqueDagger3,8,661,Кинжал Ангила,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet15,8,669,Проницательность Виктарио,1,"<1, 0>",False,True,False,True
HaveUniqueWand3,8,677,Накопитель пустоты,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet14,8,685,Благочестие Волла,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrInt1,8,693,Зачинщики разрушений,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt2,8,701,Странники,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt1,8,709,Ведущие к чудесам,1,"<1, 0>",False,True,False,True
HaveUniqueBelt1,8,717,Кожа Змия,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt8,8,725,Сутана Зандитуса,1,"<1, 0>",False,True,False,True
UseCurrencyIdentification,1,733,Свиток мудрости,1,"<2, 0>",False,True,False,True
UseCurrencyPortal,1,734,Свиток портала,1,"<2, 0>",False,True,False,True
