Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,Antalie Napora,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,Armios Bell,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,Ash Lessard,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,Damoi Tui,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,Eoin Greyfur,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,Igna Phoenix,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,Ion Darkshroud,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,Jonah Unchained,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,Minara Anemina,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,Orra Greengate,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,Thena Moga,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,Tinevin Highdove,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,Torr Olgosso,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,Aegis Aurora,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,Alpha's Howl,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,Ambu's Charge,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,Andvarius,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,Asenath's Gentle Touch,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,Ashrend,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,Aurseize,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,Aurumvorax,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,Blackgleam,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,Bones of Ullr,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,Brightbeak,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,Broadstroke,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,Bronn's Lithe,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,Chernobog's Pillar,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,Crest of Perandus,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,Crown of Thorns,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,Daresso's Salute,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,Darkray Vectors,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,Darkscorn,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,Death Rush,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,Death's Harp,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,Doedre's Tenure,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,Dream Fragments,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,Ezomyte Peak,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,Facebreaker,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,Foxshade,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,Geofri's Baptism,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,Gifts from Above,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,Goldrim,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,Goldwyrm,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,Heartbreaker,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,Heatshiver,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,Hrimnor's Hymn,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,Infractem,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,Kaltenhalt,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,Karui Ward,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,Last Resort,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,Lightbane Raiment,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,Limbsplit,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,Lioneye's Glare,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,Lioneye's Paws,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,Lochtonial Caress,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,Malachai's Simula,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,Marohi Erqi,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,Matua Tupuna,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,Midnight Bargain,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,Mightflay,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,Moonsorrow,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,Mortem Morsu,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt1,8,405,Ondar's Clasp,1,"<1, 0>",False,True,False,True
