Id,Unknown0,Unknown1,Name,CompletionsRequired,AchievementsKey,Unknown2,Unknown3,Unknown4,Unknown5
KillExileRanger3,1,0,安塔莉．娜波菈,1,"<0, 0>",False,True,False,True
KillExileDuelist2,1,1,阿密歐斯．貝爾 ,1,"<0, 0>",False,True,False,True
KillExileShadow2,1,2,艾許．萊薩德 ,1,"<0, 0>",False,True,False,True
KillExileMarauder2,1,3,達莫伊．圖依,1,"<0, 0>",False,True,False,True
KillExileTemplar1,1,4,灰髮艾歐恩,1,"<0, 0>",False,True,False,True
KillExileWitch2,1,5,伊格娜．鳳凰 ,1,"<0, 0>",False,True,False,True
KillExileShadow1,1,6,暗霧者伊恩,1,"<0, 0>",False,True,False,True
KillExileMarauder1,1,7,奔放者強納,1,"<0, 0>",False,True,False,True
KillExileWitch1,1,8,米娜菈．艾妮米娜 ,1,"<0, 0>",False,True,False,True
KillExileRanger1,1,9,青門之士歐拉,1,"<0, 0>",False,True,False,True
KillExileRanger2,1,10,緹也娜．摩迦,1,"<0, 0>",False,True,False,True
KillExileTemplar2,1,11,媞娜雯．愛朵,1,"<0, 0>",False,True,False,True
KillExileDuelist1,1,12,托爾．歐柯索,1,"<0, 0>",False,True,False,True
HaveUniqueShieldStrInt4,8,13,幻芒聖盾,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex5,8,21,極地之嗥,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt2,8,29,安姆布的戰甲,1,"<1, 0>",False,True,False,True
HaveUniqueRing3,8,37,貪慾之記,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt3,8,45,安賽娜絲的安撫之語,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex3,8,53,燼裂,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex2,8,61,奧爾之握,1,"<1, 0>",False,True,False,True
HaveUniqueRapier2,8,69,金獾,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver1,8,77,黑炎之芒,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt4,8,85,烏勒爾之骨,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandMace1,8,93,光耀之錘,1,"<1, 0>",False,True,False,True
HaveUniqueQuiver2,8,101,疾襲之鋒,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex5,8,109,布隆的影衣,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStr3,8,117,邪神之柱,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex2,8,125,普蘭德斯之徽,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt1,8,133,刺棘之冠,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet13,8,141,德瑞索的戰禮,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex2,8,149,暗雷,1,"<1, 0>",False,True,False,True
HaveUniqueBow5,8,157,夜吟,1,"<1, 0>",False,True,False,True
HaveUniqueRing12,8,165,亡者呼喚,1,"<1, 0>",False,True,False,True
HaveUniqueBow3,8,173,冥使之琴,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt2,8,181,德瑞的精神手套,1,"<1, 0>",False,True,False,True
HaveUniqueRing5,8,189,夢語之痕,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStr1,8,197,艾茲麥的榮光,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt2,8,205,毀面者,1,"<1, 0>",False,True,False,True
HaveUniqueBodyDex4,8,213,狐毛鎧,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace2,8,221,吉爾菲的淨罪之錘,1,"<1, 0>",False,True,False,True
HaveUniqueRing11,8,229,神賜,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex3,8,237,金縷帽,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex2,8,245,龍炎足跡,1,"<1, 0>",False,True,False,True
HaveUniqueDagger4,8,253,裂心刃,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDex2,8,261,寒焰,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace1,8,269,雷姆諾的奪命樂具,1,"<1, 0>",False,True,False,True
HaveUniqueBow7,8,277,是我神創世,1,"<1, 0>",False,True,False,True
HaveUniqueShieldDex1,8,285,冰霜之鏡,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet5,8,293,卡魯的戰徽,1,"<1, 0>",False,True,False,True
HaveUniqueClaw4,8,301,終息,1,"<1, 0>",False,True,False,True
HaveUniqueBodyStrInt4,8,309,魔道之衣,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe3,8,317,斷罪,1,"<1, 0>",False,True,False,True
HaveUniqueBow1,8,325,獅眼的戰弓,1,"<1, 0>",False,True,False,True
HaveUniqueBootsStrDex1,8,333,獅眼的鬥志,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStr1,8,341,意識之緣,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetDexInt1,8,349,瑪拉凱的祭具,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandMace3,8,357,爾奇的巨靈之錘,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt2,8,365,遠祖之顱,1,"<1, 0>",False,True,False,True
HaveUniqueWand2,8,373,冥約,1,"<1, 0>",False,True,False,True
HaveUniqueDagger2,8,381,力量獵刃,1,"<1, 0>",False,True,False,True
HaveUniqueWand1,8,389,泣月,1,"<1, 0>",False,True,False,True
HaveUniqueClaw2,8,397,噬魂之牙,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesDexInt1,8,405,恩德的迅影,1,"<1, 0>",False,True,False,True
HaveUniqueBelt3,8,413,普蘭德斯之印,1,"<1, 0>",False,True,False,True
HaveUniqueStaff3,8,421,囚神杵,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword4,8,429,威嚴之刃,1,"<1, 0>",False,True,False,True
HaveUniqueBow4,8,437,驟雨之弦,1,"<1, 0>",False,True,False,True
HaveUniqueBootsInt5,8,445,虹幕,1,"<1, 0>",False,True,False,True
HaveUniqueShieldInt1,8,453,獻祭之心,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe2,8,461,死神的取魂器,1,"<1, 0>",False,True,False,True
HaveUniqueOneHandSword1,8,469,赤紅短刃,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword1,8,477,瑞佛的奮戰長劍,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetInt4,8,485,酷寒的凝視,1,"<1, 0>",False,True,False,True
HaveUniqueShieldStrInt5,8,493,烈炎之翼,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesInt1,8,501,獵寶者的護手,1,"<1, 0>",False,True,False,True
HaveUniqueRing13,8,509,薛朗的啟示之環,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt1,8,517,薛朗的護身長袍,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandSword2,8,525,寒光劍,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet3,8,533,魔靈之符,1,"<1, 0>",False,True,False,True
HaveUniqueBow2,8,541,幻銀之弦,1,"<1, 0>",False,True,False,True
HaveUniqueBootsDex1,8,549,敏銳思維,1,"<1, 0>",False,True,False,True
HaveUniqueGlovesStrDex1,8,557,蒼蟒之鱗,1,"<1, 0>",False,True,False,True
HaveUniqueBodyInt7,8,565,祖靈之約,1,"<1, 0>",False,True,False,True
HaveUniqueAmulet1,8,573,拉茲瓦的靈石,1,"<1, 0>",False,True,False,True
HaveUniqueStaff2,8,581,塔林的顫慄之語,1,"<1, 0>",False,True,False,True
HaveUniqueTwoHandAxe4,8,589,竭血之鐮,1,"<1, 0>",False,True,False,True
HaveUniqueHelmetStrDex4,8,597,祭禮之雨,1,"<1, 0>",False,True,False,True
