Id,DisplayedName,Description,Index3,Icon_DDSFile,ActiveSkillTargetTypes,ActiveSkillTypeKeys,WeaponRestriction_ItemClassesKeys,WebsiteDescription,WebsiteImage,Flag0,Unknown0,Flag1,SkillTotemId,IsManuallyCasted,Input_StatKeys,Output_StatKeys,MinionActiveSkillTypes,Flag2,Flag3,Keys0,Unknown1,Key0,Flag4,AIFile,Keys1,Flag5,Flag6,Flag7
sweep,Barrido,"Golpea en círculo con un arma cuerpo a cuerpo a dos manos, empujando monstruos alrededor del personaje.",Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.",http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg,False,Sweep,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_sweep,Barrido vaal,Golpea repetidamente en círculos con un arma a dos manos cuerpo a cuerpo empujando a los monstruos lejos del personaje.,Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]",,,True,,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
ground_slam,Impacto sísmico,"El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja hacia adelante, daña enemigos y tiene probabilidad aumentada de aturdirlos.",GroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,False,GroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam,Impacto sísmico vaal,"El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja en todas direcciones y daña a los enemigos con una probabilidad aumentada de aturdir.",VaalGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]",,,True,,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
distance_scaled_ground_slam,Impacto sísmico,"Golpea el suelo frente a ti y crea una onda que viaja hacia adelante, daña enemigos y tiene probabilidad aumentada de aturdirlos. La onda inflige más daño a los enemigos cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.",DistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,True,DistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,"[<3439, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam_spiked,Impacto sísmico vaal,"Golpea el suelo frente a ti y crea una onda que viaja en todas direcciones y que daña a los enemigos con una probabilidad aumentada de aturdir. La onda inflige más daño a los enemigos cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.",VaalDistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]",,,True,VaalDistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
cleave,Hendidura,El personaje golpea en arco con su arma (o ambas armas si empuña dos) y daña a los monstruos en un área en frente de él. Solo funciona con hachas y espadas.,Cleave,Art/2DArt/SkillIcons/iconcleave.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <43, 0>, <27, 0>]","[<9, 0>, <10, 0>, <11, 0>, <15, 0>, <16, 0>]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.",http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg,False,Cleave,False,21,True,"[<3986, 0>, <4208, 0>, <4178, 0>, <5383, 0>]","[<24, 0>, <70, 0>, <434, 0>, <5420, 0>]",[],True,True,"[<5385, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
shield_charge,Carga con escudo,Carga hacia un enemigo y lo aporrea con el escudo para golpearlo. Esto lo empuja y aturde. Los enemigos en su camino son empujados a un costado. El daño y el aturdimiento son proporcionales a la distancia recorrida. No puede ser asistido por Golpe Múltiple.,ShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2]","[<0, 0>, <19, 0>, <20, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,True,ShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_shield_charge,Carga con escudo,"Carga hacia un lugar u objetivo, empujando a los enemigos en tu camino e infligiendo daño repetidamente en una pequeña área delante de ti. Haces daño en un área más grande cuando alcanzas el objetivo. Cuanto más lejos te traslades, mayor será el daño que inflijas y la probabilidad de aturdir enemigos. No puede ser asistido por Golpe Múltiple.",NewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_new_shield_charge,Carga con escudo,"Carga hacia un lugar u enemigo, empujando a los enemigos en tu camino e infligiendo daño con la mano secundaria repetidamente en una pequeña área delante de ti. Haces daño en un área más grande cuando alcanzas el objetivo. Cuanto más lejos te traslades, mayor será el daño que inflijas y la probabilidad de aturdir enemigos. No puede ser asistido por Golpe Múltiple.",NewNewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>, <27, 0>]","[<26, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
