Id,DisplayedName,Description,Index3,Icon_DDSFile,ActiveSkillTargetTypes,ActiveSkillTypeKeys,WeaponRestriction_ItemClassesKeys,WebsiteDescription,WebsiteImage,Flag0,Unknown0,Flag1,SkillTotemId,IsManuallyCasted,Input_StatKeys,Output_StatKeys,MinionActiveSkillTypes,Flag2,Flag3,Keys0,Unknown1,Key0,Flag4,AIFile,Keys1,Flag5,Flag6,Flag7
sweep,ควง (Sweep),เหวี่ยง อาวุธสองมือประชิด เป็นวงกลม ทำให้มอนสเตอร์รอบตัวละครถูกผลักออกไป,Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.",http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg,False,Sweep,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_sweep,วาล์ ควง (Vaal Sweep),เหวี่ยง อาวุธสองมือประชิด ซ้ำๆ เป็นวงกลม ทำให้มอนสเตอร์รอบตัวละครถูกผลักออกไป,Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]",,,True,,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
ground_slam,ทุบพื้น (Ground Slam),"ตัวละครทำการทุบพื้นด้านหน้าด้วย ไม้พลอง, กระบอง หรือ คทา สร้างคลื่นพลังที่เคลื่อนที่ไปข้างหน้าซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง และมีโอกาสสร้างสถานะ มึนงง เพิ่มขึ้น",GroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,False,GroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam,วาล์ ทุบพื้น (Vaal Ground Slam),ตัวละครทำการทุบพื้นด้วย ไม้พลอง กระบอง หรือ คทา สร้างคลื่นพลังไปรอบทิศทางซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง,VaalGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]",,,True,,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
distance_scaled_ground_slam,ทุบพื้น (Ground Slam),"ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปด้านหน้าซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น",DistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,True,DistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,"[<3439, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam_spiked,วาล์ ทุบพื้น (Vaal Ground Slam),"ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปรอบทิศทางซึ่งจะสร้างความเสียหายให้กับศัตรูที่อยู่ในระยะโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น",VaalDistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]",,,True,VaalDistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
cleave,ปาด (Cleave),ตัวละครเหวี่ยงอาวุธ (หรืออาวุธทั้งสองหากถือ อาวุธคู่) เป็นวงโค้ง สร้างความเสียหายให้กับมอนสเตอร์ในพื้นที่ด้านหน้า ต้องใช้กับ ขวาน หรือ ดาบ เท่านั้น,Cleave,Art/2DArt/SkillIcons/iconcleave.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <43, 0>, <27, 0>]","[<9, 0>, <10, 0>, <11, 0>, <15, 0>, <16, 0>]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.",http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg,False,Cleave,False,21,True,"[<3986, 0>, <4208, 0>, <4178, 0>, <5383, 0>]","[<24, 0>, <70, 0>, <434, 0>, <5420, 0>]",[],True,True,"[<5385, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
shield_charge,โล่พุ่งชน (Shield Charge),ชาร์จเข้าหาศัตรู ทุบด้วยโล่ของตัวละครพร้อมกับจู่โจมด้วย อาวุธประชิด ทำให้ศัตรูที่ขวางทางติดมึนและกระเด็น ความเสียหายและการทำให้มึนงงเป็นสัดส่วนกับระยะทางที่เคลื่อนที่,ShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2]","[<0, 0>, <19, 0>, <20, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,True,ShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_shield_charge,โล่พุ่งชน (Shield Charge),ชาร์จเข้าไปที่พื้นที่ สร้างความเสียหายและผลักดันศัตรูออกไปนอกเส้นทางของคุณ คุณจะสร้างความเสียหายในพื้นที่ขนาดใหญ่เมื่อคุณมาถึงปลายทาง คุณเคลื่อนที่ต่อไป ความเสียหายมากขึ้นกว่าที่คุณทำ และมีโอกาสอย่างมากที่จะทำให้ศัตรูของคุณติดมึน แต่ใช้กับ Multistrike ไม่ได้,NewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_new_shield_charge,โล่พุ่งชน (Shield Charge),พุ่งไปยังพื้นที่เป้าหมายหรือศัตรู ผลักศัตรูที่ขวางทางออกไปและสร้างความเสียหายซ้ำๆ ในพื้นที่ขนาดเล็กข้างหน้า คุณจะสร้างความเสียหายในพื้นที่ใหญ่ขึ้นเมื่อคุณเข้าไปถึงเป้าหมาย ยิ่งคุณเคลื่อนที่ไปไกลเท่าไร คุณยิ่งสร้างความเสียหายเพิ่มขึ้น อีก และเพิ่มโอกาสสร้างสถานะ มึนงง ต่อศัตรูอีกด้วย ไม่สามารถเสริมด้วย Multistrike ได้,NewNewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>, <27, 0>]","[<26, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
enduring_cry,คำรามเรียกความแข็งแกร่ง (Enduring Cry),ส่งเสียงคำรามเพื่อยั่วยุศัตรูที่อยู่ใกล้ให้มาโจมตีผู้ใช้ พร้อมกันนี้ก็ให้ Endurance Charge ทั้งยังเพิ่มการฟื้นฟูพลังชีวิตความเร็วสูงในระยะเวลาสั้นๆ และยังมอบบัฟเพิ่มค่าต้านทานและค่าป้องกันกายภาพให้กับคุณตามจำนวน Endurance Charge ที่คุณมีอีกด้วย,EnduringCry,Art/2DArt/SkillIcons/WarCryEnduring.dds,[4],"[<4, 0>, <7, 0>, <8, 0>, <62, 0>, <89, 0>]",[],"In battle, it's often someone's job to stand in the front line, and take most of the punishment. Few relish this task, but those who do know the secret of the Enduring Cry. This battle shout taunts all nearby enemies, compelling them to attack the offender, while simultaneously boosting his ability to absorb punishment in direct proportion to the number of nearby foes.",http://s3.amazonaws.com/pathofexile/image/skills/strength/enduring_cry.jpg,False,EnduringCry,False,21,True,"[<9668, 0>, <5520, 0>, <4509, 0>, <4372, 0>]","[<9667, 0>, <4535, 0>, <4535, 0>, <3339, 0>]",[],True,True,"[<12328, 0>]",8,"<null, null>",False,,[],False,False,1
enduring_cry_repeatable,,,EnduringCry,,[4],"[<4, 0>, <7, 0>, <8, 0>, <21, 0>, <62, 0>]",[],,,True,,False,21,True,[],[],[],True,True,[],8,"<null, null>",False,,[],False,False,1
inspiring_cry,คำรามเรียกพรรคพวก (Rallying Cry),ทำการคำรามเพื่อยั่วยุศัตรูที่อยู่ใกล้ให้มาโจมตีผู้ใช้ เพิ่มความเสียหายและการฟื้นฟูมานาของผู้ใช้ บัฟเพิ่มความเสียหายขึ้นอยู่กับจำนวนศัตรูที่ล้อมรอบ ใช้งานคูลดาวน์ร่วมกับสกิล คำราม อื่นๆ,InspiringCry,Art/2DArt/SkillIcons/InspiringCry.dds,[4],"[<4, 0>, <7, 0>, <8, 0>, <62, 0>, <89, 0>]",[],,,True,RallyingCry,False,21,True,"[<9668, 0>, <5520, 0>, <4511, 0>, <4353, 0>]","[<9667, 0>, <4535, 0>, <4535, 0>, <215, 0>]",[],True,True,[],8,"<null, null>",False,,[],False,False,1
