Id,DisplayedName,Description,Index3,Icon_DDSFile,ActiveSkillTargetTypes,ActiveSkillTypeKeys,WeaponRestriction_ItemClassesKeys,WebsiteDescription,WebsiteImage,Flag0,Unknown0,Flag1,SkillTotemId,IsManuallyCasted,Input_StatKeys,Output_StatKeys,MinionActiveSkillTypes,Flag2,Flag3,Keys0,Unknown1,Key0,Flag4,AIFile,Keys1,Flag5,Flag6,Flag7
sweep,橫掃,使用雙手近戰武器在身體周圍橫掃，將角色附近的怪物擊退。,Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.",http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg,False,Sweep,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_sweep,瓦爾．橫掃,將武器在身體周圍橫掃多次，並將部分怪物擊退。,Sweep,Art/2DArt/SkillIcons/sweep.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <27, 0>]","[<14, 0>, <16, 0>, <17, 0>, <15, 0>, <57, 0>]",,,True,,False,21,True,"[<4029, 0>, <4279, 0>, <4192, 0>, <10542, 0>]","[<24, 0>, <479, 0>, <434, 0>, <185, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
ground_slam,裂地之擊,以長杖或錘重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。限定長杖與錘。,GroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,False,GroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam,瓦爾．裂地之擊,以長杖或錘重擊地面並製造出一道向周圍釋放具有傷害的衝擊波。,VaalGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <36, 0>, <57, 0>]",,,True,,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
distance_scaled_ground_slam,裂地之擊,重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。,DistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.",http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg,True,DistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,"[<3439, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
vaal_ground_slam_spiked,瓦爾．裂地之擊,重擊地面並製造出向周圍釋放具有傷害的衝擊波。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。,VaalDistanceScaledGroundSlam,Art/2DArt/SkillIcons/icongroundslam.dds,"[1, 2]","[<0, 0>, <7, 0>, <19, 0>, <37, 0>, <91, 0>, <14, 0>]","[<12, 0>, <32, 0>, <14, 0>, <17, 0>, <11, 0>, <16, 0>, <36, 0>, <57, 0>]",,,True,VaalDistanceScaledGroundSlam,False,21,True,"[<3993, 0>, <4179, 0>, <5496, 0>]","[<24, 0>, <434, 0>, <8059, 0>]",[],True,True,[],8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
cleave,劈砍,在身體前方以弧狀揮動武器（雙持時則揮動兩把武器），並同時對多名敵人造成傷害。限定斧與劍。,Cleave,Art/2DArt/SkillIcons/iconcleave.dds,"[1, 2]","[<0, 0>, <7, 0>, <23, 0>, <19, 0>, <43, 0>, <27, 0>]","[<9, 0>, <10, 0>, <11, 0>, <15, 0>, <16, 0>]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.",http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg,False,Cleave,False,21,True,"[<3986, 0>, <4208, 0>, <4178, 0>, <5383, 0>]","[<24, 0>, <70, 0>, <434, 0>, <5420, 0>]",[],True,True,"[<5385, 0>]",8,"<null, null>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
shield_charge,重盾衝鋒,向一個目標衝鋒，使用盾牌對其猛擊的同時也用近戰武器順手補刀。此攻擊將會擊退目標並將其擊暈，在路徑上的敵人將會被推向兩旁。傷害與擊暈機率將視衝鋒距離而定。不能被多重打擊輔助。,ShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2]","[<0, 0>, <19, 0>, <20, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,True,ShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_shield_charge,重盾衝鋒,向一個區域或目標衝鋒，將路線上的敵人推開並持續在你前方區域造成傷害。衝鋒距離越遠，造成的傷害越高，並且擊暈敵人的機率越高。不能被多重打擊輔助。,NewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>]","[<6, 0>, <7, 0>, <9, 0>, <10, 0>, <11, 0>, <12, 0>, <32, 0>, <36, 0>, <56, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>, <37, 0>]",False,False,1
new_new_shield_charge,重盾衝鋒,向一個區域或目標衝鋒，將路線上的敵人推開並持續在你前方區域造成副手傷害。衝鋒距離越遠，造成的傷害越高，並且擊暈敵人的機率越高。不能被多重打擊輔助。,NewNewShieldCharge,Art/2DArt/SkillIcons/iconshieldcharge.dds,"[1, 2, 23]","[<0, 0>, <9, 0>, <19, 0>, <7, 0>, <33, 0>, <78, 0>, <27, 0>]","[<26, 0>]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.",http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg,False,NewShieldCharge,False,21,True,"[<4215, 0>, <4015, 0>]","[<70, 0>, <24, 0>]",[],True,True,[],8,"<0, 0>",False,,"[<2, 0>, <18, 0>, <10, 0>, <11, 0>, <29, 0>, <16, 0>, <17, 0>, <19, 0>, <26, 0>, <14, 0>, <15, 0>, <28, 0>, <35, 0>]",False,False,1
