Id,ItemClassesKey,Width,Height,Name,InheritsFrom,DropLevel,FlavourTextKey,Implicit_ModsKeys,SizeOnGround,SoundEffectsKey,TagsKeys,ModDomainsKey,IsDropDisabled,ItemVisualIdentityKey,HASH,VendorRecipe_AchievementItemsKeys,Inflection,Equip_AchievementItemsKey,IsCorrupted,Identify_AchievementItemsKeys,ItemThemesKey,IdentifyMagic_AchievementItemsKeys,FragmentBaseItemTypesKey,Unknown0,ItemShopType,Unknown1,Unknown2,Unknown3
Metadata/Items/Currency/CurrencyWeaponQuality,"<30, 0>",1,1,Piedra de afilar,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<35, 0>","[<348, 0>]",29,False,"<0, 0>",1154719587,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIdentification,"<30, 0>",1,1,Pergamino de Sabiduría,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<27, 0>",[],29,False,"<1, 0>",1351093167,"[<7243, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRare,"<30, 0>",1,1,Orbe de Caos,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<2, 0>",1934876153,"[<7484, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRareVeiled,"<30, 0>",1,1,Orbe de Caos encriptado,Metadata/Items/Currency/StackableCurrency,61,"<null, null>",[],1,"<34, 0>",[],29,False,"<3, 0>",2744115753,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyArmourQuality,"<30, 0>",1,1,Restos de Armaduras,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<4, 0>",4228140445,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyDuplicate,"<30, 0>",1,1,Espejo de Kalandra,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<6, 0>",2042772245,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToRare,"<30, 0>",1,1,Orbe de Alquimia,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<7, 0>",2433763647,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeRandomly,"<30, 0>",1,1,Orbe de Azar,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<8, 0>",3312659589,"[<7483, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyPassiveRefund,"<30, 0>",1,1,Orbe de Arrepentimiento,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<9, 0>",2605400741,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAtlasPassiveRefund,"<30, 0>",1,1,Orbe de Destrucción,Metadata/Items/Currency/StackableCurrency,78,"<null, null>",[],1,"<34, 0>",[],29,False,"<10, 0>",3892935821,[],M,"<null, null>",False,[],"<null, null>",[],<null>,True,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToMagic,"<30, 0>",1,1,Orbe de Transmutación,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,False,"<11, 0>",1315720499,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollMagic,"<30, 0>",1,1,Orbe de Alteración,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<12, 0>",3610411607,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyConvertToNormal,"<30, 0>",1,1,Orbe de Purga,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<13, 0>",2131686967,"[<148, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAddModToRare,"<30, 0>",1,1,Orbe Exaltado,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<15, 0>",3226424873,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeMagicToRare,"<30, 0>",1,1,Orbe Regio,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<16, 0>",3636285277,"[<8310, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAddModToMagic,"<30, 0>",1,1,Orbe de Aumento,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,False,"<17, 0>",4122699490,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyPortal,"<30, 0>",1,1,Pergamino de Portal,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<27, 0>",[],29,False,"<18, 0>",1328218349,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyFlaskQuality,"<30, 0>",1,1,Baratija de Vidrio,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<19, 0>",3715417279,"[<7246, 0>]",F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyGemQuality,"<30, 0>",1,1,Prisma del tallador de gemas,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<20, 0>",128553707,"[<7734, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketColours,"<30, 0>",1,1,Orbe Cromático,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<29, 0>",471734571,"[<7732, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketLinks,"<30, 0>",1,1,Orbe de Fusión,Metadata/Items/Currency/StackableCurrency,8,"<null, null>",[],1,"<34, 0>",[],29,False,"<30, 0>",3340498317,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollSocketNumbers,"<30, 0>",1,1,Orbe de Joyero,Metadata/Items/Currency/StackableCurrency,8,"<null, null>",[],1,"<34, 0>",[],29,False,"<31, 0>",3717298577,"[<7983, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyModValues,"<30, 0>",1,1,Orbe Divino,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<32, 0>",2147777789,"[<8308, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollImplicit,"<30, 0>",1,1,Orbe Bendito,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<33, 0>",764311090,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollDefences,"<30, 0>",1,1,Orbe sagrado,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<34, 0>",1784206883,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyMapQuality,"<30, 0>",1,1,Cincel del Cartógrafo,Metadata/Items/Currency/StackableCurrency,52,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<5, 0>",3693179543,"[<7485, 0>]",M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIdentificationShard,"<30, 0>",1,1,Fragmento de Pergamino,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<null, null>","[<231, 0>]",29,True,"<25, 0>",1594034883,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToMagicShard,"<30, 0>",1,1,Esquirla de Transmutación,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<null, null>","[<231, 0>]",29,True,"<26, 0>",1280989466,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollMagicShard,"<30, 0>",1,1,Esquirla de Alteración,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<null, null>","[<231, 0>]",29,True,"<27, 0>",216495198,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToRareShard,"<30, 0>",1,1,Esquirla de Alquimia,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<null, null>","[<231, 0>]",29,True,"<28, 0>",3069034818,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRhoaFeather,"<30, 0>",1,1,Pluma de Rhoa Albino,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<null, null>",[],29,True,"<35, 0>",2003183108,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyImprintOrb,"<30, 0>",1,1,Orbe Eterno,Metadata/Items/Currency/StackableCurrency,40,"<null, null>",[],1,"<34, 0>",[],29,True,"<36, 0>",1639118317,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyImprint,"<30, 0>",1,1,Copia,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,True,"<37, 0>",2516757370,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyCorrupt,"<30, 0>",1,1,Orbe Vaal,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<38, 0>",118945160,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyLabyrinthEnchant,"<30, 0>",1,1,Encantamiento,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,True,"<40, 0>",1105850261,[],M,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt,"<30, 0>",1,1,Bendición contaminada,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<41, 0>",3880175782,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIncursionCorrupt1,"<30, 0>",1,1,Corrupción,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,True,"<42, 0>",3921210930,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIncursionCorrupt2,"<30, 0>",1,1,Corrupción,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,True,"<43, 0>",770737543,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIncursionCorruptGem,"<30, 0>",1,1,Corrupción,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>",[],29,True,"<44, 0>",3944541803,[],F,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
