Id,ItemClassesKey,Width,Height,Name,InheritsFrom,DropLevel,FlavourTextKey,Implicit_ModsKeys,SizeOnGround,SoundEffectsKey,TagsKeys,ModDomainsKey,IsDropDisabled,ItemVisualIdentityKey,HASH,VendorRecipe_AchievementItemsKeys,Inflection,Equip_AchievementItemsKey,IsCorrupted,Identify_AchievementItemsKeys,ItemThemesKey,IdentifyMagic_AchievementItemsKeys,FragmentBaseItemTypesKey,Unknown0,ItemShopType,Unknown1,Unknown2,Unknown3
Metadata/Items/Currency/CurrencyWeaponQuality,"<30, 0>",1,1,Точильный камень,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<35, 0>","[<348, 0>]",29,False,"<0, 0>",1154719587,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyIdentification,"<30, 0>",1,1,Свиток мудрости,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<27, 0>",[],29,False,"<1, 0>",1351093167,"[<7243, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRare,"<30, 0>",1,1,Сфера хаоса,Metadata/Items/Currency/StackableCurrency,12,"<null, null>",[],1,"<34, 0>",[],29,False,"<2, 0>",1934876153,"[<7484, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyRerollRareVeiled,"<30, 0>",1,1,Сфера скрытого хаоса,Metadata/Items/Currency/StackableCurrency,61,"<null, null>",[],1,"<34, 0>",[],29,False,"<3, 0>",2744115753,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyArmourQuality,"<30, 0>",1,1,Деталь доспеха,Metadata/Items/Currency/StackableCurrency,1,"<null, null>",[],1,"<34, 0>","[<348, 0>]",29,False,"<4, 0>",4228140445,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyDuplicate,"<30, 0>",1,1,Зеркало Каландры,Metadata/Items/Currency/StackableCurrency,35,"<null, null>",[],1,"<34, 0>",[],29,False,"<6, 0>",2042772245,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeToRare,"<30, 0>",1,1,Сфера алхимии,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<7, 0>",2433763647,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyUpgradeRandomly,"<30, 0>",1,1,Сфера удачи,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<8, 0>",3312659589,"[<7483, 0>]",,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyPassiveRefund,"<30, 0>",1,1,Сфера раскаяния,Metadata/Items/Currency/StackableCurrency,2,"<null, null>",[],1,"<34, 0>",[],29,False,"<9, 0>",2605400741,[],,"<null, null>",False,[],"<null, null>",[],<null>,False,"<null, null>","<null, null>","<null, null>",False
Metadata/Items/Currency/CurrencyAtlasPassiveRefund,"<30, 0>",1,1,Сфера небытия,Metadata/Items/Currency/StackableCurrency,78,"<null, null>",[],1,"<34, 0>",[],29,False,"<10, 0>",3892935821,[],,"<null, null>",False,[],"<null, null>",[],<null>,True,"<null, null>","<null, null>","<null, null>",False
