Id,Description,Invisible,Removable,Name,StatsKeys,Flag0,Unknown0,Flag1,Maximum_StatsKey,Current_StatsKey,Flag2,Unknown1,BuffVisualsKey,Flag3,Flag4,Unknown2,Flag5,Flag6,Flag7,Flag8,BuffLimit,Flag10,Id2,IsRecovery,Flag11,Flag12,Key0,Flag13,Unknown3,Flag14,Flag15,Unknown4,Data0,Flag16,Flag17,Key1,Flag18,Keys0,Keys1,Keys2,Keys3,Flag19,Unknown5,Key2
ignited,You're on fire,False,False,Ignited,"[<8084, 0>]",False,13,False,"<null, null>","<null, null>",True,19,"<2, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8084, 0>]","[<14591, 0>]",False,0,"<null, null>"
chilled,You are slowed,False,False,Chilled,"[<8420, 0>]",True,13,False,"<null, null>","<null, null>",True,1,"<3, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8420, 0>]","[<14592, 0>]",False,65792,"<null, null>"
frozen,Frozen solid,False,False,Frozen,"[<12460, 0>]",True,13,False,"<null, null>","<null, null>",True,19,"<4, 0>",False,False,2,False,True,True,False,0,False,FreezeBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<12460, 0>]","[<14593, 0>, <1999, 0>]",False,65536,"<null, null>"
shocked,You take up to 50% increased Damage,False,False,Shocked,"[<477, 0>]",False,13,False,"<null, null>","<null, null>",True,2,"<5, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<477, 0>]","[<14594, 0>]",False,65792,"<null, null>"
sprinting,Increased movement velocity,False,True,Faster Run,"[<177, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<7, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>"
flask_effect_life,,True,False,Healing,"[<7705, 0>]",True,5,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7705, 0>]",[],False,0,"<null, null>"
grace_period,You can't be damaged,False,True,Grace Period,"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<8, 0>",True,False,15,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",[],False,0,"<null, null>"
god_mode,You cannot be damaged,False,True,Invulnerability,"[<140, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<9, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>]",[],False,0,"<null, null>"
experience,Increased experience for 30 seconds,False,True,Increased Experience,"[<157, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<10, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<157, 0>]",[],False,0,"<null, null>"
flask_effect_mana,,True,False,Regenerating Mana,"[<7706, 0>]",True,5,False,"<null, null>","<null, null>",False,14,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7706, 0>]",[],False,0,"<null, null>"
poison,You take chaos damage,False,False,Poisoned,"[<8085, 0>]",True,1,True,"<null, null>","<null, null>",True,19,"<11, 0>",False,True,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,2,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8085, 0>]","[<14595, 0>]",False,1,"<null, null>"
blood_rage,"Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.",False,False,Blood Rage,"[<70, 0>, <3092, 0>, <2566, 0>, <3058, 0>, <1352, 0>, <12824, 0>, <3112, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<13, 0>",True,False,1,False,True,True,False,0,False,BloodRageBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,"[<454, 0>]",[],"[<70, 0>, <3092, 0>, <2566, 0>, <3058, 0>, <1352, 0>, <12824, 0>, <3112, 0>, <454, 0>]",[],False,0,"<null, null>"
righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Righteous Fire,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<15, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>"
righteous_fire_aura,You are taking burning damage from being near an enemy using Righteous Fire,False,False,Righteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<19, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,1,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
demon_righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Unrighteous Fire,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<24, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>"
demon_righteous_fire_aura,You are taking burning damage from being near an enemy using Unrighteous Fire,False,False,Unrighteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<25, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
avatar_righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Righteous Fire,"[<880, 0>, <25, 0>, <2533, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<16, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <2533, 0>]",[],False,0,"<null, null>"
avatar_righteous_fire_aura,You are taking burning damage from being near an enemy using Righteous Fire,False,False,Righteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<20, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_fire_aura,,True,False,,"[<4941, 0>, <4941, 0>, <4941, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireAura,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<4941, 0>, <4941, 0>, <4941, 0>]",[],False,0,"<null, null>"
invisible_fire_debuff,You are taking Burning Damage from a Creeping Agony,False,False,Creeping Agony,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<30, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_holy_fire_debuff,You are taking Burning Damage from a Divine Flare,False,False,Divine Flare,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<33, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_holy_fire_elder_debuff,You are taking Burning Damage from a Divine Flare,False,False,Divine Flare,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<33, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_kitava_fire_debuff,You are taking Physical Damage over time from a Heretical Flare,False,False,Heretical Flare,"[<354, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<35, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<354, 0>]",[],False,0,"<null, null>"
ion_beam_debuff,You are taking Lightning Damage from a Galvanic Flare,False,False,Galvanic Flare,"[<1981, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<27, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1981, 0>]",[],False,0,"<null, null>"
frost_ion_beam_debuff,You are taking Cold Damage from Creeping Ice,False,False,Creeping Ice,"[<1979, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<29, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1979, 0>]",[],False,0,"<null, null>"
doedre_invisible_chaos_debuff,You are taking Chaos Damage over time,False,False,Sewage Toxins,"[<453, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<697, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<453, 0>]",[],False,0,"<null, null>"
fire_weapon,Your weapon does additional fire damage,False,True,Fire Weapon,"[<482, 0>, <447, 0>]",True,3,False,"<null, null>","<null, null>",True,19,"<36, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<482, 0>, <447, 0>]",[],False,0,"<null, null>"
frenzy_charge,Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have,False,False,Frenzy Charges,[],True,4,True,"<2653, 0>","<5, 0>",True,19,"<38, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<8466, 0>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
endurance_charge,Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have,False,False,Endurance Charges,[],True,4,True,"<2652, 0>","<4, 0>",True,19,"<39, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<8464, 0>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
