Id,Description,Invisible,Removable,Name,StatsKeys,Flag0,Unknown0,Flag1,Maximum_StatsKey,Current_StatsKey,Flag2,Unknown1,BuffVisualsKey,Flag3,Flag4,Unknown2,Flag5,Flag6,Flag7,Flag8,BuffLimit,Flag10,Id2,IsRecovery,Flag11,Flag12,Key0,Flag13,Unknown3,Flag14,Flag15,Unknown4,Data0,Flag16,Flag17,Key1,Flag18,Keys0,Keys1,Keys2,Keys3,Flag19,Unknown5,Key2
ignited,Você está em chamas,False,False,Incendiado,"[<8084, 0>]",False,13,False,"<null, null>","<null, null>",True,19,"<2, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8084, 0>]","[<14591, 0>]",False,0,"<null, null>"
chilled,Você está desacelerado,False,False,Resfriado,"[<8420, 0>]",True,13,False,"<null, null>","<null, null>",True,1,"<3, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8420, 0>]","[<14592, 0>]",False,65792,"<null, null>"
frozen,Congelado,False,False,Congelado,"[<12460, 0>]",True,13,False,"<null, null>","<null, null>",True,19,"<4, 0>",False,False,2,False,True,True,False,0,False,FreezeBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<12460, 0>]","[<14593, 0>, <1999, 0>]",False,65536,"<null, null>"
shocked,Você sofre até 50% de Dano aumentado,False,False,Eletrizado,"[<477, 0>]",False,13,False,"<null, null>","<null, null>",True,2,"<5, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<477, 0>]","[<14594, 0>]",False,65792,"<null, null>"
sprinting,Velocidade de movimento aumentada,False,True,Corrida Rápida,"[<177, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<7, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>"
flask_effect_life,,True,False,Cura,"[<7705, 0>]",True,5,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7705, 0>]",[],False,0,"<null, null>"
grace_period,Você não pode sofrer dano,False,True,Período de Graça,"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<8, 0>",True,False,15,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",[],False,0,"<null, null>"
god_mode,Você não pode sofrer dano,False,True,Invulnerabilidade,"[<140, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<9, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>]",[],False,0,"<null, null>"
experience,Experiência aumentada por 30 segundos,False,True,Experiência Aumentada,"[<157, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<10, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<157, 0>]",[],False,0,"<null, null>"
flask_effect_mana,,True,False,Regenerando Mana,"[<7706, 0>]",True,5,False,"<null, null>","<null, null>",False,14,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7706, 0>]",[],False,0,"<null, null>"
poison,Você sofre dano de caos,False,False,Envenenado,"[<8085, 0>]",True,1,True,"<null, null>","<null, null>",True,19,"<11, 0>",False,True,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,2,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8085, 0>]","[<14595, 0>]",False,1,"<null, null>"
blood_rage,"Sofre Dano Degenerativo Físico baseado em Vida e Escudo de Energia, enquanto aumenta a Velocidade de Ataque e Drenagem. Matar um inimigo reinicia a duração do bônus e pode conceder uma Carga de Frenesi.",False,False,Fúria Sangrenta,"[<70, 0>, <3092, 0>, <2566, 0>, <3058, 0>, <1352, 0>, <12824, 0>, <3112, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<13, 0>",True,False,1,False,True,True,False,0,False,BloodRageBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,"[<454, 0>]",[],"[<70, 0>, <3092, 0>, <2566, 0>, <3058, 0>, <1352, 0>, <12824, 0>, <3112, 0>, <454, 0>]",[],False,0,"<null, null>"
righteous_fire,"Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.",False,False,Círculo Ardente,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<15, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>"
righteous_fire_aura,Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Círculo Ardente,False,False,Círculo Ardente,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<19, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,1,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
demon_righteous_fire,"Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.",False,False,Fogo da Injustiça,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<24, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>"
demon_righteous_fire_aura,Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Fogo da Injustiça,False,False,Fogo da Injustiça,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<25, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
avatar_righteous_fire,"Você sofre dano incendiário, causa dano incendiário àqueles perto de você e tem o dano mágico aumentado.",False,False,Círculo Ardente,"[<880, 0>, <25, 0>, <2533, 0>]",True,2,False,"<null, null>","<null, null>",True,19,"<16, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<880, 0>, <25, 0>, <2533, 0>]",[],False,0,"<null, null>"
avatar_righteous_fire_aura,Você está sofrendo dano incendiário por estar próximo a um inimigo utilizando Círculo Ardente,False,False,Círculo Ardente,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<20, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_fire_aura,Você está sofrendo dano incendiário por estar próximo à Agonia Rastejante.,True,False,Agonia Rastejante,"[<4941, 0>, <4941, 0>, <4941, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireAura,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<4941, 0>, <4941, 0>, <4941, 0>]",[],False,0,"<null, null>"
invisible_fire_debuff,Você está sofrendo dano incendiário por estar próximo à Agonia Rastejante.,False,False,Agonia Rastejante,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<30, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_holy_fire_debuff,Você está sofrendo dano incendiário por estar próximo de uma Labareda Divina.,False,False,Labareda Divina,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<33, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_holy_fire_elder_debuff,Você está sofrendo dano incendiário por estar próximo de uma Labareda Divina.,False,False,Labareda Divina,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<33, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>"
invisible_kitava_fire_debuff,Você está sofrendo dano degenerativo físico por estar próximo de uma Labareda Herética.,False,False,Labareda Herética,"[<354, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<35, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<354, 0>]",[],False,0,"<null, null>"
ion_beam_debuff,Você está sofrendo dano de raio por estar próximo de uma Labareda Galvânica.,False,False,Labareda Galvânica,"[<1981, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<27, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1981, 0>]",[],False,0,"<null, null>"
frost_ion_beam_debuff,Você está sofrendo Dano de Gelo da Geleira Rastejante,False,False,Geleira Rastejante,"[<1979, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<29, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1979, 0>]",[],False,0,"<null, null>"
doedre_invisible_chaos_debuff,Você está sofrendo Dano Degenerativo de Caos.,False,False,Toxinas do Esgoto,"[<453, 0>]",False,3,False,"<null, null>","<null, null>",False,19,"<697, 0>",False,False,2,False,True,True,False,0,False,InvisibleFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<453, 0>]",[],False,0,"<null, null>"
fire_weapon,Sua arma causa dano de fogo adicional,False,True,Arma de Fogo,"[<482, 0>, <447, 0>]",True,3,False,"<null, null>","<null, null>",True,19,"<36, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<482, 0>, <447, 0>]",[],False,0,"<null, null>"
frenzy_charge,Jogadores ganham mais Dano e têm a Velocidade de Ataque e Conjuração aumentada por Carga de Frenesi possuída,False,False,Cargas de Frenesi,[],True,4,True,"<2653, 0>","<5, 0>",True,19,"<38, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<8466, 0>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
endurance_charge,Jogadores ganham Redução de Dano Físico e Resistências Elementais adicionais por Carga de Tolerância possuída,False,False,Cargas de Tolerância,[],True,4,True,"<2652, 0>","<4, 0>",True,19,"<39, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<8464, 0>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
power_charge,Jogadores têm a Chance de Crítico aumentada por Carga de Poder possuída,False,False,Cargas de Poder,[],True,4,True,"<2654, 0>","<6, 0>",True,19,"<40, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<8468, 0>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
spirit_charge,Requerido no uso de certas habilidades.,False,False,Cargas de Espírito,[],True,4,True,"<7274, 0>","<6542, 0>",False,19,"<41, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
siphoning_charge,Jogadores possuem efeitos alterados para cada Carga de Sifão possuída,False,False,Drenando Cargas,[],True,4,True,"<7336, 0>","<7335, 0>",True,19,"<42, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
void_arrow,Pode ativar a habilidade Tiro do Vazio enquanto você possuir Flexas do Vazio,False,False,Flexas do Vazio,[],True,4,True,"<7356, 0>","<7355, 0>",True,19,"<43, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
divine_charge,Você está carregado com energia divina.,False,False,Carga Divina,[],True,4,True,"<9140, 0>","<9141, 0>",True,19,"<44, 0>",True,False,3,False,True,True,False,0,False,DivineCharge,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
blitz_charge,Você ganha bônus de sua Ascensão por ter Cargas de Agressão,False,False,Cargas de Agressão,[],True,4,True,"<9702, 0>","<9703, 0>",True,19,"<1070, 0>",True,False,3,False,True,True,False,0,False,BlitzCharge,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
challenger_charge,Você ganha bônus de sua Ascensão por ter Cargas Desafiantes,False,False,Cargas Desafiantes,[],True,4,True,"<9801, 0>","<9802, 0>",True,19,"<1078, 0>",True,False,3,False,True,True,False,0,False,ChallengerCharge,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
hillock_buff,Ataca com fervor,False,False,Ataque Brutal,"[<70, 0>, <26, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<46, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<70, 0>, <26, 0>]",[],False,0,"<null, null>"
mana_leech,Você está drenando Mana,True,False,Drenagem de Mana,"[<1413, 0>, <2866, 0>]",True,1,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,15,False,True,False,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1413, 0>, <2866, 0>]",[],False,1,"<null, null>"
life_leech,Você está drenando Vida,True,False,Drenagem de Vida,"[<1412, 0>, <2865, 0>]",True,1,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,15,False,True,False,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1412, 0>, <2865, 0>]",[],False,1,"<null, null>"
energy_shield_leech,Você está drenando Escudo de Energia,True,False,Drenagem de Escudo de Energia,"[<1414, 0>, <2867, 0>]",True,1,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,15,False,True,False,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1414, 0>, <2867, 0>]",[],False,1,"<null, null>"
players_increased,Mais jogadores estão no jogo.,True,False,Jogadores Aumentados,"[<1939, 0>, <370, 0>, <3280, 0>]",False,2,False,"<null, null>","<null, null>",True,19,"<0, 0>",True,False,15,False,False,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1939, 0>, <370, 0>, <3280, 0>]",[],False,0,"<null, null>"
flask_bonus_armour,Enquanto este frasco estiver em efeito você tem armadura aumentada,True,False,Armadura Aumentada,"[<117, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,True,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<117, 0>]",[],False,0,"<null, null>"
flask_bonus_evasion,Enquanto este frasco estiver em efeito você tem evasão aumentada,False,False,Evasão Aumentada,"[<120, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<49, 0>",True,False,4,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<120, 0>]",[],False,0,"<null, null>"
flask_bonus_energy_shield,Enquanto este frasco estiver em efeito você tem o escudo de energia aumentado,True,False,Escudo de Energia Aumentado,"[<134, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<134, 0>]",[],False,0,"<null, null>"
flask_bonus_movement_speed,Enquanto este frasco estiver em efeito você se move mais rápido,False,False,Velocidade de Movimento Aumentada,"[<177, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<47, 0>",True,False,4,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>"
flask_bonus_stun_recovery,Enquanto este frasco estiver em efeito você se recupera mais rápido de atordoamento,True,False,Recuperação do Atordoamento Aumentada,"[<221, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<221, 0>]",[],False,0,"<null, null>"
flask_bonus_resistances,Enquanto este frasco estiver em efeito você tem resistências aumentadas,True,False,Resistências Aumentadas,"[<141, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<141, 0>]",[],False,0,"<null, null>"
flask_bonus_life_leech,Enquanto este frasco estiver em efeito você drena vida,True,False,Drenagem de Vida Aumentado,"[<3092, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<3092, 0>]",[],False,0,"<null, null>"
flask_bonus_mana_leech,Enquanto este frasco estiver em efeito você drena mana,True,False,Drenagem de Mana Aumentado,"[<3093, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<3093, 0>]",[],False,0,"<null, null>"
flask_bonus_knockback,Enquanto este frasco estiver em efeito seus ataques Corpo a Corpo empurram inimigos,True,False,Empurrão Adicionado,"[<721, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<721, 0>]",[],False,0,"<null, null>"
flask_bonus_global_knockback,Enquanto este frasco estiver em efeito você empurra inimigos,True,False,Empurrão Adicionado,"[<110, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<110, 0>]",[],False,0,"<null, null>"
flask_bonus_prevents_death,Enquanto este frasco estiver em efeito você não pode morrer,True,False,Prevenção de Morte,"[<398, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<398, 0>]",[],False,0,"<null, null>"
flask_bonus_ignite_immunity,,True,False,,[],False,3,False,"<null, null>","<null, null>",False,19,"<379, 0>",True,False,4,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<4928, 0>]",[],[],False,0,"<null, null>"
chill_immunity,"Todos os Resfriamentos foram removidos de você, e você não pode ser Resfriado.",False,False,Imunidade a Resfriamento,[],True,3,False,"<null, null>","<null, null>",False,19,"<381, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<4927, 0>]",[],[],False,0,"<null, null>"
freeze_immunity,O Congelamento foi removido e você não pode ser Congelado.,False,False,Imunidade a Congelamento,[],True,3,False,"<null, null>","<null, null>",False,19,"<377, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<4926, 0>]",[],[],False,0,"<null, null>"
ignite_immunity,"Todos os Incêndios foram removidos de você, e você não pode ser Incendiado.",False,False,Imunidade a Incêndio,[],True,3,False,"<null, null>","<null, null>",False,19,"<379, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<4928, 0>]",[],[],False,0,"<null, null>"
shock_immunity,"Todos os Eletrizações foram removidos de você, e você não pode ser Eletrizado.",False,False,Imunidade à Eletrização,[],True,3,False,"<null, null>","<null, null>",False,19,"<380, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<4929, 0>]",[],[],False,0,"<null, null>"
bleeding_immunity,O Sangramento foi removido e você não pode ser Congelado.,False,False,Imunidade a Sangramento,[],True,3,False,"<null, null>","<null, null>",False,19,"<378, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<2641, 0>]",[],[],False,0,"<null, null>"
corrupted_blood_immunity,Todos os Sangues Corrompidos foram removidos de você e Sangue Corrompido não pode ser infligido em você.,False,False,Imunidade a Sangue Corrompido,[],True,3,False,"<null, null>","<null, null>",False,19,"<382, 0>",True,False,15,False,True,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<14132, 0>]",[],[],False,0,"<null, null>"
flask_bonus_curse_immunity,,True,False,Imunidade à Maldição,[],True,3,False,"<null, null>","<null, null>",False,19,"<48, 0>",True,False,4,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],"[<745, 0>]",[],[],False,0,"<null, null>"
spectre_buff,,True,False,Espectral,[],False,3,False,"<null, null>","<null, null>",False,19,"<50, 0>",True,False,15,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
infernal_blow_hit,,True,False,Atingido pelo Golpe Infernal,"[<1999, 0>]",False,3,False,"<null, null>","<null, null>",True,19,"<0, 0>",True,False,15,False,False,False,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<1999, 0>]",[],False,0,"<null, null>"
viper_strike_orb,Você está sofrendo Dano de Caos do Golpe da Víbora,False,False,Atingido pelo Golpe da Víbora,"[<453, 0>]",True,1,False,"<null, null>","<null, null>",True,19,"<51, 0>",True,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,2,0,0,0,[],False,False,"<null, null>",False,[],[],"[<453, 0>]",[],False,0,"<null, null>"
phase_run,Você é rápido e difícil de ver. Você termina esse bônus ao fazer um ataque com arma que causará mais dano,False,True,Passo Etéreo,"[<177, 0>, <314, 0>, <635, 0>, <5830, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<52, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>, <314, 0>, <635, 0>, <5830, 0>]",[],False,0,"<null, null>"
monster_magic_effect_buff,,True,False,,[],True,2,False,"<null, null>","<null, null>",True,19,"<54, 0>",True,False,15,True,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
monster_rare_effect_buff,,True,False,,[],True,2,False,"<null, null>","<null, null>",True,19,"<55, 0>",True,False,15,True,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
fuse_arrow_orb,Você vai fazer cabum,False,False,Atingido pela Flecha Explosiva,[],True,4,True,"<529, 0>","<528, 0>",True,19,"<59, 0>",True,False,3,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],[],[],False,0,"<null, null>"
curse_temporal_chains,Você está amaldiçoado. O tempo passa mais devagar para você.,False,False,Grilhões Temporais,"[<3243, 0>, <9148, 0>, <532, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<60, 0>",False,False,5,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],"[<12473, 0>]","[<3243, 0>, <9148, 0>, <532, 0>]","[<719, 0>]",False,0,"<null, null>"
curse_elemental_weakness,Você está amaldiçoado. Você sofre mais dano Elemental.,False,False,Fraqueza Elemental,"[<141, 0>, <621, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<62, 0>",False,False,5,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],[],"[<141, 0>, <621, 0>]","[<719, 0>]",False,0,"<null, null>"
curse_fire_weakness,Você está amaldiçoado. Você sofre mais dano de Fogo e está mais propenso a ser Incendiado.,False,False,Flamabilidade,"[<144, 0>, <536, 0>, <207, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<63, 0>",False,False,5,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],[],"[<144, 0>, <536, 0>, <207, 0>]","[<719, 0>]",False,0,"<null, null>"
curse_cold_weakness,Você está amaldiçoado. Você sofre mais dano de Gelo e está mais propenso a ser Congelado.,False,False,Congelabilidade,"[<146, 0>, <535, 0>, <206, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<64, 0>",False,False,5,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],[],"[<146, 0>, <535, 0>, <206, 0>]","[<719, 0>]",False,0,"<null, null>"
curse_lightning_weakness,Você está amaldiçoado. Você sofre mais dano de Raio e está mais propenso a ser Eletrizado.,False,False,Condutividade,"[<148, 0>, <533, 0>, <205, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<66, 0>",False,False,5,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],[],"[<148, 0>, <533, 0>, <205, 0>]","[<719, 0>]",False,0,"<null, null>"
curse_warlords_mark,"Você está amaldiçoado. Você será Atordoado por mais tempo, concederá Fúria, Dreno de Mana e Vida aos inimigos e concederá uma Carga de Tolerância ao morrer.",False,False,Marca do Senhor da Guerra,"[<12408, 0>, <12410, 0>, <9754, 0>, <9755, 0>, <544, 0>, <12614, 0>, <477, 0>]",False,6,False,"<null, null>","<null, null>",True,19,"<68, 0>",False,False,14,False,True,True,False,0,False,CurseDebuff,False,False,False,"<null, null>",0,4,0,1,0,[],False,False,"<null, null>",False,[],[],"[<12408, 0>, <12410, 0>, <9754, 0>, <9755, 0>, <544, 0>, <12614, 0>, <477, 0>]","[<719, 0>]",False,0,"<null, null>"
