Id,Description,Invisible,Removable,Name,StatsKeys,Flag0,Unknown0,Flag1,Maximum_StatsKey,Current_StatsKey,Flag2,Unknown1,BuffVisualsKey,Flag3,Flag4,Unknown2,Flag5,Flag6,Flag7,Flag8,BuffLimit,Flag10,Id2,IsRecovery,Flag11,Flag12,Key0,Flag13,Unknown3,Flag14,Flag15,Unknown4,Data0,Flag16,Flag17,Key1,Flag18,Keys0,Keys1,Keys2,Keys3,Flag19,Unknown5,Key2
ignited,Вы горите,False,False,Подожжен,"[<8084, 0>]",False,13,False,"<null, null>","<null, null>",True,19,"<2, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8084, 0>]","[<14591, 0>]",False,0,"<null, null>"
chilled,Вы замедлены,False,False,Охлаждён,"[<8420, 0>]",True,13,False,"<null, null>","<null, null>",True,1,"<3, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<8420, 0>]","[<14592, 0>]",False,65792,"<null, null>"
frozen,Вы заморожены,False,False,Заморожен,"[<12460, 0>]",True,13,False,"<null, null>","<null, null>",True,19,"<4, 0>",False,False,2,False,True,True,False,0,False,FreezeBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<12460, 0>]","[<14593, 0>, <1999, 0>]",False,65536,"<null, null>"
shocked,Вы получаете на 50% больше урона,False,False,Шокирован,"[<477, 0>]",False,13,False,"<null, null>","<null, null>",True,2,"<5, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<477, 0>]","[<14594, 0>]",False,65792,"<null, null>"
sprinting,Ваша скорость передвижения повышена,False,True,Быстрый бег,"[<177, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<7, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>"
flask_effect_life,Вы не получаете урон,True,False,Лечение,"[<7705, 0>]",True,5,False,"<null, null>","<null, null>",False,19,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7705, 0>]",[],False,0,"<null, null>"
grace_period,Вы не получаете урон,False,True,Временная неуязвимость,"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<8, 0>",True,False,15,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>, <861, 0>, <1304, 0>, <8171, 0>, <2973, 0>, <6836, 0>, <6835, 0>]",[],False,0,"<null, null>"
god_mode,Вы не получаете урон,False,True,Неуязвимость,"[<140, 0>]",True,3,False,"<null, null>","<null, null>",False,19,"<9, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<140, 0>]",[],False,0,"<null, null>"
experience,Получаемый опыт увеличен на 30 секунд,False,True,Опыт увеличен,"[<157, 0>]",True,2,False,"<null, null>","<null, null>",False,19,"<10, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<157, 0>]",[],False,0,"<null, null>"
flask_effect_mana,"Здоровье постепенно уменьшается, дарует вампиризм и увеличение скорости атаки. Вы получаете заряд Ярости за убийство врагов.",True,False,Мана восстанавливается,"[<7706, 0>]",True,5,False,"<null, null>","<null, null>",False,14,"<0, 0>",True,False,4,False,True,False,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<null, null>",False,[],[],"[<7706, 0>]",[],False,0,"<null, null>"
