Id,BuffDDSFile,EPKFiles1,EPKFiles2,MiscAnimatedKeys1,Flag0,BuffName,Key0,Key1,BuffDescription,EPKFile,HasExtraArt,ExtraArt,Unknown0,EPKFiles,Keys0,Keys1
invisible,,[Metadata/Effects/StatusAilments/NoEffect.epk],[Metadata/Effects/StatusAilments/NoEffect.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
nobuff,,[],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
ignited,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk]","[Metadata/Effects/Spells/supports/aurafy/fire.epk, Metadata/Effects/Spells/supports/aurafy/fire.epk, Metadata/Effects/Spells/supports/aurafy/large_fire.epk]",[],True,,"<null, null>","<null, null>",,Metadata/Effects/StatusAilments/Ignited_player.epk,False,,[],[],[],"<null, null>"
chilled,Art/2DArt/BuffIcons/buffchilled.dds,[Metadata/Effects/StatusAilments/Chilled.epk],[Metadata/Effects/Spells/supports/aurafy/chilled.epk],[],True,,"<null, null>","<null, null>",,Metadata/Effects/StatusAilments/Chilled_player.epk,False,,[],[],[],"<null, null>"
frozen,Art/2DArt/BuffIcons/bufffrozen.dds,[Metadata/Effects/StatusAilments/Frozen.epk],[Metadata/Effects/Spells/supports/aurafy/ice.epk],[],True,,"<null, null>","<null, null>",,Metadata/Effects/StatusAilments/Frozen_player.epk,False,,[],[],[],"<null, null>"
shocked,Art/2DArt/BuffIcons/buffshocked.dds,"[Metadata/Effects/StatusAilments/shocked.epk, Metadata/Effects/StatusAilments/shocked.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk]","[Metadata/Effects/Spells/supports/aurafy/light.epk, Metadata/Effects/Spells/supports/aurafy/light.epk, Metadata/Effects/Spells/supports/aurafy/large_light.epk]",[],True,,"<null, null>","<null, null>",,Metadata/Effects/StatusAilments/shocked_player.epk,False,,[],[],[],"<null, null>"
arc_trap,Art/2DArt/BuffIcons/ArcTrap.dds,"[Metadata/Effects/StatusAilments/shocked.epk, Metadata/Effects/StatusAilments/shocked.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk]","[Metadata/Effects/Spells/supports/aurafy/light.epk, Metadata/Effects/Spells/supports/aurafy/light.epk, Metadata/Effects/Spells/supports/aurafy/large_light.epk]",[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
sprinting,Art/2DArt/SkillIcons/iconsprint.dds,[],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
grace_period,Art/2DArt/BuffIcons/invulnerability.dds,[],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
god_mode,Art/2DArt/BuffIcons/invulnerability.dds,[],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
experience,Art/2DArt/SkillIcons/iconbash.dds,[],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
poison,Art/2DArt/SkillIcons/iconpoisoned.dds,"[Metadata/Effects/StatusAilments/poisoned_02.epk, Metadata/Effects/StatusAilments/poisoned_02.epk, Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned_02.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned_02.epk]",[Metadata/Effects/StatusAilments/NoEffect.epk],[],True,,"<null, null>","<null, null>",,Metadata/Effects/StatusAilments/poisoned_player.epk,False,,[],[],[],"<null, null>"
caustic_cloud,Art/2DArt/BuffIcons/CausticCloud.dds,"[Metadata/Effects/StatusAilments/poisoned.epk, Metadata/Effects/StatusAilments/poisoned.epk, Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned.epk]",[Metadata/Effects/StatusAilments/NoEffect.epk],[],True,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
blood_rage,Art/2DArt/BuffIcons/buffrage.dds,[Metadata/Effects/StatusAilments/blood_frenzy.epk],[],[],True,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
kiweth_enrage,,[Metadata/Effects/StatusAilments/blood_frenzy.epk],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire,Art/2DArt/BuffIcons/buffonfire.dds,[Metadata/Effects/Spells/ri_fire/bottom.epk],[],[],True,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_sacrifice,Art/2DArt/BuffIcons/buffonfire.dds,[Metadata/Effects/Spells/monsters_effects/league_avatar/Ri_fire_blue/bottom.epk],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_celestial,Art/2DArt/BuffIcons/buffonfire.dds,[Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/bottom.epk],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_harbinger,Art/2DArt/BuffIcons/buffonfire.dds,[Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/bottom.epk],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_aura,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk]",[Metadata/Effects/Spells/ri_fire/player.epk],[],True,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_aura_sacrifice,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk]",[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_aura_celestial,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk]",[Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/player.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_aura_harbinger,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_mid.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_large.epk]",[Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/player.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
righteous_fire_aura_celestial_no_hands,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk, Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk]",[Metadata/Effects/StatusAilments/NoEffect.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
demon_righteous_fire,Art/2DArt/BuffIcons/buffonfire.dds,[Metadata/Effects/Spells/monsters_effects/act3/ri_fire/demon_rifireepk.epk],[],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
demon_righteous_fire_aura,Art/2DArt/BuffIcons/buffonfire.dds,"[Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/Ignited.epk, Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk]",[Metadata/Effects/StatusAilments/NoEffect.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],"[<74, 0>]","<null, null>"
ion_cannon,Art/2DArt/BuffIcons/IonCannon.dds,[Metadata/Effects/StatusAilments/NoEffect.epk],[Metadata/Effects/StatusAilments/NoEffect.epk],[],False,,"<null, null>","<null, null>",,,False,,[],[],[],"<null, null>"
