Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Fehler,,,3680250093,
FatalError,Kritischer Fehler,,,4070060945,
Exception,Ausnahme,,,4223784949,
PassiveInfo1,{0} passive Fertigkeitspunkte insgesamt ({1} zugewiesen),,,1863314651,
PassiveInfo2,{0} passive Fertigkeitspunkte von Charakterstufe,,,4141517413,
PassiveInfo3,({1} von {0}),,,3670814869,
PassiveInfo4,{0} passive Fertigkeitspunkte von Quests:,,,1575369867,
PassiveInfo5,{0} Aszendenzfertigkeitspunkte insgesamt ({1} zugewiesen),,,4245753847,
PassiveInfo6,{0} passive Fertigkeitspunkte von Aszendenzfertigkeiten,,,1636456964,
BugReportInstructions,"Fehlerbericht wird übermittelt. Bitte warte, bis deine Fehlerberichtnummer im Chat erscheint. Erstelle dann einen Screenshot ({0}) und poste diesen in unserem Fehlerberichte-Forum.","Bitte übermittle deine Fehlerberichtnummer und eine kurze Beschreibung des Fehlers im Forenbereich "Konsole: Fehlerberichte" auf de.pathofexile.com.","Bitte übermittle deine Fehlerberichtnummer und eine kurze Beschreibung des Fehlers im Forenbereich "Konsole: Fehlerberichte" auf de.pathofexile.com.",178533524,"Bitte übermittle deine Fehlerberichtnummer und eine kurze Beschreibung des Fehlers im Forenbereich "Konsole: Fehlerberichte" auf de.pathofexile.com."
NoLocalPlayer,Spieler in diesem Gebiet nicht gefunden.,,,2038616933,
PvPTeam1,Rot,,,1296032131,
PvPTeam2,Blau,,,460309644,
PvPTeam3,Grün,,,3315845158,
PvPGainPoint,Team {0} erhält einen Punkt,,,2586663663,
PvPWinMatch,Team {0} hat das Match gewonnen,,,545507044,
PvPRoundDraw,Unentschieden,,,2192364509,
PvPMatchDraw,Match endete in einem Unentschieden,,,3406377088,
PvPMatchPointChange,Punktänderung: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Wertungsänderung: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Ansehen bei Leo erhalten: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Zeit verbleibend: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Runde <valuedefault>{{{0}}} von <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,Flagge von Team {0} wurde entwendet,,,4034670007,
PvPFlagCaptured,Team {0} hat eine Flagge erobert,,,2866411882,
PvPFlagReturned,Flagge von Team {0} wurde zurückgebracht,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} und {1},,,1065249420,
TimeHMS,"{0}, {1} und {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2} und {3}",,,4158702961,
TimeSeconds1,1 Sekunde,,,2807694235,
TimeSecondsN,{0} Sekunden,,,2890677444,
TimeMinutes1,1 Minute,,,665305349,
TimeMinutesN,{0} Minuten,,,1365658360,
TimeHours1,1 Stunde,,,2719451484,
TimeHoursN,{0} Stunden,,,1661968187,
TimeDays1,1 Tag,,,3414308354,
TimeDaysN,{0} Tage,,,1637934387,
Stairs,Treppe,,,2138038182,
MerveilArenaName,Merveils Versteck,,,3397279621,
BrutusArenaName,Die Wärtergemächer,,,732914757,
BrutusAreaName,Das Wärterquartier,,,379298330,
OversoulArenaName,Pyramidenspitze,,,911990357,
WeaverArenaName,Das Nest der Weberin,,,1998328170,
MapWeaverArenaName,Die Webkammer,,,2731574536,
MapTropicalIslandCave,Höhle,,,4133043757,
MapDungeonTransition,Öffnung,,,214387983,
ChatSuppressionToggled,Chat-Unterdrückung {0},,,750697920,
ON,EIN,,,40041830,
OFF,AUS,,,792911763,
OK,OK,,,313245910,
ActionFlask,Fläschchen in Slot {0} benutzen,,,82985129,
ActionSkill,Belegte Fertigkeit {0} benutzen,,,1743454225,
ActionAttackInPlace,Angriff auf der Stelle,,,1049578971,
