Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Error,,,3680250093,
FatalError,Fatal Error,,,4070060945,
Exception,Exception,,,4223784949,
PassiveInfo1,{0} total Passive Skill Points ({1} allocated),,,1863314651,
PassiveInfo2,{0} Passive Skill Points from character level,,,4141517413,
PassiveInfo3,({1} from {0}),,,3670814869,
PassiveInfo4,{0} Passive Skill Points from quests:,,,1575369867,
PassiveInfo5,{0} total Ascendancy Skill Points ({1} allocated),,,4245753847,
PassiveInfo6,{0} Passive Skill Points from Ascendancy Passive Skills,,,1636456964,
BugReportInstructions,"Submitting bug report. Please wait for your bug report number to appear in chat, then take a screenshot ({0}) and post in our bug report forum.",,"Please post your bug report number and a short description of the bug you're encountering in the "Console Bug Reports" section of the Path of Exile forums at pathofexile.com.",178533524,"Please post your bug report number and a short description of the bug you're encountering in the "Console Bug Reports" section of the Path of Exile forums at pathofexile.com."
NoLocalPlayer,Player not found in this area.,,,2038616933,
PvPTeam1,Red,,,1296032131,
PvPTeam2,Blue,,,460309644,
PvPTeam3,Green,,,3315845158,
PvPGainPoint,{0} Team gains a point,,,2586663663,
PvPWinMatch,{0} Team has won the match,,,545507044,
PvPRoundDraw,Draw,,,2192364509,
PvPMatchDraw,Match ended in a draw,,,3406377088,
PvPMatchPointChange,Point Change: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Rating Change: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Leo Reputation Gained: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Time Left: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Round <valuedefault>{{{0}}} of <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,{0} Team's flag has been taken,,,4034670007,
PvPFlagCaptured,{0} Team captured a flag,,,2866411882,
PvPFlagReturned,{0} Team's flag has been returned,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} and {1},,,1065249420,
TimeHMS,"{0}, {1}, and {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2}, and {3}",,,4158702961,
TimeSeconds1,1 second,,,2807694235,
TimeSecondsN,{0} seconds,,,2890677444,
TimeMinutes1,1 minute,,,665305349,
TimeMinutesN,{0} minutes,,,1365658360,
TimeHours1,1 hour,,,2719451484,
TimeHoursN,{0} hours,,,1661968187,
TimeDays1,1 day,,,3414308354,
TimeDaysN,{0} days,,,1637934387,
Stairs,Stairs,,,2138038182,
MerveilArenaName,Merveil's Lair,,,3397279621,
BrutusArenaName,The Warden's Chambers,,,732914757,
BrutusAreaName,The Warden's Quarters,,,379298330,
OversoulArenaName,Pyramid Apex,,,911990357,
WeaverArenaName,The Weaver's Nest,,,1998328170,
MapWeaverArenaName,The Loom Chamber,,,2731574536,
MapTropicalIslandCave,Cave,,,4133043757,
MapDungeonTransition,Opening,,,214387983,
ChatSuppressionToggled,Chat suppression {0},,,750697920,
ON,ON,,,40041830,
OFF,OFF,,,792911763,
OK,OK,,,313245910,
ActionFlask,Use flask in slot {0},,,82985129,
ActionSkill,Use bound skill {0},,,1743454225,
ActionAttackInPlace,Attack in place,,,1049578971,
ActionWeaponSwap,Weapon swap,,,1185678377,
ActionDetonateMines,Detonate mines,,,786396043,
ActionHighlightStuff,Highlight items and objects,,,3914832784,
ActionToggleHighlighting,Toggle highlighting,,,185284004,
ActionEnableCorpseTargeting,Enable corpse targeting,,,1002389647,
ActionChat,Chat,,,1045948793,
ActionChatCommand,Chat Command,,,4076338038,
ActionToggleOverlayMap,Overlay Map,,,3067509084,
ActionOpenOptionsPanel,Options,,,4068914542,
ActionOpenCharacterPanel,Character Screen,Character,,2755982745,
ActionOpenSocialPanel,Social Screen,Social,,2352219498,
ActionOpenLadderPanel,Ladder Screen,,,1065117290,
ActionOpenInventoryPanel,Inventory,Inventory,,3729488291,
ActionOpenChallengePanel,Challenges/Achievements,Challenges,,1921730608,
ActionOpenEventsPanel,Events and PvP,,,3269057420,
ActionOpenWorldPanel,World Screen,World,,4002122015,
ActionOpenPassivePanel,Passive Skill Tree,Passives,,4032113331,
ActionOpenMtxStash,Microtransaction Stash,,,4032433132,
ActionOpenMarketPanel,Market Panel,"<rgb(113,178,95)>{Microtransactions}",,2025880164,
ActionOpenGuidebookPanel,Help Panel,,,3964036413,
ActionCloseAllPanels,Close All User Interface,,,2732454597,
ActionScreenshot,Take a screenshot,,,1873565171,
ActionZoomIn,Zoom the camera in,,,1157312821,
ActionZoomOut,Zoom the camera out,,,417912511,
ActionTogglePerfGraphs,Toggle Performance Metrics,,,2426729589,
ActionEnableKeyPickup,Item pickup key,,,2283312710,
UIOpenPanelDescription,{0} ({1}),,,4266773671,
UIOpenPanelDescriptionNoKey,{0},,,3397484577,
UIOpenChatDescription,"{0} ({1}, SHIFT + {1} for Global chat, CTRL + {1} for Whisper chat)",,,3869157629,
EternalLaboratoryName,Eternal Laboratory,,,1171213618,
WeaponSwapFailed,Set up a second weapon set in your inventory to use weapon swap.,,,3849565009,
CorpseSuffix, (Corpse),,,1568335048,
PlayerHighlight,{0} (Level {1}),,,281414939,
ResistsElemental,Resists Elemental Damage,,,2355501115,
ResistsFire,Resists Fire,,,3428830622,
ResistsCold,Resists Cold,,,3865474588,
ResistsLightning,Resists Lightning,,,2005866005,
ResistsChaos,Resists Chaos,,,1964490952,
VulnerableToElemental,Vulnerable to Elemental Damage,,,1048636618,
VulnerableToFire,Vulnerable to Fire,,,379623504,
VulnerableToCold,Vulnerable to Cold,,,223244546,
VulnerableToLightning,Vulnerable to Lightning,,,770197332,
VulnerableToChaos,Vulnerable to Chaos,,,137186857,
PvPFlagDropped,{0} Team's flag has been dropped.,,,3506951400,
Portal,Portal,,,1204384410,
Enter,Enter,,,3180686087,
AtziriArenaName,The Queen's Chamber,,,2709061525,
Arena,Arena,,,2642601211,
Cancel,Cancel,,,4064386533,
Yes,Yes,,,1353070260,
No,No,,,2178273524,
Back,Back,,,4187115617,
ClickToLevelGemText,"Click to level up this {0} gem
Right click to dismiss this without levelling the gem",,,1076314027,
ClickToLevelGemLabel,Click to level up,,,2290695098,
CannotLevelGemText,"You cannot level up this {0} gem because you don't meet the requirements
Right click to dismiss this",,,611863938,
CannotLevelGemLabel,Gem cannot level up,,,2934131460,
OrbLifeValue,Life,,,2482551225,
OrbShieldValue,Shield,,,562278259,
OrbManaValue,Mana,,,4159889721,
OrbReservedLifeValue,Reserved,,,820937648,
OrbReservedManaValue,Reserved,,,2060596384,
HUDPassivePoint,{0} Passive Skill Point available,,,931351525,
HUDPassivePoints,{0} Passive Skill Points available,,,712908930,
HUDPassiveAllocation,{0} unconfirmed Passive Skill allocation,,,3139237071,
HUDPassiveAllocations,{0} unconfirmed Passive Skill allocations,,,1610163065,
HUDPassiveRefund,{0} unconfirmed Passive Skill refund,,,2254250599,
HUDPassiveRefunds,{0} unconfirmed Passive Skill refunds,,,4172341501,
PassiveTreePanelTitle,Skills,,,15793221,
PassiveTreeRefundLeft,{0} Refund Point Left,,,2084859550,
PassiveTreeRefundsLeft,{0} Refund Points Left,,,864457643,
PassiveTreePointLeft,{0} Point Left,,,2620690382,
PassiveTreePointsLeft,{0} Points Left,,,3502198058,
PassiveTreeAscendancyPointLeft,{0} Ascendancy Point Left,,,3495526896,
PassiveTreeAscendancyPointsLeft,{0} Ascendancy Points Left,,,160192305,
PassiveTreeApplyPoints,Apply Points,,,416132940,
PassiveTreeApplyRefunds,Apply Refunds,,,76675089,
PassiveTreeRefundMode,Refund Passives,,,634281553,
PassiveTreeResetButton,Reset all Passives,,,851652802,
PassiveTreeResetButtonWarning,This will reset all of your passive skills. We are unable to reset them again later if you make a mistake re-allocating them. Do you want to proceed?,,,1755892621,
PassiveTreeResetMessageTitle,Full Passive Skill Reset,,,3081782401,
PassiveTreeResetMessageDescription,Your character has been granted a one-use full passive skill reset. If you allocate or refund any other passives before using this opportunity then it will be lost.,,,3197120837,
PassiveTreeResetApplyWarning,Allocating or refunding a passive skill will remove your ability to take advantage of the one-off full passive skill reset.,,,2190156233,
PassiveTreeStrengthRequired,{0} more Strength required,,,869053623,
PassiveTreeDexterityRequired,{0} more Dexterity required,,,3688262230,
PassiveTreeIntelligenceRequired,{0} more Intelligence required,,,3223226935,
PassiveTreeItemRequirements,Item Requirements:,,,1450941909,
PassiveTreeChangeConfirmation,Do you want to apply your passive skill changes?,,,1291024192,
PassiveTreeConfirmation,Do you want to proceed?,,,1737871819,
PassiveNodeAllocate,Click to allocate,,,1690177838,
PassiveNodeUnallocate,Click to unallocate,,,3694768347,
PassiveNodeRequirementsNotMet,Requirements not met,,,3278363311,
PassiveNodeUnallocated,Unallocated,,,1906264842,
PassiveTreeSaveBuild,Save Plan,,,2108726996,
PassiveTreeSaveAllocated,Save Build,,,3029146167,
PassiveTreeModifyBuild,Modify Plan,,,320097626,
PassiveTreeClearBuild,Clear Plan,,,4168547533,
PassiveTreeErrorWrongClass,This build is intended for {0} characters.,,,1874388753,
PassiveTreeErrorPassiveDoesNotExist,"Cannot read from file.
The build file may be using an older version of the skill tree or may contain corrupted data.",,,3405446329,
PassiveTreeBuildLoaded,Build Loaded: ,,,2703427451,
PassiveTreeBuildSaved,Build Saved: ,,,1737272639,
Level,Level,,,1564186719,
Experience,Experience,,,1135644432,
StrengthDescription,"2 Strength = +1 Life
5 Strength = +1% Melee Physical Damage",,,502591132,
DexterityDescription,"1 Dexterity = +2 Accuracy
5 Dexterity = +1% Evasion",,,133325521,
IntelligenceDescription,"2 Intelligence = +1 Mana
5 Intelligence = +1% Energy Shield",,,1789395335,
Strength,Strength,,,1433993798,
Dexterity,Dexterity,,,2200457956,
Intelligence,Intelligence,,,4289816825,
StrengthShort,Str,,,3274737212,
DexterityShort,Dex,,,1681666402,
IntelligenceShort,Int,,,1927062563,
CharacterPanelTitle,Character,,,2446296958,
ExperienceBarPopup1,Level {1} ({0}{2}%),,,2986957252,
ExperienceBarPopup2,Current Exp: {0} / Next Level: {1},,,135563749,
ExperienceBarPopup3,Exp Per Hour: {0},,,2450732640,
MapOverlayMonsterLevel,Monster Level: {0},,,1532933650,
MapOverlayLeague,{0} League,,,4032306906,
MapOverlayRealm,{0} Realm,,,1106390316,
Continue,Continue,,,1508132616,
Goodbye,Goodbye,,,1453395088,
Quality,Quality,,,2858785479,
ItemViewSocketsNotShown,[Sockets not shown],,,527743866,
ItemViewDefencesNotShown,[Defences not shown],,,1734671844,
ItemViewSocketsAndDefencesNotShown,[Sockets and Defences not shown],,,3218243493,
ItemViewSkillGemReadyToLevel,This skill gem is ready to level up.,,,2904299305,
ItemLevelPopup,Item Level: {0},,,29425737,
WorldPanelTitle,World,,,4240008071,
WorldPanelAct,Act {0},,,2813436079,
WorldPanelPart,Part {0},,,396361781,
MapLegendTitle,Map Legend,,,3725936671,
MapLegendCurrentLocation,Current Location,,,868323728,
MapLegendTown,Town,,,3147658733,
MapLegendUnknownArea,Unknown Area,,,95254404,
MapLegendKnownArea,Visited Area,,,1315035060,
MapLegendKnownAreaWaypoint,Area with Inactive Waypoint,,,3437093427,
MapLegendKnownAreaWaypointEnabled,Area with Active Waypoint,,,645213164,
MapLegendQuestLocation,Quest Location,,,3602297530,
MapLegendConnection,Connection,,,451681003,
MapLegendCannotTravel,Blockage (Hover for Info),Blockage,,2874284223,
MapLegendHideout,Hideout,,,1680633138,
ChatErrorUnknownRealm,That realm does not exist.,,,140865553,
ChatTimeoutMessage,Timeout while joining {0} chat.,,,1739553442,
ChatTimeoutMessageChannel,Timeout while joining {0} chat channel {1},,,2127175811,
ChatTimeoutMessageTrade,trade,,,2492596108,
ChatTimeoutMessageGlobal,global,,,4184329022,
ChatBoxChannelNameGlobal,Global,,,2781001569,
ChatBoxChannelNameLocal,Local,,,2225427858,
ChatBoxChannelNameTrade,Trade,,,1912556515,
ChatBoxChannelNameParty,Party,,,516553854,
ChatBoxChannelNameWhisper,Whisper,,,4115475819,
ChatBoxChannelNameGuild,Guild,,,2642488696,
