Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Error,,,3680250093,
FatalError,Error Fatal,,,4070060945,
Exception,Excepción,,,4223784949,
PassiveInfo1,{0} Punto(s) de Habilidades Pasivas total(es) ({1} asignado(s)),,,1863314651,
PassiveInfo2,{0} Puntos de Habilidades Pasivas de nivel de personaje,,,4141517413,
PassiveInfo3,({1} de {0}),,,3670814869,
PassiveInfo4,{0} Puntos de Habilidades Pasivas por misiones:,,,1575369867,
PassiveInfo5,{0} Punto(s) de Habilidades de Ascendencia total(es) ({1} asignado(s)),,,4245753847,
PassiveInfo6,{0} Puntos de Habilidades Pasivas de Habilidades de Ascendencia Pasivas,,,1636456964,
BugReportInstructions,"Enviando reporte de error. Por favor espera a que tu número de reporte aparezca en el chat, haz una captura de pantalla ({0}) y publícala en nuestro foro de reporte de errores.","Por favor publica el número de tu reporte de error y una descripción corta del error que has encontrado en la sección del foro de Path of Exile "Reportes de errores de consolas" en es.pathofexile.com.","Por favor, publica el número de reporte del error y una pequeña descripción del error que has encontrado en la sección del foro de Path of Exile "Reportes de errores de consolas" en es.pathofexile.com.",178533524,"Por favor, publica el número de reporte del error y una pequeña descripción del error que has encontrado en la sección del foro de Path of Exile "Reportes de errores de consolas" en es.pathofexile.com."
NoLocalPlayer,No se encontró al jugador en esta área.,,,2038616933,
PvPTeam1,Rojo,,,1296032131,
PvPTeam2,Azul,,,460309644,
PvPTeam3,Verde,,,3315845158,
PvPGainPoint,El equipo {0} gana un punto,,,2586663663,
PvPWinMatch,El equipo {0} ha ganado el combate,,,545507044,
PvPRoundDraw,Empate,,,2192364509,
PvPMatchDraw,El combate finalizó en empate,,,3406377088,
PvPMatchPointChange,Variación de Puntos: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Variación de Ranking: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Reputación Ganada de Leo: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Tiempo Restante: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Ronda <valuedefault>{{{0}}} de <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,La bandera del equipo {0} ha sido capturada,,,4034670007,
PvPFlagCaptured,El equipo {0} capturó una bandera,,,2866411882,
PvPFlagReturned,La bandera del equipo {0} ha sido regresada,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} y {1},,,1065249420,
TimeHMS,"{0}, {1}, y {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2}, y {3}",,,4158702961,
TimeSeconds1,1 segundo,,,2807694235,
TimeSecondsN,{0} segundos,,,2890677444,
TimeMinutes1,1 minuto,,,665305349,
TimeMinutesN,{0} minutos,,,1365658360,
TimeHours1,1 hora,,,2719451484,
TimeHoursN,{0} horas,,,1661968187,
TimeDays1,1 día,,,3414308354,
TimeDaysN,{0} días,,,1637934387,
Stairs,Escaleras,,,2138038182,
MerveilArenaName,Guarida de Merveil,,,3397279621,
BrutusArenaName,Las Cámaras del Guardián,,,732914757,
BrutusAreaName,Los Cuarteles del Guardián,,,379298330,
OversoulArenaName,Cúspide de la Pirámide,,,911990357,
WeaverArenaName,El Nido de la Tejedora,,,1998328170,
MapWeaverArenaName,La Cámara de los Telares,,,2731574536,
MapTropicalIslandCave,Cueva,,,4133043757,
MapDungeonTransition,Comienzo,,,214387983,
ChatSuppressionToggled,Supresión del chat {0},,,750697920,
ON,Activado,,,40041830,
OFF,Desactivado,,,792911763,
OK,OK,,,313245910,
ActionFlask,Usar frasco en espacio {0},,,82985129,
ActionSkill,Usar habilidad vinculada {0},,,1743454225,
ActionAttackInPlace,Atacar en el lugar,,,1049578971,
ActionWeaponSwap,Intercambio de armas,,,1185678377,
ActionDetonateMines,Detonar Minas,,,786396043,
ActionHighlightStuff,Resaltar objetos,,,3914832784,
ActionToggleHighlighting,Alternar la función de resaltado,,,185284004,
ActionEnableCorpseTargeting,<size:26>{Permitir selección de cadáveres},,,1002389647,
ActionChat,Chat,,,1045948793,
ActionChatCommand,Comando de chat,,,4076338038,
ActionToggleOverlayMap,Mapa de Transparencia,,,3067509084,
ActionOpenOptionsPanel,Opciones,,,4068914542,
ActionOpenCharacterPanel,Pantalla del Personaje,Personaje,,2755982745,
ActionOpenSocialPanel,Pantalla Social,Social,,2352219498,
ActionOpenLadderPanel,Pantalla de Clasificación,,,1065117290,
ActionOpenInventoryPanel,Inventario,Inventario,,3729488291,
ActionOpenChallengePanel,Desafíos/Logros,Desafíos,,1921730608,
ActionOpenEventsPanel,Eventos y JcJ,,,3269057420,
ActionOpenWorldPanel,Pantalla del Mundo,Mundo,,4002122015,
ActionOpenPassivePanel,Árbol de Habilidades Pasivas,Pasivas,,4032113331,
ActionOpenMtxStash,Alijo de Microtransacciones,,,4032433132,
ActionOpenMarketPanel,Panel del Mercado,"<rgb(113,178,95)>{Microtransacciones}",,2025880164,
ActionOpenGuidebookPanel,Panel de Ayuda,,,3964036413,
ActionCloseAllPanels,Cerrar toda la interfaz de usuario,,,2732454597,
ActionScreenshot,Hacer una captura de pantalla,,,1873565171,
ActionZoomIn,Acercar la cámara,,,1157312821,
ActionZoomOut,Alejar la cámara,,,417912511,
ActionTogglePerfGraphs,<size:26>{Alternar estadísticas de rendimiento},,,2426729589,
ActionEnableKeyPickup,Tecla para recoger objetos,,,2283312710,
UIOpenPanelDescription,{0} ({1}),,,4266773671,
UIOpenPanelDescriptionNoKey,{0},,,3397484577,
UIOpenChatDescription,"{0} ({1}, SHIFT + {1} para el chat Global, CTRL + {1} para el chat de Susurros)",,,3869157629,
EternalLaboratoryName,Laboratorio Eterno,,,1171213618,
WeaponSwapFailed,Coloca una segunda arma en tu inventario para poder intercambiar las armas.,,,3849565009,
CorpseSuffix, (Cadáver),,,1568335048,
PlayerHighlight,{0} (Nivel {1}),,,281414939,
ResistsElemental,Resiste Daño Elemental,,,2355501115,
ResistsFire,Resiste Fuego,,,3428830622,
ResistsCold,Resiste Hielo,,,3865474588,
ResistsLightning,Resiste Rayo,,,2005866005,
ResistsChaos,Resiste Caos,,,1964490952,
VulnerableToElemental,Vulnerable al Daño Elemental,,,1048636618,
VulnerableToFire,Vulnerable al Fuego,,,379623504,
VulnerableToCold,Vulnerable al Hielo,,,223244546,
VulnerableToLightning,Vulnerable al Rayo,,,770197332,
VulnerableToChaos,Vulnerable al Caos,,,137186857,
PvPFlagDropped,La Bandera del Equipo {0} ha sido soltada.,,,3506951400,
Portal,Portal,,,1204384410,
Enter,Entrar,,,3180686087,
AtziriArenaName,La Recámara de la Reina,,,2709061525,
Arena,Arena,,,2642601211,
Cancel,Cancelar,,,4064386533,
Yes,Sí,,,1353070260,
No,No,,,2178273524,
Back,Atrás,,,4187115617,
ClickToLevelGemText,"Haz clic para subir de nivel esta gema de {0}
Haz clic derecho para ignorar esto sin subir de nivel la gema",,,1076314027,
ClickToLevelGemLabel,Haz clic para subir de nivel,,,2290695098,
CannotLevelGemText,"No puedes subir de nivel esta gema de {0} porque no cumples los requisitos
Clic derecho para ignorar esto",,,611863938,
CannotLevelGemLabel,La gema no puede subir de nivel,,,2934131460,
OrbLifeValue,Vida,,,2482551225,
OrbShieldValue,Escudo,,,562278259,
OrbManaValue,Maná,,,4159889721,
OrbReservedLifeValue,Reservado,,,820937648,
OrbReservedManaValue,Reservado,,,2060596384,
HUDPassivePoint,{0} punto de habilidades pasivas disponible,,,931351525,
HUDPassivePoints,{0} puntos de habilidades pasivas disponibles,,,712908930,
HUDPassiveAllocation,{0} habilidad pasiva asignada sin confirmar,,,3139237071,
HUDPassiveAllocations,{0} habilidades pasivas asignadas sin confirmar,,,1610163065,
HUDPassiveRefund,{0} reintegro de habilidades pasivas sin confirmar,,,2254250599,
HUDPassiveRefunds,{0} reintegros de habilidades pasivas sin confirmar,,,4172341501,
PassiveTreePanelTitle,Habilidades,,,15793221,
PassiveTreeRefundLeft,Queda {0} Punto de Reintegro,,,2084859550,
PassiveTreeRefundsLeft,<size:25>{{Quedan {0} Puntos de Reintegro}},,,864457643,
PassiveTreePointLeft,Queda {0} Punto,,,2620690382,
PassiveTreePointsLeft,Quedan {0} Puntos,,,3502198058,
PassiveTreeAscendancyPointLeft,Queda {0} Punto de Ascendencia,,,3495526896,
PassiveTreeAscendancyPointsLeft,Quedan {0} Puntos de Ascendencia,,,160192305,
PassiveTreeApplyPoints,Aplicar Puntos,,,416132940,
PassiveTreeApplyRefunds,Aplicar Reintegros,,,76675089,
PassiveTreeRefundMode,Reintegrar Pasivas,,,634281553,
PassiveTreeResetButton,Restablecer todas las Pasivas,,,851652802,
PassiveTreeResetButtonWarning,Esto restablecerá todas tus habilidades pasivas. No podemos restablecerlas nuevamente si cometes un error al reasignarlas. ¿Deseas continuar?,,,1755892621,
PassiveTreeResetMessageTitle,Restablecimiento Total de Habilidades Pasivas,,,3081782401,
PassiveTreeResetMessageDescription,"Se le ha otorgado a tu personaje una única posibilidad de restablecimiento total de habilidades pasivas. Si asignas o reintegras cualquier otra pasiva antes de usarla, pierdes la oportunidad.",,,3197120837,
PassiveTreeResetApplyWarning,"Si asignas o reintegras alguna habilidad pasiva, ya no podrás hacer uso del restablecimiento total de habilidades pasivas.",,,2190156233,
PassiveTreeStrengthRequired,Requiere {0} más de Fuerza,,,869053623,
PassiveTreeDexterityRequired,Requiere {0} más de Destreza,,,3688262230,
PassiveTreeIntelligenceRequired,Requiere {0} más de Inteligencia,,,3223226935,
PassiveTreeItemRequirements,Requerimientos del Objeto:,,,1450941909,
PassiveTreeChangeConfirmation,¿Quieres aplicar los cambios a tus habilidades pasivas?,,,1291024192,
PassiveTreeConfirmation,¿Quieres continuar?,,,1737871819,
PassiveNodeAllocate,Haz clic para asignar,,,1690177838,
PassiveNodeUnallocate,Haz clic para desasignar,,,3694768347,
PassiveNodeRequirementsNotMet,No cumples los requisitos,,,3278363311,
PassiveNodeUnallocated,Sin asignar,,,1906264842,
PassiveTreeSaveBuild,Guardar Plan,,,2108726996,
PassiveTreeSaveAllocated,Guardar Build de Habilidades,,,3029146167,
PassiveTreeModifyBuild,Modificar Plan,,,320097626,
PassiveTreeClearBuild,Borrar Plan,,,4168547533,
PassiveTreeErrorWrongClass,Esta build está pensada para personajes de {0} .,,,1874388753,
PassiveTreeErrorPassiveDoesNotExist,"No se puede leer el archivo.
La build puede estar usando una versión más antigua del árbol de habilidades o puede tener datos corruptos.",,,3405446329,
PassiveTreeBuildLoaded,Build Cargada:,,,2703427451,
PassiveTreeBuildSaved,Build Guardada:,,,1737272639,
Level,Nivel,,,1564186719,
Experience,Experiencia,,,1135644432,
StrengthDescription,"2 de Fuerza = +1 de Vida
5 de Fuerza = +1% de Daño Físico Cuerpo a Cuerpo",,,502591132,
DexterityDescription,"1 de Destreza = +2 de Precisión
5 de Destreza = +1% de Evasión",,,133325521,
IntelligenceDescription,"2 de Inteligencia = +1 de Maná
5 de Inteligencia = +1% de Escudo de Energía",,,1789395335,
Strength,Fuerza,,,1433993798,
Dexterity,Destreza,,,2200457956,
Intelligence,Inteligencia,,,4289816825,
StrengthShort,Fue,,,3274737212,
DexterityShort,Des,,,1681666402,
IntelligenceShort,Int,,,1927062563,
CharacterPanelTitle,Personaje,,,2446296958,
ExperienceBarPopup1,Nivel {1} ({0}{2}%),,,2986957252,
ExperienceBarPopup2,Exp. actual: {0} / Siguiente nivel: {1},,,135563749,
ExperienceBarPopup3,Exp. Por Hora: {0},,,2450732640,
MapOverlayMonsterLevel,Nivel de los monstruos: {0},,,1532933650,
MapOverlayLeague,Liga {0},,,4032306906,
MapOverlayRealm,Reino {0},,,1106390316,
Continue,Continuar,,,1508132616,
Goodbye,Adiós,,,1453395088,
Quality,Calidad,,,2858785479,
ItemViewSocketsNotShown,[No se muestran los engarces],,,527743866,
ItemViewDefencesNotShown,[No se muestran las defensas],,,1734671844,
ItemViewSocketsAndDefencesNotShown,[No se muestran los engarces ni las defensas],,,3218243493,
