Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Erreur,,,3680250093,
FatalError,Erreur fatale,,,4070060945,
Exception,Exception,,,4223784949,
PassiveInfo1,{0} points de Passif au total ({1} d'attribués),,,1863314651,
PassiveInfo2,{0} points de Passif provenant du niveau du personnage,,,4141517413,
PassiveInfo3,({1} pour « {0} »),,,3670814869,
PassiveInfo4,{0} points de Passif provenant des quêtes :,,,1575369867,
PassiveInfo5,{0} points de Passif d'Ascendance au total ({1} d'attribués),,,4245753847,
PassiveInfo6,{0} points de Passif provenant des Passifs d'Ascendance,,,1636456964,
BugReportInstructions,"Signalement de bug en cours. Dès que le chiffre du rapport apparaît dans le tchat, veuillez prendre une capture d'écran ({0}), puis publiez-la sur notre forum de signalement de bugs.",Merci d'indiquer le numéro de votre signalement de bug ainsi qu'une courte description du problème rencontré dans la section « Signalements de bugs – Consoles » du forum sur fr.pathofexile.com.,Merci d'indiquer le numéro de votre signalement de bug ainsi qu'une courte description du problème rencontré dans la section « Signalements de bugs – Consoles » du forum sur fr.pathofexile.com.,178533524,Merci d'indiquer le numéro de votre signalement de bug ainsi qu'une courte description du problème rencontré dans la section « Signalements de bugs – Consoles » du forum sur fr.pathofexile.com.
NoLocalPlayer,Joueur introuvable dans cette zone.,,,2038616933,
PvPTeam1,Rouge,,,1296032131,
PvPTeam2,Bleue,,,460309644,
PvPTeam3,Verte,,,3315845158,
PvPGainPoint,L'équipe {0} marque un point,,,2586663663,
PvPWinMatch,L'équipe {0} a gagné la partie,,,545507044,
PvPRoundDraw,Match nul,,,2192364509,
PvPMatchDraw,La partie s'est terminée sur un nul,,,3406377088,
PvPMatchPointChange,Modification des points : <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Modification du classement : <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Réputation acquise auprès de Léo : <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Temps restant : <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Manche <valuedefault>{{{0}}} sur <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,Le drapeau de l'équipe {0} a été capturé.,,,4034670007,
PvPFlagCaptured,L'équipe {0} a capturé un drapeau.,,,2866411882,
PvPFlagReturned,Le drapeau de l'équipe {0} a été récupéré.,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0} à {1},,,309782114,
