Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,패스 오브 엑자일,,,1004783882,
Error,오류,,,3680250093,
FatalError,치명적 오류,,,4070060945,
Exception,예외,,,4223784949,
PassiveInfo1,총 패시브 스킬 포인트 {0}포인트 ({1}포인트 할당됨),,,1863314651,
PassiveInfo2,캐릭터 레벨에서 패시브 스킬 포인트 {0}포인트,,,4141517413,
PassiveInfo3,({0}점 중 {1}점),,,3670814869,
PassiveInfo4,퀘스트에서 패시브 스킬 포인트 {0}포인트,,,1575369867,
PassiveInfo5,총 전직 스킬 포인트 {0}포인트 ({1}포인트 할당됨),,,4245753847,
PassiveInfo6,전직 패시브 스킬에서 패시브 스킬 포인트 {0}포인트,,,1636456964,
BugReportInstructions,"버그를 신고하는 중입니다. 채팅창에 버그 신고 번호가 나타날 때까지 기다리신 후, 스크린샷({0})을 찍어 버그 신고 포럼에 게시해주십시오.","버그 신고 번호와 현재 겪고 계신 버그에 대한 간략한 설명을 pathofexile.com에 있는 "콘솔 버그 신고" 섹션에 남겨주십시오.","버그 신고 번호와 현재 겪고 계신 버그에 대한 간략한 설명을 pathofexile.com에 있는 "콘솔 버그 신고" 섹션에 남겨주십시오.",178533524,"버그 신고 번호와 현재 겪고 계신 버그에 대한 간략한 설명을 pathofexile.com에 있는 "콘솔 버그 신고" 섹션에 남겨주십시오."
NoLocalPlayer,이 지역에서 플레이어를 찾을 수 없습니다.,,,2038616933,
PvPTeam1,빨강,,,1296032131,
PvPTeam2,파랑,,,460309644,
PvPTeam3,초록,,,3315845158,
PvPGainPoint,{0} 팀 포인트 획득,,,2586663663,
PvPWinMatch,{0} 팀 경기 승리,,,545507044,
PvPRoundDraw,무승부,,,2192364509,
PvPMatchDraw,경기 무승부,,,3406377088,
PvPMatchPointChange,포인트 변동: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,등급 변동: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,획득한 레오 평판: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,남은 시간: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,라운드 <valuedefault>{{{0}}} / <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,{0} 팀이 깃발을 빼앗겼습니다,,,4034670007,
PvPFlagCaptured,{0} 팀이 깃발을 획득하였습니다,,,2866411882,
PvPFlagReturned,{0} 팀의 깃발이 적에게 넘어갔습니다,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}~{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,"{0}, {1}",,,1065249420,
TimeHMS,"{0}, {1}, {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2}, {3}",,,4158702961,
TimeSeconds1,1초,,,2807694235,
TimeSecondsN,{0}초,,,2890677444,
TimeMinutes1,1분,,,665305349,
TimeMinutesN,{0}분,,,1365658360,
TimeHours1,1시,,,2719451484,
TimeHoursN,{0}시,,,1661968187,
TimeDays1,1일,,,3414308354,
TimeDaysN,{0}일,,,1637934387,
Stairs,계단,,,2138038182,
MerveilArenaName,머베일의 소굴,,,3397279621,
BrutusArenaName,간수의 방,,,732914757,
BrutusAreaName,간수의 숙소,,,379298330,
OversoulArenaName,피라미드 최상층,,,911990357,
WeaverArenaName,거미의 둥지,,,1998328170,
MapWeaverArenaName,직공의 방,,,2731574536,
MapTropicalIslandCave,동굴,,,4133043757,
MapDungeonTransition,들어가기,,,214387983,
ChatSuppressionToggled,채팅 중지 {0},,,750697920,
ON,켜기,,,40041830,
OFF,끄기,,,792911763,
OK,확인,,,313245910,
ActionFlask,플라스크 슬롯 {0} 사용,,,82985129,
ActionSkill,지정 스킬 {0} 사용,,,1743454225,
ActionAttackInPlace,제자리 공격,,,1049578971,
ActionWeaponSwap,무기 교체,,,1185678377,
ActionDetonateMines,지뢰 폭발,,,786396043,
ActionHighlightStuff,아이템 및 물체 강조,,,3914832784,
ActionToggleHighlighting,강조 표시 켜기/끄기,,,185284004,
ActionEnableCorpseTargeting,시체 조준 활성화,,,1002389647,
ActionChat,채팅,,,1045948793,
ActionChatCommand,채팅 명령어,,,4076338038,
ActionToggleOverlayMap,미니 맵 전환,,,3067509084,
ActionOpenOptionsPanel,설정,,,4068914542,
ActionOpenCharacterPanel,캐릭터 창,캐릭터,,2755982745,
ActionOpenSocialPanel,소셜 창,소셜,,2352219498,
ActionOpenLadderPanel,래더 화면,,,1065117290,
ActionOpenInventoryPanel,소지품창,소지품창,,3729488291,
ActionOpenChallengePanel,도전과제/업적,도전과제,,1921730608,
ActionOpenEventsPanel,이벤트 및 PvP,,,3269057420,
ActionOpenWorldPanel,세계 지도,세계,,4002122015,
ActionOpenPassivePanel,패시브 스킬 트리,패시브 스킬,,4032113331,
ActionOpenMtxStash,포인트 아이템 보관함,,,4032433132,
ActionOpenMarketPanel,시장 화면,"<rgb(113,178,95)>{포인트 아이템}",,2025880164,
ActionOpenGuidebookPanel,도움말 화면,,,3964036413,
ActionCloseAllPanels,모든 사용자 인터페이스 닫기,,,2732454597,
ActionScreenshot,스크린샷 찍기,,,1873565171,
ActionZoomIn,시야 확대,,,1157312821,
ActionZoomOut,시야 축소,,,417912511,
ActionTogglePerfGraphs,성능 지표 켜기/끄기,,,2426729589,
ActionEnableKeyPickup,아이템 획득 키,,,2283312710,
UIOpenPanelDescription,{0} ({1}),,,4266773671,
UIOpenPanelDescriptionNoKey,{0},,,3397484577,
UIOpenChatDescription,"{0} ({1}, 전체 채팅은 Shift + {1}, 귓속말 채팅은 ctrl + {1})",,,3869157629,
EternalLaboratoryName,영원한 실험실,,,1171213618,
WeaponSwapFailed,무기를 교체하려면 소지품창에서 두 번째 무기 세트를 장착하십시오.,,,3849565009,
CorpseSuffix, (시신),,,1568335048,
PlayerHighlight,{0} ({1} 레벨),,,281414939,
ResistsElemental,원소 피해 저항,,,2355501115,
ResistsFire,화염 저항,,,3428830622,
ResistsCold,냉기 저항,,,3865474588,
ResistsLightning,번개 저항,,,2005866005,
ResistsChaos,카오스 저항,,,1964490952,
VulnerableToElemental,원소 피해에 취약,,,1048636618,
VulnerableToFire,화염에 취약,,,379623504,
VulnerableToCold,냉기에 취약,,,223244546,
VulnerableToLightning,번개에 취약,,,770197332,
VulnerableToChaos,카오스에 취약,,,137186857,
PvPFlagDropped,{0} 팀의 깃발이 땅에 떨어졌습니다.,,,3506951400,
Portal,포탈,,,1204384410,
Enter,입장,,,3180686087,
AtziriArenaName,여왕의 방,,,2709061525,
Arena,투기장,,,2642601211,
Cancel,취소,,,4064386533,
Yes,예,,,1353070260,
No,아니요,,,2178273524,
Back,뒤로,,,4187115617,
ClickToLevelGemText,"클릭하여 {0} 젬 레벨 업
우클릭하여 젬 레벨 업 중단 및 팝업 방지",,,1076314027,
ClickToLevelGemLabel,클릭하여 레벨 업,,,2290695098,
CannotLevelGemText,"요구사항 미충족으로 {0} 젬 레벨 업 불가
우클릭하여 팝업 방지",,,611863938,
CannotLevelGemLabel,젬 레벨 업 불가,,,2934131460,
OrbLifeValue,생명력,,,2482551225,
OrbShieldValue,보호막,,,562278259,
OrbManaValue,마나,,,4159889721,
OrbReservedLifeValue,점유,,,820937648,
OrbReservedManaValue,점유,,,2060596384,
HUDPassivePoint,패시브 스킬 포인트 {0}포인트 사용 가능,,,931351525,
HUDPassivePoints,패시브 스킬 포인트 {0}포인트 사용 가능,,,712908930,
HUDPassiveAllocation,패시브 스킬 포인트 {0}포인트 할당 중,,,3139237071,
HUDPassiveAllocations,패시브 스킬 포인트 {0}포인트 할당 중,,,1610163065,
HUDPassiveRefund,패시브 스킬 포인트 {0}포인트 반환 중,,,2254250599,
HUDPassiveRefunds,패시브 스킬 포인트 {0}포인트 반환 중,,,4172341501,
PassiveTreePanelTitle,스킬,,,15793221,
PassiveTreeRefundLeft,반환 포인트: {0}포인트,,,2084859550,
PassiveTreeRefundsLeft,반환 포인트: {0}포인트,,,864457643,
PassiveTreePointLeft,{0}포인트 남음,,,2620690382,
PassiveTreePointsLeft,{0}포인트 남음,,,3502198058,
PassiveTreeAscendancyPointLeft,전직 포인트 {0}포인트 남음,,,3495526896,
PassiveTreeAscendancyPointsLeft,전직 포인트 {0}포인트 남음,,,160192305,
PassiveTreeApplyPoints,적용,,,416132940,
PassiveTreeApplyRefunds,반환 적용,,,76675089,
PassiveTreeRefundMode,패시브 스킬 반환,,,634281553,
PassiveTreeResetButton,모든 패시브 스킬 초기화,,,851652802,
PassiveTreeResetButtonWarning,패시브 스킬이 모두 초기화될 것입니다. 이후에 스킬 포인트를 잘못 투자하더라도 다시 초기화할 수 없습니다. 이대로 진행하시겠습니까?,,,1755892621,
PassiveTreeResetMessageTitle,패시브 스킬 전체 초기화,,,3081782401,
