Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Erro,,,3680250093,
FatalError,Erro Fatal,,,4070060945,
Exception,Exceção,,,4223784949,
PassiveInfo1,{0} Pontos de Habilidades Passivas totais - {1} alocado(s),,,1863314651,
PassiveInfo2,{0} Pontos de Habilidade Passiva pelo nível do personagem,,,4141517413,
PassiveInfo3,({1} de {0}),,,3670814869,
PassiveInfo4,{0} Pontos de Habilidade Passiva por missões:,,,1575369867,
PassiveInfo5,{0} Pontos de Habilidade de Ascensão - {1} alocado(s),,,4245753847,
PassiveInfo6,{0} Pontos de Habilidade Passiva pelas Habilidades Passivas de Ascensão,,,1636456964,
BugReportInstructions,"Enviando relatório de erros. Por favor, espere o número de seu relatório de erros aparecer no chat, então tire uma captura de tela ({0}) e publique em nosso fórum de relatório de erros.","Por favor poste seu relatório de bug e uma descrição curta do bug que encontrou na seção "Relatórios de Bugs no Console" dos fórums do Path of Exile em pathofexile.com.","Por favor, poste o número do seu relatório de bug com uma breve descrição do bug que encontrou na sessão "Relatórios de Bugs dos Consoles" no fórum do Path of Exile em br.pathofexile.com.",178533524,"Por favor poste seu relatório de bug e uma descrição curta do bug que encontrou na seção "Relatórios de Bugs no Console" dos fórums do Path of Exile em pathofexile.com."
NoLocalPlayer,Jogador não encontrado nesta área.,,,2038616933,
PvPTeam1,Vermelho,,,1296032131,
PvPTeam2,Azul,,,460309644,
PvPTeam3,Verde,,,3315845158,
PvPGainPoint,Equipe {0} recebe um ponto,,,2586663663,
PvPWinMatch,Equipe {0} venceu a partida,,,545507044,
PvPRoundDraw,Empate,,,2192364509,
PvPMatchDraw,A partida terminou em empate,,,3406377088,
PvPMatchPointChange,Mudança na Pontuação: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Mudança na Classificação: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Reputação do Leo Obtida: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Tempo Restante: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Rodada <valuedefault>{{{0}}} de <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,A bandeira da Equipe {0} foi tomada,,,4034670007,
PvPFlagCaptured,A Equipe {0} capturou uma bandeira,,,2866411882,
PvPFlagReturned,A bandeira da Equipe {0} foi devolvida,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} e {1},,,1065249420,
TimeHMS,"{0}, {1}, e {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2}, e {3}",,,4158702961,
TimeSeconds1,1 segundo,,,2807694235,
TimeSecondsN,{0} segundos,,,2890677444,
TimeMinutes1,1 minuto,,,665305349,
TimeMinutesN,{0} minutos,,,1365658360,
TimeHours1,1 hora,,,2719451484,
TimeHoursN,{0} horas,,,1661968187,
TimeDays1,1 dia,,,3414308354,
TimeDaysN,{0} dias,,,1637934387,
Stairs,Escadas,,,2138038182,
MerveilArenaName,Covil da Merveil,,,3397279621,
BrutusArenaName,Os Aposentos do Carcereiro,,,732914757,
BrutusAreaName,O Quartel do Carcereiro,,,379298330,
OversoulArenaName,Topo da Pirâmide,,,911990357,
WeaverArenaName,O Ninho da Weaver,,,1998328170,
MapWeaverArenaName,A Câmara do Tear,,,2731574536,
MapTropicalIslandCave,Caverna,,,4133043757,
MapDungeonTransition,Abertura,,,214387983,
ChatSuppressionToggled,Supressão do chat {0},,,750697920,
ON,LIGADO,,,40041830,
OFF,DESLIGADO,,,792911763,
OK,OK,,,313245910,
ActionFlask,Utilizar frasco no espaço {0},,,82985129,
ActionSkill,Utilizar habilidade vinculada {0},,,1743454225,
ActionAttackInPlace,Atacar no local,,,1049578971,
ActionWeaponSwap,Trocar arma,,,1185678377,
ActionDetonateMines,Detonar minas,,,786396043,
ActionHighlightStuff,Realçar itens e objetos,,,3914832784,
ActionToggleHighlighting,Alternar realce,,,185284004,
ActionEnableCorpseTargeting,Habilitar alvo em cadáver,,,1002389647,
ActionChat,Chat,,,1045948793,
ActionChatCommand,Comando de Chat,,,4076338038,
ActionToggleOverlayMap,Mapa Sobreposto,,,3067509084,
ActionOpenOptionsPanel,Opções,,,4068914542,
ActionOpenCharacterPanel,Tela de Personagem,Personagem,,2755982745,
ActionOpenSocialPanel,Tela Social,Social,,2352219498,
ActionOpenLadderPanel,Tela do Ranking,,,1065117290,
ActionOpenInventoryPanel,Inventário,Inventário,,3729488291,
ActionOpenChallengePanel,Desafios/Conquistas,Desafios,,1921730608,
ActionOpenEventsPanel,Eventos e PvP,,,3269057420,
ActionOpenWorldPanel,Tela do Mundo,Mundo,,4002122015,
ActionOpenPassivePanel,Árvore de Habilidades Passivas,Passivas,,4032113331,
ActionOpenMtxStash,Baú de Microtransações,,,4032433132,
ActionOpenMarketPanel,Painel de Mercado,"<rgb(113,178,95)>{Microtransações}",,2025880164,
ActionOpenGuidebookPanel,Painel de Ajuda,,,3964036413,
ActionCloseAllPanels,Fechar todos os painéis,,,2732454597,
ActionScreenshot,Tirar captura de tela,,,1873565171,
ActionZoomIn,Aumentar zoom da câmera,,,1157312821,
ActionZoomOut,Diminuir zoom da câmera,,,417912511,
ActionTogglePerfGraphs,Alternar Métricas de Performance,,,2426729589,
ActionEnableKeyPickup,Apanhar item com tecla,,,2283312710,
UIOpenPanelDescription,{0} ({1}),,,4266773671,
UIOpenPanelDescriptionNoKey,{0},,,3397484577,
UIOpenChatDescription,"{0} ({1}, SHIFT + {1} para chat Global, CTRL + {1} para Sussurrar no chat)",,,3869157629,
EternalLaboratoryName,Laboratório Eterno,,,1171213618,
WeaponSwapFailed,Defina um segundo conjunto de armas em seu inventário para utilizar a troca de armas.,,,3849565009,
CorpseSuffix, (Cadáver),,,1568335048,
PlayerHighlight,{0} (Nível {1}),,,281414939,
ResistsElemental,Resiste Dano Elemental,,,2355501115,
ResistsFire,Resiste Fogo,,,3428830622,
ResistsCold,Resiste Gelo,,,3865474588,
ResistsLightning,Resiste Raio,,,2005866005,
ResistsChaos,Resiste Caos,,,1964490952,
VulnerableToElemental,Vulnerável a Dano Elemental,,,1048636618,
VulnerableToFire,Vulnerável a Fogo,,,379623504,
VulnerableToCold,Vulnerável a Gelo,,,223244546,
VulnerableToLightning,Vulnerável a Raio,,,770197332,
VulnerableToChaos,Vulnerável a Caos,,,137186857,
PvPFlagDropped,A bandeira da Equipe {0} foi derrubada.,,,3506951400,
Portal,Portal,,,1204384410,
Enter,Entrar,,,3180686087,
AtziriArenaName,A Câmara da Rainha,,,2709061525,
Arena,Arena,,,2642601211,
Cancel,Cancelar,,,4064386533,
Yes,Sim,,,1353070260,
No,Não,,,2178273524,
Back,Voltar,,,4187115617,
ClickToLevelGemText,"Clique para subir esta gema {0} de nível.
Clique com o botão direito para dispensar sem subir a gema de nível.",,,1076314027,
ClickToLevelGemLabel,Clique para subir de nível,,,2290695098,
CannotLevelGemText,"Você não pode subir esta gema {0} de nível porque não atende os requisitos.
Clique com o botão direito para dispensar",,,611863938,
CannotLevelGemLabel,Gema não pode subir de nível,,,2934131460,
OrbLifeValue,Vida,,,2482551225,
OrbShieldValue,Escudo,,,562278259,
OrbManaValue,Mana,,,4159889721,
OrbReservedLifeValue,Reservada,,,820937648,
OrbReservedManaValue,Reservada,,,2060596384,
HUDPassivePoint,{0} Ponto de Passiva disponível,,,931351525,
HUDPassivePoints,{0} Pontos de Passivas disponíveis,,,712908930,
HUDPassiveAllocation,{0} Alocação de Passiva não confirmada,,,3139237071,
HUDPassiveAllocations,{0} Alocações de Passiva não confirmada,,,1610163065,
HUDPassiveRefund,{0} Restituição de Passiva não confirmada,,,2254250599,
HUDPassiveRefunds,{0} Restituições de Passivas não confirmada,,,4172341501,
PassiveTreePanelTitle,Habilidades,,,15793221,
PassiveTreeRefundLeft,<size:27>{{{0} Restituição Restante}},,,2084859550,
PassiveTreeRefundsLeft,<size:27>{{{0} Restituições Restantes}},,,864457643,
PassiveTreePointLeft,<size:27>{{{0} Ponto Restante}},,,2620690382,
PassiveTreePointsLeft,<size:27>{{{0} Pontos Restantes}},,,3502198058,
