Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,Ошибка,,,3680250093,
FatalError,Критическая ошибка,,,4070060945,
Exception,Исключение,,,4223784949,
PassiveInfo1,Всего очков пассивных умений: {0} (распределено: {1}),,,1863314651,
PassiveInfo2,{0} от уровня героя,,,4141517413,
PassiveInfo3,({1} от {0}),,,3670814869,
PassiveInfo4,{0} от заданий:,,,1575369867,
PassiveInfo5,{0} очков Восхождения ({1} использовано),,,4245753847,
PassiveInfo6,{0} из пассивных умений Восхождения,,,1636456964,
BugReportInstructions,"Подготовка сообщения об ошибке. Дождитесь появления номера сообщения в окне чата и сделайте снимок экрана ({0}), затем загрузите его на форум сообщений об ошибках.","Пожалуйста, разместите номер вашего отчёта об ошибке и краткое описание проблемы в разделе форума "Ошибки игры на консолях" на ru.pathofexile.com.","Пожалуйста, разместите номер вашего отчёта об ошибке и краткое описание проблемы в разделе форума "Ошибки игры на консолях" на ru.pathofexile.com.",178533524,"Пожалуйста, разместите номер вашего отчёта об ошибке и краткое описание проблемы в разделе форума "Ошибки игры на консолях" на ru.pathofexile.com."
NoLocalPlayer,В этой области игрока нет.,,,2038616933,
PvPTeam1,Красные,,,1296032131,
PvPTeam2,Синие,,,460309644,
PvPTeam3,Зеленые,,,3315845158,
PvPGainPoint,{0} получают очко,,,2586663663,
PvPWinMatch,{0} побеждают в матче,,,545507044,
PvPRoundDraw,Ничья,,,2192364509,
PvPMatchDraw,Матч завершился вничью,,,3406377088,
PvPMatchPointChange,Изменение очков: <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,Изменение рейтинга: <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,Получено благосклонности Лео: <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,Осталось времени: <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,Раунд <valuedefault>{{{0}}} из <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,{0} потеряли флаг,,,4034670007,
PvPFlagCaptured,{0} захватили флаг,,,2866411882,
PvPFlagReturned,{0} вернули флаг,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}–{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} и {1},,,1065249420,
TimeHMS,"{0}, {1} и {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2} и {3}",,,4158702961,
TimeSeconds1,1 секунда,,,2807694235,
TimeSecondsN,{0} сек.,,,2890677444,
TimeMinutes1,1 минуту,,,665305349,
TimeMinutesN,{0} мин.,,,1365658360,
TimeHours1,1 час,,,2719451484,
TimeHoursN,{0} час.,,,1661968187,
TimeDays1,1 день,,,3414308354,
TimeDaysN,{0} дн.,,,1637934387,
Stairs,Проход,,,2138038182,
MerveilArenaName,Логово Мервейл,,,3397279621,
BrutusArenaName,Палаты Смотрителя,,,732914757,
BrutusAreaName,Палаты Смотрителя,,,379298330,
OversoulArenaName,Вершина пирамиды,,,911990357,
WeaverArenaName,Гнездо Ткачихи,,,1998328170,
MapWeaverArenaName,Покои ткачей,,,2731574536,
MapTropicalIslandCave,Пещера,,,4133043757,
MapDungeonTransition,Проход,,,214387983,
ChatSuppressionToggled,Подавление чата {0},,,750697920,
ON,ВКЛ.,,,40041830,
OFF,ВЫКЛ.,,,792911763,
OK,ОК,,,313245910,
ActionFlask,Использовать флакон в ячейке {0},,,82985129,
ActionSkill,Использовать связанное умение {0},,,1743454225,
ActionAttackInPlace,Атака с места,,,1049578971,
ActionWeaponSwap,Смена оружия,,,1185678377,
ActionDetonateMines,Подрыв мин,,,786396043,
ActionHighlightStuff,Подсвечивание вещей и предметов,,,3914832784,
ActionToggleHighlighting,Вкл./выкл. подсвечивания предметов,,,185284004,
ActionEnableCorpseTargeting,Включение выбора трупов,,,1002389647,
ActionChat,Чат,,,1045948793,
ActionChatCommand,Команда чата,,,4076338038,
ActionToggleOverlayMap,Наложенная карта,,,3067509084,
ActionOpenOptionsPanel,Настройки,,,4068914542,
ActionOpenCharacterPanel,Экран героя,Герой,,2755982745,
ActionOpenSocialPanel,Экран общения,Общение,,2352219498,
ActionOpenLadderPanel,Экран лестниц,,,1065117290,
ActionOpenInventoryPanel,Инвентарь,Инвентарь,,3729488291,
ActionOpenChallengePanel,Задачи и достижения,Испытания,,1921730608,
ActionOpenEventsPanel,События,,,3269057420,
ActionOpenWorldPanel,Карта мира,Мир,,4002122015,
ActionOpenPassivePanel,Дерево пассивных умений,"Пассивные
умения",,4032113331,
ActionOpenMtxStash,Сундук микротранзакций,,,4032433132,
ActionOpenMarketPanel,Панель рынка,"<rgb(113,178,95)>{Микротранзакции}",,2025880164,
ActionOpenGuidebookPanel,Помощь,,,3964036413,
ActionCloseAllPanels,Закрыть весь пользовательский интерфейс,,,2732454597,
ActionScreenshot,Сделать снимок экрана,,,1873565171,
ActionZoomIn,Приближение камеры,,,1157312821,
ActionZoomOut,Отдаление камеры,,,417912511,
