Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,Path of Exile,,,1004783882,
Error,ข้อผิดพลาด,,,3680250093,
FatalError,ข้อผิดพลาดร้ายแรง,,,4070060945,
Exception,ข้อยกเว้น,,,4223784949,
PassiveInfo1,แต้มพาสซีฟทั้งหมด {0} แต้ม (อัพไปแล้ว {1} แต้ม),,,1863314651,
PassiveInfo2,แต้มพาสซีฟ {0} แต้มจากเลเวลตัวละคร,,,4141517413,
PassiveInfo3,{1} จาก {0},,,3670814869,
PassiveInfo4,แต้มพาสซีฟ {0} แต้มจากภารกิจ:,,,1575369867,
PassiveInfo5,แต้มสกิลคลาสเสริม ทั้งหมด {0} แต้ม (อัพไปแล้ว {1} แต้ม),,,4245753847,
PassiveInfo6,แต้มพาสซีฟ {0} แต้มจากพาสซีฟคลาสเสริม,,,1636456964,
BugReportInstructions,กำลังส่งรายงานบัค โปรดรอจนกว่าหมายเลขรายงานบัคของคุณจะปรากฏในแชท จากนั้นให้บันทึกภาพหน้าจอ ({0}) และโพสต์ลงในฟอรัมรายงานบัคของเรา,"กรุณาโพสต์ตัวเลขการรายงานบัคของคุณกับรายละเอียดสั้นๆ เกี่ยวกับบัคที่คุณพบในหมวด "รายงานบัคระบบคอนโซล" ภายในเว็บบอร์ด Path of Exile ที่ pathofexile.com","กรุณาโพสต์ตัวเลขการรายงานบัคของคุณกับรายละเอียดสั้นๆ เกี่ยวกับบัคที่คุณพบในหมวด "รายงานบัคระบบคอนโซล" ภายในเว็บบอร์ด Path of Exile ที่ pathofexile.com",178533524,"กรุณาโพสต์ตัวเลขการรายงานบัคของคุณกับรายละเอียดสั้นๆ เกี่ยวกับบัคที่คุณพบในหมวด "รายงานบัคระบบคอนโซล" ภายในเว็บบอร์ด Path of Exile ที่ pathofexile.com"
NoLocalPlayer,ไม่พบผู้เล่นในด่านนี้,,,2038616933,
PvPTeam1,สีแดง,,,1296032131,
PvPTeam2,สีน้ำเงิน,,,460309644,
PvPTeam3,สีเขียว,,,3315845158,
PvPGainPoint,ทีม {0} ได้รับหนึ่งแต้ม,,,2586663663,
PvPWinMatch,ทีม {0} เป็นผู้ชนะการแข่งขัน,,,545507044,
PvPRoundDraw,เสมอ,,,2192364509,
PvPMatchDraw,การแข่งขันจบลงด้วยการเสมอ,,,3406377088,
PvPMatchPointChange,คะแนนที่เปลี่ยน <valuedefault>{{{0}}},,,255069204,
PvPMatchRatingChange,เรทที่เปลี่ยน <valuedefault>{{{0}}},,,2786428946,
PvPMatchLeoReputationGained,ได้รับชื่อเสียง <valuedefault>{{{0}}},,,150416678,
PvPTimeLeft,เหลือเวลาอีก <valuedefault>{{{0}}},,,1753808341,
PvPRoundXOfY,รอบ <valuedefault>{{{0}}} ใน <valuedefault>{{{1}}},,,676189538,
PvPFlagTaken,ธงของทีม {0} ถูกชิงไปแล้ว,,,4034670007,
PvPFlagCaptured,ทีม {0} ชิงธงสำเร็จ,,,2866411882,
PvPFlagReturned,ธงของทีม {0} ถูกชิงคืนแล้ว,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0},,,2051226451,
TimeMS,{0} และ {1},,,1065249420,
TimeHMS,"{0}, {1} และ {2}",,,3983550510,
TimeDHMS,"{0}, {1}, {2} และ {3}",,,4158702961,
TimeSeconds1,1 วินาที,,,2807694235,
TimeSecondsN,{0} วินาที,,,2890677444,
TimeMinutes1,1 นาที,,,665305349,
TimeMinutesN,{0} นาที,,,1365658360,
TimeHours1,1 ชั่วโมง,,,2719451484,
TimeHoursN,{0} ชั่วโมง,,,1661968187,
TimeDays1,1 วัน,,,3414308354,
TimeDaysN,{0} วัน,,,1637934387,
Stairs,บันได,,,2138038182,
MerveilArenaName,รังของเมอร์เวล,,,3397279621,
BrutusArenaName,ห้องของพัศดี,,,732914757,
BrutusAreaName,ห้องพักของพัศดี,,,379298330,
OversoulArenaName,ยอดพีระมิด,,,911990357,
