Id,Text,XBoxText,XBoxText2,HASH32,PlaystationText
GameName,流亡黯道,,,1004783882,
Error,錯誤,,,3680250093,
FatalError,嚴重錯誤,,,4070060945,
Exception,例外,,,4223784949,
PassiveInfo1,共有 {0} 點天賦點數（{1} 點已分配）,,,1863314651,
PassiveInfo2,角色等級所獲得的總天賦點數：{0},,,4141517413,
PassiveInfo3,(+{1} 從 {0}),,,3670814869,
PassiveInfo4,任務獲得總天賦點數：{0},,,1575369867,
PassiveInfo5,共有 {0} 點昇華點數（{1} 點已分配）,,,4245753847,
PassiveInfo6,由昇華天賦中獲得 {0} 點天賦點數,,,1636456964,
BugReportInstructions,進行錯誤回報。請等候你的錯誤代碼出現於對話視窗，將（{0}）此畫面截錄下來並向客服中心回報。,,"Please post your bug report number and a short description of the bug you're encountering in the "Console Bug Reports" section of the Path of Exile forums at pathofexile.com.",178533524,"Please post your bug report number and a short description of the bug you're encountering in the "Console Bug Reports" section of the Path of Exile forums at pathofexile.com."
NoLocalPlayer,該玩家不在這張地圖,,,2038616933,
PvPTeam1,紅,,,1296032131,
PvPTeam2,藍,,,460309644,
PvPTeam3,綠,,,3315845158,
PvPGainPoint,{0} 隊獲得一分,,,2586663663,
PvPWinMatch,{0} 隊獲勝,,,545507044,
PvPRoundDraw,平手,,,2192364509,
PvPMatchDraw,比賽以平手作收,,,3406377088,
PvPMatchPointChange,分數變動：{0},,,255069204,
PvPMatchRatingChange,積分變動：{0},,,2786428946,
PvPMatchLeoReputationGained,獲得里歐友好度：{0},,,150416678,
PvPTimeLeft,剩餘時間：{0},,,1753808341,
PvPRoundXOfY,第 {0} 之 {1} 回合,,,676189538,
PvPFlagTaken,{0} 隊的旗子已被奪取,,,4034670007,
PvPFlagCaptured,{0} 隊奪取了一面旗子,,,2866411882,
PvPFlagReturned,{0} 隊的旗子已被歸還,,,2925810872,
PositiveNumber,+{0},,,1108423905,
NegativeNumber,{0},,,3349626252,
Percentage,{0}%,,,1677860568,
NumberRange,{0}-{1},,,309782114,
TimeS,{0} ,,,2051226451,
TimeMS,{0} 及 {1},,,1065249420,
TimeHMS,{0}、{1} 以及 {2},,,3983550510,
TimeDHMS,{0}、{1}、{2} 以及 {3},,,4158702961,
TimeSeconds1,一秒,,,2807694235,
TimeSecondsN,{0} 秒,,,2890677444,
TimeMinutes1,一分,,,665305349,
TimeMinutesN,{0} 分,,,1365658360,
TimeHours1,1 小時,,,2719451484,
TimeHoursN,{0} 小時,,,1661968187,
TimeDays1,1 天,,,3414308354,
TimeDaysN,{0} 天,,,1637934387,
Stairs,樓梯,,,2138038182,
MerveilArenaName,莫薇兒的巢穴,,,3397279621,
BrutusArenaName,典獄長的房間,,,732914757,
BrutusAreaName,監獄宿舍,,,379298330,
OversoulArenaName,金字塔頂端,,,911990357,
WeaverArenaName,織網者巢穴,,,1998328170,
MapWeaverArenaName,織網大廳,,,2731574536,
MapTropicalIslandCave,洞穴,,,4133043757,
MapDungeonTransition,開啟,,,214387983,
ChatSuppressionToggled,聊天關閉 {0},,,750697920,
ON,開啟,,,40041830,
OFF,關閉,,,792911763,
OK,確定,,,313245910,
ActionFlask,使用第 {0} 瓶藥劑,,,82985129,
ActionSkill,使用第 {0} 個技能,,,1743454225,
ActionAttackInPlace,原地攻擊,,,1049578971,
ActionWeaponSwap,武器切換,,,1185678377,
ActionDetonateMines,引爆地雷,,,786396043,
ActionHighlightStuff,顯示地上的道具及物品,,,3914832784,
ActionToggleHighlighting,持續顯示地上道具,,,185284004,
ActionEnableCorpseTargeting,允許指定目標屍體,,,1002389647,
ActionChat,聊天,,,1045948793,
ActionChatCommand,聊天指令,,,4076338038,
ActionToggleOverlayMap,地圖,,,3067509084,
ActionOpenOptionsPanel,設定,,,4068914542,
ActionOpenCharacterPanel,人物資訊,人物,人物,2755982745,
ActionOpenSocialPanel,社交,社交,社交,2352219498,
ActionOpenLadderPanel,天梯,,,1065117290,
ActionOpenInventoryPanel,道具,道具,道具,3729488291,
ActionOpenChallengePanel,挑戰 / 成就,挑戰,挑戰,1921730608,
ActionOpenEventsPanel,活動與PvP,,,3269057420,
ActionOpenWorldPanel,世界地圖,世界,世界,4002122015,
ActionOpenPassivePanel,天賦樹,天賦,天賦,4032113331,
ActionOpenMtxStash,商城面板,,,4032433132,
ActionOpenMarketPanel,市集面板,"<rgb(113,178,95)>{商城道具}","<rgb(113,178,95)>{商城道具}",2025880164,
ActionOpenGuidebookPanel,提示面板,,,3964036413,
ActionCloseAllPanels,關閉所有面板,,,2732454597,
ActionScreenshot,畫面截圖,,,1873565171,
ActionZoomIn,遊戲畫面拉近,,,1157312821,
ActionZoomOut,遊戲畫面拉遠,,,417912511,
ActionTogglePerfGraphs,切換效能指標,,,2426729589,
ActionEnableKeyPickup,按鍵持取,,,2283312710,
UIOpenPanelDescription,{0}（{1}）,,,4266773671,
UIOpenPanelDescriptionNoKey,{0},,,3397484577,
UIOpenChatDescription,{0}（{1}、SHIFT + {1}全體聊天、CTRL + {1} 為密語聊天）,,,3869157629,
EternalLaboratoryName,永恆實驗室,,,1171213618,
WeaponSwapFailed,從背包選取武器裝備在第二武器欄位以供切換。,,,3849565009,
CorpseSuffix,（屍體）,,,1568335048,
PlayerHighlight,{0}（等級 {1}）,,,281414939,
ResistsElemental,元素抗性,,,2355501115,
ResistsFire,火焰抗性,,,3428830622,
ResistsCold,冰冷抗性,,,3865474588,
ResistsLightning,閃電抗性,,,2005866005,
ResistsChaos,混沌抗性,,,1964490952,
VulnerableToElemental,元素脆弱,,,1048636618,
VulnerableToFire,火焰脆弱,,,379623504,
VulnerableToCold,冰冷脆弱,,,223244546,
VulnerableToLightning,閃電脆弱,,,770197332,
VulnerableToChaos,混沌脆弱,,,137186857,
PvPFlagDropped,{0} 隊的旗子已經被丟下,,,3506951400,
Portal,傳送門,,,1204384410,
Enter,進入,,,3180686087,
AtziriArenaName,女王大廳,,,2709061525,
Arena,競技場,,,2642601211,
Cancel,取消,,,4064386533,
Yes,是,,,1353070260,
No,否,,,2178273524,
Back,返回,,,4187115617,
ClickToLevelGemText,"點擊以升級這顆 {0} 寶石
（可點擊右鍵在不升級該寶石的情況下將其隱藏）",,,1076314027,
ClickToLevelGemLabel,點擊以升級,,,2290695098,
CannotLevelGemText,"由於未滿足裝備需求，因此無法升級這顆 {0} 寶石
（可點擊右鍵將其隱藏）",,,611863938,
CannotLevelGemLabel,寶石無法升級,,,2934131460,
OrbLifeValue,生命,,,2482551225,
OrbShieldValue,護盾,,,562278259,
OrbManaValue,魔力,,,4159889721,
OrbReservedLifeValue,保留,,,820937648,
OrbReservedManaValue,保留,,,2060596384,
HUDPassivePoint,可使用 {0} 點天賦點數,,,931351525,
HUDPassivePoints,可使用 {0} 點天賦點數,,,712908930,
HUDPassiveAllocation,未確認 {0} 點已配置天賦點數,,,3139237071,
HUDPassiveAllocations,未確認 {0} 點已配置天賦點數,,,1610163065,
HUDPassiveRefund,未確認 {0} 點天賦點數重置,,,2254250599,
HUDPassiveRefunds,未確認 {0} 點天賦點數重置,,,4172341501,
PassiveTreePanelTitle,技能,,,15793221,
PassiveTreeRefundLeft,尚有 {0} 點天賦重置點數,,,2084859550,
PassiveTreeRefundsLeft,尚有 {0} 點天賦重置點數,,,864457643,
PassiveTreePointLeft,尚有 {0} 點天賦點數,,,2620690382,
PassiveTreePointsLeft,尚有 {0} 點天賦點數,,,3502198058,
PassiveTreeAscendancyPointLeft,尚有 {0} 點昇華點數,,,3495526896,
PassiveTreeAscendancyPointsLeft,尚有 {0} 點昇華點數,,,160192305,
PassiveTreeApplyPoints,確認,,,416132940,
PassiveTreeApplyRefunds,確認重置,,,76675089,
PassiveTreeRefundMode,重置天賦點數,,,634281553,
PassiveTreeResetButton,重置所有天賦點數,,,851652802,
PassiveTreeResetButtonWarning,這將會重置你的所有天賦點數。確認重置後將無法再度重置。請問你確定要重置嗎？,,,1755892621,
PassiveTreeResetMessageTitle,重置所有天賦點數,,,3081782401,
PassiveTreeResetMessageDescription,你的角色獲得了一次重置全部天賦點數的機會。在使用前進行任何天賦配置或是重置將會使你無法重置全部天賦點數。,,,3197120837,
PassiveTreeResetApplyWarning,配置或重置任何一點天賦點數將會喪失重置全部天賦點數的機會。,,,2190156233,
