Id,StatsKey,FormatText,Unknown0
Mana,"<11746, 0>",마나 {0},1
Life,"<14015, 0>",생명력 {0},1
ES,"<14874, 0>",에너지 보호막 {0},1
Rage,"<14052, 0>",격노 {0},1
ManaPercent,"<14014, 0>",마나 {0}%,1
LifePercent,"<14016, 0>",생명력 {0}%,1
UnreservedManaPercent,"<14283, 0>",[DNT] {0}% Unreserved Mana ,1
ManaPerMinute,"<14704, 0>",1초당 마나 {0},60
LifePerMinute,"<14705, 0>",1초당 생명력 {0},60
ManaPercentPerMinute,"<14708, 0>",1초당 마나 {0}%,60
LifePercentPerMinute,"<14709, 0>",1초당 생명력 {0}%,60
ESPerMinute,"<14786, 0>",1초당 에너지 보호막 {0},60
ESPercentPerMinute,"<14787, 0>",1초당 에너지 보호막 {0},60