HideoutNPCsKey,Order,AddMod,Cost_BaseItemTypesKeys,Cost_Values,RequiredLevel,Name,CraftingBenchCustomAction,ItemClassesKeys,Links,SocketColours,Sockets,ItemQuantity,Unknown0,Description,IsDisabled,IsAreaOption,RecipeIds,Tier,CraftingItemClassCategoriesKeys,MaximumMapTier,CraftingBenchUnlockCategoriesKey,UnveilsRequired,UnveilsRequired2,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,AddEnchantment,SortCategory,Unknown9,Unknown10
"<4, 0>",0,"<null, null>","[<21, 0>]",[1],0,Deux châsses,7,[],0,,2,0,[],,False,False,[234],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",1,"<null, null>","[<21, 0>]",[3],0,Trois châsses,7,[],0,,3,0,[],,False,False,[234],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",2,"<null, null>","[<21, 0>]",[10],0,Quatre châsses,7,[],0,,4,0,[],,False,False,[236],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",3,"<null, null>","[<21, 0>]",[70],0,Cinq châsses,7,[],0,,5,0,[],,False,False,[237],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",4,"<null, null>","[<21, 0>]",[350],0,Six châsses,7,[],0,,6,0,[],,False,False,[238],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",5,"<null, null>","[<20, 0>]",[1],0,Deux châsses reliées,7,[],2,,0,0,[],,False,False,[239],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",6,"<null, null>","[<20, 0>]",[3],0,Trois châsses reliées,7,[],3,,0,0,[],,False,False,[240],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",7,"<null, null>","[<20, 0>]",[5],0,Quatre châsses reliées,7,[],4,,0,0,[],,False,False,[241],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",8,"<null, null>","[<20, 0>]",[150],0,Cinq châsses reliées,7,[],5,,0,0,[],,False,False,[242],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",9,"<null, null>","[<20, 0>]",[1500],0,Six châsses reliées,7,[],6,,0,0,[],,False,False,[243],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",10,"<null, null>","[<19, 0>]",[4],0,Au moins une châsse Rouge,7,[],0,R,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",11,"<null, null>","[<19, 0>]",[25],0,Au moins deux châsses Rouges,7,[],0,RR,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
