Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",Added Cold and Lightning Damage - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Unveiling shields, rings or quivers"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",Added Fire and Cold Damage - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Unveiling shields, rings or quivers"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",Added Fire and Lightning Damage - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Unveiling shields, rings or quivers"
JunAllDamage,1,"[1, 1]",Damage - Rank,"[<9, 0>, <11, 0>]",Unveiling certain rings or belts from Leo
JunAlwaysHits,1,[1],Hits can't be Evaded,"[<0, 0>, <1, 0>]",Unveiling certain melee weapons from Vagan
JunArmourAndEnergyShield,1,"[1, 1, 1]",Armour and Energy Shield - Rank,"[<11, 0>]",Unveiling belts
JunArmourAndEvasionRating,1,"[1, 1, 1]",Armour and Evasion Rating - Rank,"[<11, 0>, <13, 0>]",Unveiling belts or quivers
JunAttackAndCastSpeed,1,"[1, 1, 1]",Attack and Cast Speed - Rank,"[<10, 0>, <13, 0>]",Unveiling amulets or quivers
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",Attack and Cast Speed while Focused - Rank,"[<7, 0>]",Unveiling gloves
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Attack Speed while a Rare or Unique Enemy is Nearby - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Unveiling weapons
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",Avoid Elemental Damage during Soul Gain Prevention - Rank,"[<6, 0>, <5, 0>]",Unveiling body armour or helmets
JunAvoidFreeze,1,"[1, 1]",Avoid Freeze - Rank,"[<8, 0>]",Unveiling certain boots from Rin Yuushu
JunBaseLifeAndMana,1,"[1, 1, 1]",Life and Mana - Rank,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Unveiling helmets, gloves, boots, rings, amulets, belts or quivers"
JunBleedOnHitGained,1,"[1, 1]",Added Physical Damage and Bleeding on Hit - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Unveiling certain weapons from Tora
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",Chance to Deal Double Damage while Focused - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Unveiling weapons
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",Chance for Flasks to not Consume Charges - Rank,"[<11, 0>]",Unveiling belts
