Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",Daño de hielo y rayo agregado - Nivel,"[<4, 0>, <9, 0>, <13, 0>]","Desencriptando escudos, anillos o carcajes"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",Daño de fuego y hielo agregado - Nivel,"[<4, 0>, <9, 0>, <13, 0>]","Desencriptando escudos, anillos o carcajes"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",Daño de fuego y rayo agregado - Nivel,"[<4, 0>, <9, 0>, <13, 0>]","Desencriptando escudos, anillos o carcajes"
JunAllDamage,1,"[1, 1]",Daño - Nivel,"[<9, 0>, <11, 0>]",Desencriptando anillos o cinturones de Leo
JunAlwaysHits,1,[1],No se pueden evadir los golpes,"[<0, 0>, <1, 0>]",Desencriptando ciertas armas cuerpo a cuerpo de Vagan
JunArmourAndEnergyShield,1,"[1, 1, 1]",Armadura y escudo de energía - Nivel,"[<11, 0>]",Desencriptando cinturones
JunArmourAndEvasionRating,1,"[1, 1, 1]",Armadura y evasión - Nivel,"[<11, 0>, <13, 0>]",Desencriptando cinturones o carcajes
JunAttackAndCastSpeed,1,"[1, 1, 1]",Velocidad de ataque y de lanzamiento de hechizos - Nivel,"[<10, 0>, <13, 0>]",Desencriptando amuletos o carcajes
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",Velocidad de ataque y de lanzamiento de hechizos mientras estás Concentrado - Nivel,"[<7, 0>]",Desencriptando guantes
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Velocidad de ataque mientras haya un enemigo raro o único cerca - Nivel,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Desencriptando armas
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",Evita el daño elemental durante la Prevención de obtención de almas - Nivel,"[<6, 0>, <5, 0>]",Desencriptando armaduras o cascos
JunAvoidFreeze,1,"[1, 1]",Evita el congelamiento - Nivel,"[<8, 0>]",Desencriptando ciertas botas de Rin Yuushu
JunBaseLifeAndMana,1,"[1, 1, 1]",Vida y maná - Nivel,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Desencriptando cascos, guanes, botas, anillos, amuletos, cinturones o carcajes"
JunBleedOnHitGained,1,"[1, 1]",Daño físico agregado y sangrado con cada golpe - Nivel,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Desencriptando ciertas armas de Tora
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",Probabilidad de infligir daño doble mientras estás concentrado - Nivel,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Desencriptando armas
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",Probabilidad de que los frascos no consuman cargas - Nivel,"[<11, 0>]",Desencriptando cinturones
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",Daño de caos y duración del efecto de las habilidades de caos - Nivel,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Desencriptando armas
JunChaosNonAilmentDamageOverTimeMultiplier,1,"[1, 1, 1]",Multiplicador de daño degenerativo de caos - Nivel,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Desencriptando armas
