Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",Dégâts de froid et de foudre supplémentaires - Rang,"[<4, 0>, <9, 0>, <13, 0>]","Décryptez des boucliers, des carquois, des bagues ou des anneaux"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",Dégâts de feu et de froid supplémentaires - Rang,"[<4, 0>, <9, 0>, <13, 0>]","Décryptez des boucliers, des carquois, des bagues ou des anneaux"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",Dégâts de feu et de foudre supplémentaires - Rang,"[<4, 0>, <9, 0>, <13, 0>]","Décryptez des boucliers, des carquois, des bagues ou des anneaux"
JunAllDamage,1,"[1, 1]",Dégâts - Rang,"[<9, 0>, <11, 0>]","Décryptez certaines ceintures, ou certaines bagues ou anneaux de Léo"
JunAlwaysHits,1,[1],Ignore l'Évasion des cibles,"[<0, 0>, <1, 0>]",Décryptez certaines armes de mêlée de Vagan
JunArmourAndEnergyShield,1,"[1, 1, 1]",Armure et Bouclier d'énergie - Rang,"[<11, 0>]",Décryptez des ceintures
JunArmourAndEvasionRating,1,"[1, 1, 1]",Armure et Évasion - Rang,"[<11, 0>, <13, 0>]",Décryptez des ceintures ou des carquois
JunAttackAndCastSpeed,1,"[1, 1, 1]",Vitesse d'attaque et d'incantation - Rang,"[<10, 0>, <13, 0>]",Décryptez des amulettes ou des carquois
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",Vitesse d'attaque et d'incantation pendant la Focalisation - Rang,"[<7, 0>]",Décryptez des gants
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Vitesse d'attaque tant qu'un Ennemi Rare ou Unique est à proximité - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",Immunité aux Dégâts élémentaires pendant l'Empêchement de gain d'Âmes - Rang,"[<6, 0>, <5, 0>]",Décryptez des armures ou des casques
JunAvoidFreeze,1,"[1, 1]",Immunité au Gel - Rang,"[<8, 0>]",Décryptez certaines bottes de Rin Yuushu
JunBaseLifeAndMana,1,"[1, 1, 1]",Vie et Mana - Rang,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Décryptez des casques, des gants, des bottes, des bagues, des anneaux, des amulettes, des ceintures ou des carquois"
JunBleedOnHitGained,1,"[1, 1]",Dégâts physiques supplémentaires et Saignement au Toucher - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez certaines armes de Tora
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",Chances d'infliger des Dégâts doublés pendant la Focalisation - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",Chances que les Flacons ne consomment pas de Charges - Rang,"[<11, 0>]",Décryptez des ceintures
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",Dégâts de chaos et Durée des Aptitudes de chaos - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunChaosNonAilmentDamageOverTimeMultiplier,1,"[1, 1, 1]",Multiplicateur de Dégâts physiques et de chaos sur la durée - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunChaosPenetrationWithAttacks,1,"[1, 1, 1]",Pénétration de la Résistance au chaos pour les armes - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunColdDamageAndBaseChanceToFreeze,1,"[1, 1, 1]",Dégâts de froid et chances de Geler - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunColdDamageOnCritAndCritChance,1,"[1, 1]",Chances de coup critique et Multiplicateur de critique en cas de Fracassement - Rang,"[<9, 0>]","Décryptez certaines bagues ou anneaux de Caméria, le Sans-pitié"
JunColdDamageOverTimeMultiplier,1,"[1, 1, 1]",Multiplicateur des Dégâts de feu et de froid sur la durée - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently,1,"[1, 1, 1]",Chances de critique et Dégâts de chaos supplémentaires en cas de Coup critique - Rang,"[<7, 0>, <13, 0>]",Décryptez des gants ou des carquois
JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently,1,"[1, 1, 1]",Chances de critique et Dégâts élémentaires supplémentaires en cas de Coup critique - Rang,"[<7, 0>, <13, 0>]",Décryptez des gants ou des carquois
JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent,1,"[1, 1, 1]",Chances de critique et Gain de Charge de frénésie en cas de Coup critique - Rang,"[<13, 0>]",Décryptez des carquois
JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Multiplicateur de coup critique à proximité d'un Ennemi Rare ou Unique - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunCurseEffect,1,"[1, 1]",Effet des Malédictions - Rang,"[<4, 0>]",Décryptez des boucliers
JunDamageDuringFlaskEffect,1,"[1, 1]",Dégâts pendant l'Effet d'un Flacon - Rang,"[<7, 0>]","Décryptez certains gants de Guff Grenn, « le Gringalet »"
JunDamagePerEnduranceCharge,1,[1],Dégâts par Charge d'endurance - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunDamagePerFrenzyCharge,1,[1],Dégâts par Charge de frénésie - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunDamagePerPowerCharge,1,[1],Dégâts par Charge de pouvoir - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Décryptez des armes
JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention,1,"[1, 1, 1]",Dégâts avec les Aptitudes non vaal pendant l'Empêchement de gain d'Âmes - Rang,"[<8, 0>, <7, 0>]",Décryptez des bottes ou des gants
JunDamageRemovedFromManaBeforeLifeWhileFocused,1,[1],Les Dégâts retirent du Mana avant de retirer de la Vie pendant la Focalisation,"[<6, 0>]",Décryptez des armures
