Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",냉기 및 번개 피해 추가 - 단계,"[<4, 0>, <9, 0>, <13, 0>]","방패, 반지, 화살통 장막 해제"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",화염 및 냉기 피해 추가 - 단계,"[<4, 0>, <9, 0>, <13, 0>]","방패, 반지, 화살통 장막 해제"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",화염 및 번개 피해 추가 - 단계,"[<4, 0>, <9, 0>, <13, 0>]","방패, 반지, 화살통 장막 해제"
JunAllDamage,1,"[1, 1]",피해 - 단계,"[<9, 0>, <11, 0>]","레오의 특정 반지, 허리띠 장막 해제"
JunAlwaysHits,1,[1],무조건 명중,"[<0, 0>, <1, 0>]",베이건의 특정 근접 무기 장막 해제
JunArmourAndEnergyShield,1,"[1, 1, 1]",방어도 및 에너지 보호막 - 단계,"[<11, 0>]",허리띠 장막 해제
JunArmourAndEvasionRating,1,"[1, 1, 1]",방어도 및 회피 - 단계,"[<11, 0>, <13, 0>]","허리띠, 화살통 장막 해제"
JunAttackAndCastSpeed,1,"[1, 1, 1]",공격 및 시전 속도 - 단계,"[<10, 0>, <13, 0>]","목걸이, 화살통 장막 해제"
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",집중하는 동안 공격 및 시전 속도 - 단계,"[<7, 0>]",장갑 장막 해제
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",주변에 희귀 또는 고유 적이 있을 시 공격 속도 - 단계,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",무기 장막 해제
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",영혼 획득 방지 중 원소 피해 회피 - 단계,"[<6, 0>, <5, 0>]","갑옷, 투구 장막 해제"
JunAvoidFreeze,1,"[1, 1]",동결 회피 - 단계,"[<8, 0>]",린 유슈의 특정 장화 장막 해제
JunBaseLifeAndMana,1,"[1, 1, 1]",생명력 및 마나 - 단계,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","투구, 장갑, 장화, 반지, 목걸이, 허리띠, 화살통 장막 해제"
JunBleedOnHitGained,1,"[1, 1]",물리 피해 증가 및 명중 시 출혈 - 단계,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",토라의 특정 무기 장막 해제
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",집중하는 동안 2배의 피해를 줄 확률 - 단계,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",무기 장막 해제
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",플라스크가 충전을 소모하지 않을 확률 - 단계,"[<11, 0>]",허리띠 장막 해제
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",카오스 피해 및 카오스 스킬 효과 지속시간 - 단계,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",무기 장막 해제
