Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",Dano de Gelo e Raio Adicional - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Revelando escudos, anéis ou aljavas"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",Dano de Fogo e Gelo Adicional - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Revelando escudos, anéis ou aljavas"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",Dano de Fogo e Raio Adicional - Rank,"[<4, 0>, <9, 0>, <13, 0>]","Revelando escudos, anéis ou aljavas"
JunAllDamage,1,"[1, 1]",Dano - Rank,"[<9, 0>, <11, 0>]",Revelando certos aneis ou cintos do Leo
JunAlwaysHits,1,[1],Acertos não podem ser Evadidos,"[<0, 0>, <1, 0>]",Revelando certas armas corpo a corpo do Vagan
JunArmourAndEnergyShield,1,"[1, 1, 1]",Armadura e Escudo de Energia - Rank,"[<11, 0>]",Revelando cintos
JunArmourAndEvasionRating,1,"[1, 1, 1]",Armadura e Evasão - Rank,"[<11, 0>, <13, 0>]",Revelando cintos ou aljavas
JunAttackAndCastSpeed,1,"[1, 1, 1]",Velocidade de Ataque e Conjuração - Rank,"[<10, 0>, <13, 0>]",Revelando amuletos ou aljavas
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",Velocidade de Ataque e Conjuração enquanto Concentrado - Rank,"[<7, 0>]",Revelando luvas
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Velocidade de Ataque enquanto um Inimigo Raro ou Único estiver Próximo - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando armas
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",Imunidade à Dano Elemental durante a Anulação do Ganho de Almas - Rank,"[<6, 0>, <5, 0>]",Revelando peitorais ou elmos
JunAvoidFreeze,1,"[1, 1]",Imunidade a Congelamento - Rank,"[<8, 0>]",Revelando certas botas da Rin Yuushu
JunBaseLifeAndMana,1,"[1, 1, 1]",Vida e Mana - Rank,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Revelando elmos, luvas, botas, anéis, amuletos, cintos ou aljavas"
JunBleedOnHitGained,1,"[1, 1]",Dano Físico adicional e Sangramento ao Acertar - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando certas armas da Tora
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",Chance de Causar Dano Dobrado enquanto Concentrado - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando armas
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",Chance de Frascos Não Consumirem Cargas - Rank,"[<11, 0>]",Revelando cintos
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",Dano de Caos e Duração do Efeito de Habilidades de Caos - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando armas
JunChaosNonAilmentDamageOverTimeMultiplier,1,"[1, 1, 1]",Multiplicador de Dano Físico e de Caos Degenerativo - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando armas
JunChaosPenetrationWithAttacks,1,"[1, 1, 1]",Penetração da Resistência a Caos de Arma - Rank,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Revelando armas
