Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",Добавленный урон от холода и молнии - уровень,"[<4, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство щитов, колец и колчанов"
JunAddedFireAndColdDamage,1,"[1, 1, 1]",Добавленный урон от огня и холода - уровень,"[<4, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство щитов, колец и колчанов"
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",Добавленный урон от огня и молнии - уровень,"[<4, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство щитов, колец и колчанов"
JunAllDamage,1,"[1, 1]",Урон - уровень,"[<9, 0>, <11, 0>]",Нераскрытое свойство отдельных колец и поясов Лео
JunAlwaysHits,1,[1],От ударов нельзя уклониться,"[<0, 0>, <1, 0>]",Нераскрытое свойство отдельных видов оружия ближнего боя Вагана
JunArmourAndEnergyShield,1,"[1, 1, 1]",Броня и энергетический щит - уровень,"[<11, 0>]",Нераскрытое свойство поясов
JunArmourAndEvasionRating,1,"[1, 1, 1]",Броня и уклонение - уровень,"[<11, 0>, <13, 0>]",Нераскрытое свойство поясов и колчанов
JunAttackAndCastSpeed,1,"[1, 1, 1]",Скорость атаки и сотворения чар - уровень,"[<10, 0>, <13, 0>]",Нераскрытое свойство амулетов и колчанов
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]","Скорость атаки и сотворения чар, пока вы сфокусированы - уровень","[<7, 0>]",Нераскрытое свойство перчаток
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]","Скорость атаки, пока поблизости есть редкий или уникальный враг - уровень","[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",Избегание урона от стихий во время действия предотвращения получения душ - уровень,"[<6, 0>, <5, 0>]",Нераскрытое свойство нательных доспехов и шлемов
JunAvoidFreeze,1,"[1, 1]",Избегание заморозки - уровень,"[<8, 0>]",Нераскрытое свойство отдельных сапог Рин Юушу
JunBaseLifeAndMana,1,"[1, 1, 1]",Здоровье и мана - уровень,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Нераскрытое свойство шлемов, перчаток, сапог, колец, амулетов, поясов и колчанов"
JunBleedOnHitGained,1,"[1, 1]",Добавленный физический урон и кровотечение при нанесении удара - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство отдельных видов оружия Торы
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]","Шанс нанести двойной урон, пока вы сфокусированы - уровень","[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]","Шанс, что флаконы не будут расходовать заряды - уровень","[<11, 0>]",Нераскрытое свойство поясов
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",Урон хаосом и длительность эффектов умений хаоса - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunChaosNonAilmentDamageOverTimeMultiplier,1,"[1, 1, 1]",Множитель постепенного урона хаосом - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunChaosPenetrationWithAttacks,1,"[1, 1, 1]",Пробивание сопротивления хаосу оружием - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunColdDamageAndBaseChanceToFreeze,1,"[1, 1, 1]",Урон от холода и шанс заморозить - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunColdDamageOnCritAndCritChance,1,"[1, 1]",Шанс критического удара и множитель критического удара при разбивании - уровень,"[<9, 0>]",Нераскрытое свойство отдельных колец Камериа Хладнокровного
JunColdDamageOverTimeMultiplier,1,"[1, 1, 1]",Множитель постепенного урона от огня и холода - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently,1,"[1, 1, 1]",Шанс критического удара и добавленный урон хаосом при нанесении критического удара - уровень,"[<7, 0>, <13, 0>]",Нераскрытое свойство перчаток и колчанов
JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently,1,"[1, 1, 1]",Шанс критического удара и урон от стихий при нанесении критического удара - уровень,"[<7, 0>, <13, 0>]",Нераскрытое свойство перчаток и колчанов
JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent,1,"[1, 1, 1]",Шанс критического удара и получение заряда ярости при нанесении критического удара - уровень,"[<13, 0>]",Нераскрытое свойство колчанов
JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Множитель критического удара рядом с редким или уникальным врагом  - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunCurseEffect,1,"[1, 1]",Эффект проклятия - уровень,"[<4, 0>]",Нераскрытое свойство щитов
