Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunAddedColdAndLightningDamage,1,"[1, 1, 1]",附加冰冷和閃電傷害－階級,"[<4, 0>, <9, 0>, <13, 0>]",揭露盾牌、戒指或箭袋
JunAddedFireAndColdDamage,1,"[1, 1, 1]",附加火焰和冰冷傷害－階級,"[<4, 0>, <9, 0>, <13, 0>]",揭露盾牌、戒指或箭袋
JunAddedFireAndLightningDamage,1,"[1, 1, 1]",附加火焰和閃電傷害－階級,"[<4, 0>, <9, 0>, <13, 0>]",揭露盾牌、戒指或箭袋
JunAllDamage,1,"[1, 1]",傷害－階級,"[<9, 0>, <11, 0>]",揭露里歐的特定戒指或腰袋
JunAlwaysHits,1,[1],擊中無法被閃避,"[<0, 0>, <1, 0>]",揭露瓦甘的特定近戰武器
JunArmourAndEnergyShield,1,"[1, 1, 1]",護甲和能量護盾－階級,"[<11, 0>]",揭露腰帶
JunArmourAndEvasionRating,1,"[1, 1, 1]",護甲和閃避值－階級,"[<11, 0>, <13, 0>]",揭露腰帶或箭袋
JunAttackAndCastSpeed,1,"[1, 1, 1]",攻擊和施放速度－階級,"[<10, 0>, <13, 0>]",揭露項鍊或箭袋
JunAttackAndCastSpeedWhileFocused,1,"[1, 1, 1]",專注時攻擊和施放速度－階級,"[<7, 0>]",揭露手套
JunAttackSpeedPercentIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",當附近有稀有或傳奇敵人攻擊速度－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunAvoidElementalDamageChancePercentDuringSoulGainPrevention,1,"[1, 1]",停止獲得靈魂期間內避免元素傷害－階級,"[<6, 0>, <5, 0>]",揭露身體護甲或頭盔
JunAvoidFreeze,1,"[1, 1]",避免冰凍－階級,"[<8, 0>]",揭露琳．依休特定鞋子
JunBaseLifeAndMana,1,"[1, 1, 1]",生命和魔力－階級,"[<5, 0>, <7, 0>, <8, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]",揭露頭盔、手套、鞋子、戒指、項鍊、腰帶或箭袋
JunBleedOnHitGained,1,"[1, 1]",附加物理傷害和擊中造成流血－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露托菈特定武器
JunChanceToDealDoubleDamageWhileFocused,1,"[1, 1, 1]",專注時機造成 2 倍傷害機率－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunChanceToNotConsumeFlaskCharges,1,"[1, 1]",機率使用藥劑不消耗充能－階級,"[<11, 0>]",揭露腰帶
JunChaosDamageAndChaosSkillDuration,1,"[1, 1, 1]",混沌傷害和混沌技能效果持續時間－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunChaosNonAilmentDamageOverTimeMultiplier,1,"[1, 1, 1]",物理和混沌持續傷害加成－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunChaosPenetrationWithAttacks,1,"[1, 1, 1]",武器混沌抗性穿透－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunColdDamageAndBaseChanceToFreeze,1,"[1, 1, 1]",冰冷傷害和冰凍機率－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunColdDamageOnCritAndCritChance,1,"[1, 1]",粉碎暴擊率和暴擊加成－階級,"[<9, 0>]",揭露冷血卡麥歷亞特定戒指
JunColdDamageOverTimeMultiplier,1,"[1, 1, 1]",火焰和冰冷持續傷害加成－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently,1,"[1, 1, 1]",暴擊率和暴擊時附加混沌傷害－階級,"[<7, 0>, <13, 0>]",揭露手套或箭袋
JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently,1,"[1, 1, 1]",暴擊率和暴擊時部分元素傷害－階級,"[<7, 0>, <13, 0>]",揭露手套或箭袋
JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent,1,"[1, 1, 1]",暴擊率和暴擊時獲得狂怒球－階級,"[<13, 0>]",揭露箭袋
JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",當附近有稀有或傳奇敵人暴擊加成－階級,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunCurseEffect,1,"[1, 1]",詛咒效果－階級,"[<4, 0>]",揭露盾牌、戒指或箭袋
JunDamageDuringFlaskEffect,1,"[1, 1]",藥劑效果持續時間傷害－階級,"[<7, 0>]",揭露哥夫格林特定手套
JunDamagePerEnduranceCharge,1,[1],每顆耐力球傷害,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunDamagePerFrenzyCharge,1,[1],每顆狂怒球傷害,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunDamagePerPowerCharge,1,[1],每顆暴擊球傷害,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",揭露武器
JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention,1,"[1, 1, 1]",停止獲得靈魂期間內非瓦爾技能傷害－階級,"[<8, 0>, <7, 0>]",揭露腰帶或手套
JunDamageRemovedFromManaBeforeLifeWhileFocused,1,[1],專注時生命所受傷害由魔力扣除,"[<6, 0>]",揭露身體護甲
JunDamageWhileLeeching,1,"[1, 1]",偷取時傷害－階級,"[<7, 0>, <10, 0>]",揭露瓦里西特定手套或項鍊
JunDexterityAndIntelligence,1,"[1, 1, 1]",敏捷和智慧－階級,"[<6, 0>, <8, 0>, <7, 0>, <5, 0>, <4, 0>, <10, 0>, <11, 0>, <9, 0>, <13, 0>]",揭露身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋
JunDodgeChanceDuringFocus,1,"[1, 1, 1]",專注時增加躲避值－階級,"[<5, 0>, <8, 0>]",揭露頭盔或鞋子
