Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,One Hand Melee
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,Two Hand Melee
OneHandRanged,"[<8, 0>]",1HandedRange,One Hand Ranged
TwoHandRanged,"[<13, 0>]",2HandedRange,Two Hand Ranged
Shield,"[<26, 0>]",Shield,Shield
Helmet,"[<25, 0>]",Helmet,Helmet
BodyArmour,"[<24, 0>]",Armour,Body Armour
Gloves,"[<22, 0>]",Gloves,Gloves
Boots,"[<23, 0>]",Boots,Boots
Ring,"[<5, 0>]",Ring,Ring
Amulet,"[<4, 0>]",Amulet,Amulet
Belt,"[<21, 0>]",Belt,Belt
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,Flask
Quiver,"[<20, 0>]",Quiver,Quiver
Map,"[<35, 0>]",,Map
MapFragment,"[<38, 0>]",,Map Fragment
Jewel,"[<41, 0>, <50, 0>]",,Jewel