Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,Cuerpo a cuerpo a una mano
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,Cuerpo a cuerpo a dos manos
OneHandRanged,"[<8, 0>]",1HandedRange,Rango a una mano
TwoHandRanged,"[<13, 0>]",2HandedRange,Rango a dos manos
Shield,"[<26, 0>]",Shield,Escudo
Helmet,"[<25, 0>]",Helmet,Casco
BodyArmour,"[<24, 0>]",Armour,Armadura
Gloves,"[<22, 0>]",Gloves,Guantes
Boots,"[<23, 0>]",Boots,Botas
Ring,"[<5, 0>]",Ring,Anillo
Amulet,"[<4, 0>]",Amulet,Amuleto
Belt,"[<21, 0>]",Belt,Cinturón
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,Frasco
Quiver,"[<20, 0>]",Quiver,Carcaj
Map,"[<35, 0>]",,Mapa
MapFragment,"[<38, 0>]",,Fragmento de mapa
Jewel,"[<41, 0>, <50, 0>]",,Joya