Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,Mêlée à 1 main
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,Mêlée à 2 mains
OneHandRanged,"[<8, 0>]",1HandedRange,Distance à 1 main
TwoHandRanged,"[<13, 0>]",2HandedRange,Distance à 2 mains
Shield,"[<26, 0>]",Shield,Bouclier
Helmet,"[<25, 0>]",Helmet,Casque
BodyArmour,"[<24, 0>]",Armour,Armure
Gloves,"[<22, 0>]",Gloves,Gants
Boots,"[<23, 0>]",Boots,Bottes
Ring,"[<5, 0>]",Ring,Bague & Anneau
Amulet,"[<4, 0>]",Amulet,Amulette
Belt,"[<21, 0>]",Belt,Ceinture
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,Flacon
Quiver,"[<20, 0>]",Quiver,Carquois
Map,"[<35, 0>]",,Carte
MapFragment,"[<38, 0>]",,Fragment de Carte
Jewel,"[<41, 0>, <50, 0>]",,Joyau