Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,한손 근접
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,양손 근접
OneHandRanged,"[<8, 0>]",1HandedRange,한손 원거리
TwoHandRanged,"[<13, 0>]",2HandedRange,양손 원거리
Shield,"[<26, 0>]",Shield,방패
Helmet,"[<25, 0>]",Helmet,투구
BodyArmour,"[<24, 0>]",Armour,갑옷
Gloves,"[<22, 0>]",Gloves,장갑
Boots,"[<23, 0>]",Boots,장화
Ring,"[<5, 0>]",Ring,반지
Amulet,"[<4, 0>]",Amulet,목걸이
Belt,"[<21, 0>]",Belt,허리띠
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,플라스크
Quiver,"[<20, 0>]",Quiver,화살통
Map,"[<35, 0>]",,지도
MapFragment,"[<38, 0>]",,지도 조각
Jewel,"[<41, 0>, <50, 0>]",,주얼