Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,Corpo a Corpo de Uma Mão
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,Corpo a Corpo de Duas Mãos
OneHandRanged,"[<8, 0>]",1HandedRange,Longo Alcance de Uma Mão
TwoHandRanged,"[<13, 0>]",2HandedRange,Longo Alcance de Duas Mãos
Shield,"[<26, 0>]",Shield,Escudo
Helmet,"[<25, 0>]",Helmet,Elmo
BodyArmour,"[<24, 0>]",Armour,Peitoral
Gloves,"[<22, 0>]",Gloves,Luvas
Boots,"[<23, 0>]",Boots,Botas
Ring,"[<5, 0>]",Ring,Anel
Amulet,"[<4, 0>]",Amulet,Amuleto
Belt,"[<21, 0>]",Belt,Cinto
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,Frasco
Quiver,"[<20, 0>]",Quiver,Aljava
Map,"[<35, 0>]",,Mapa
MapFragment,"[<38, 0>]",,Fragmento de Mapa
Jewel,"[<41, 0>, <50, 0>]",,Joia