Id,ItemClassesKeys,Unknown0,Text
OneHandMelee,"[<7, 0>, <56, 0>, <11, 0>, <12, 0>, <9, 0>, <6, 0>, <32, 0>, <10, 0>]",1HandedMelee,單手近戰
TwoHandMelee,"[<16, 0>, <17, 0>, <15, 0>, <14, 0>, <57, 0>]",2HandedMelee,雙手近戰
OneHandRanged,"[<8, 0>]",1HandedRange,單手遠距
TwoHandRanged,"[<13, 0>]",2HandedRange,雙手遠距
Shield,"[<26, 0>]",Shield,盾牌
Helmet,"[<25, 0>]",Helmet,頭盔
BodyArmour,"[<24, 0>]",Armour,胸甲
Gloves,"[<22, 0>]",Gloves,手套
Boots,"[<23, 0>]",Boots,鞋子
Ring,"[<5, 0>]",Ring,戒指
Amulet,"[<4, 0>]",Amulet,項鍊
Belt,"[<21, 0>]",Belt,腰帶
Flask,"[<0, 0>, <1, 0>, <2, 0>, <33, 0>, <34, 0>]",Flask,藥劑
Quiver,"[<20, 0>]",Quiver,箭袋
Map,"[<35, 0>]",,地圖
MapFragment,"[<38, 0>]",,地圖碎片
Jewel,"[<41, 0>, <50, 0>]",,珠寶