Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,Feuer,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,Kälte,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,Blitz,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,Chaos,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,Zauber,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,Projektil,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,Bogen,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,Nahkampf,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,Kreatur,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,Aura,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,Angriff,"<null, null>","<null, null>","<null, null>","<null, null>"
area,Wirkungsbereich,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,Dauer,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,Unterstützung,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,Fluch,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,Verkettung,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,Totem,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,Falle,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,Mine,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,Bewegung,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,Zauber,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,Vaal,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,Auslöser,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,Kriegsschrei,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,Golem,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,Kanalisieren,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,Herold,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,Zeichen,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,Physisch,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,Wächter,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,Fortbewegung,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,Schlag,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,Spurt,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,Nova,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,Hieb,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,Haltung,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,Verhexung,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,Mal,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,Sphäre,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,Prismatisch,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,Arkan,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,Kritisch,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,Außergewöhnlich,"<null, null>","<null, null>","<null, null>","<null, null>"
link,Verbindung,"<null, null>","<null, null>","<null, null>","<null, null>"