Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,화염,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,냉기,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,번개,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,카오스,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,주문,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,투사체,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,활,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,근접,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,소환수,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,오라,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,공격,"<null, null>","<null, null>","<null, null>","<null, null>"
area,효과 범위,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,지속시간,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,보조,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,저주,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,연쇄의,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,토템,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,덫,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,지뢰,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,이동,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,시전,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,바알,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,발동,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,함성,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,골렘,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,집중 유지,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,전령,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,낙인,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,물리,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,수호,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,이동 전용,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,타격,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,점멸,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,폭발,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,강타,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,태세,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,사술,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,징표,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,보주,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,분광,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,비전,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,치명타,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,특출난,"<null, null>","<null, null>","<null, null>","<null, null>"
link,이전하기,"<null, null>","<null, null>","<null, null>","<null, null>"