Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,Fogo,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,Gelo,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,Raio,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,Caos,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,Magia,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,Projétil,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,Arco,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,Corpo a Corpo,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,Lacaio,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,Aura,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,Ataque,"<null, null>","<null, null>","<null, null>","<null, null>"
area,Área,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,Duração,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,Suporte,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,Maldição,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,Ricochete,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,Totem,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,Armadilha,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,Mina,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,Movimento,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,Conjuração,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,Vaal,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,Ativação,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,Clamor,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,Golem,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,Canalização,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,Arauto,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,Runa,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,Físico,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,Guarda,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,Viajar,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,Golpear,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,Ilusão,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,Nova,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,Impacto,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,Postura,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,Feitiço,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,Marca,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,Orbe,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,Prismático,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,Arcana,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,Crítico,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,Excepcional,"<null, null>","<null, null>","<null, null>","<null, null>"
link,Vínculo,"<null, null>","<null, null>","<null, null>","<null, null>"