Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,Огонь,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,Холод,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,Молния,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,Хаос,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,Чары,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,Снаряд,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,Лук,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,Ближний бой,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,Приспешник,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,Аура,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,Атака,"<null, null>","<null, null>","<null, null>","<null, null>"
area,Область,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,Длится,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,Поддержка,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,Проклятие,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,Цепь,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,Тотем,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,Ловушка,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,Мина,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,Движение,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,Сотворение,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,Ваал,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,Активатор,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,Боевой клич,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,Голем,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,Поддерживаемое,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,Вестник,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,Клеймо,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,Физический,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,Оборона,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,Смещение,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,Удар,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,Скачок,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,Кольцо,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,Мощный,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,Стойка,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,Порча,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,Метка,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,Сфера,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,Радужный,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,Колдовской,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,Критический,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,Исключительный,"<null, null>","<null, null>","<null, null>","<null, null>"
link,Связь,"<null, null>","<null, null>","<null, null>","<null, null>"