Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,ไฟ,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,น้ำแข็ง,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,สายฟ้า,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,เคออส,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,เวท,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,กระสุน,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,ธนู,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,ประชิด,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,มิเนียน,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,ออร่า,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,โจมตี,"<null, null>","<null, null>","<null, null>","<null, null>"
area,พื้นที่,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,กาลเวลา,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,เสริม,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,คำสาป,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,ชิ่ง,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,โทเทม,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,กับดัก,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,ทุ่นระเบิด,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,เคลื่อนที่,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,ร่าย,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,วาล์,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,ทริกเกอร์,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,คำราม,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,โกเลม,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,แชนเนล,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,สาส์น,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,ตราเวท,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,กายภาพ,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,ตั้งรับ,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,เดินทาง,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,ฟาด,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,ก้าวพริบตา,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,กระจาย,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,ทุบ,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,กระบวนท่า,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,สาปสะกด,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,สาปแช่ง,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,ลูกแก้ว,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,สุ่มธาตุ,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,อาคม,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,คริติคอล,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,ดีเด่น,"<null, null>","<null, null>","<null, null>","<null, null>"
link,ประสาน,"<null, null>","<null, null>","<null, null>","<null, null>"