Id,Tag,Unknown0,Unknown1,Unknown2,Unknown3
fire,火焰,"<516, 0>","<9041, 0>","<10258, 0>","<10714, 0>"
cold,冰冷,"<517, 0>","<9042, 0>","<10259, 0>","<10715, 0>"
lightning,閃電,"<518, 0>","<9043, 0>","<10260, 0>","<10716, 0>"
chaos,混沌,"<519, 0>","<9044, 0>","<10261, 0>","<10717, 0>"
spell,法術,"<521, 0>","<null, null>","<null, null>","<null, null>"
projectile,投射物,"<520, 0>","<9052, 0>","<null, null>","<null, null>"
bow,弓箭,"<523, 0>","<9046, 0>","<null, null>","<null, null>"
melee,近戰,"<522, 0>","<9045, 0>","<null, null>","<null, null>"
minion,召喚物,"<524, 0>","<9040, 0>","<null, null>","<null, null>"
strength,,"<755, 0>","<9048, 0>","<null, null>","<10719, 0>"
dexterity,,"<756, 0>","<9049, 0>","<null, null>","<10720, 0>"
intelligence,,"<757, 0>","<9050, 0>","<null, null>","<10721, 0>"
aura,光環,"<1061, 0>","<9047, 0>","<null, null>","<null, null>"
attack,攻擊,"<null, null>","<null, null>","<null, null>","<null, null>"
area,範圍效果,"<7916, 0>","<9051, 0>","<null, null>","<null, null>"
duration,持續時間,"<7915, 0>","<null, null>","<null, null>","<null, null>"
support,輔助,"<2219, 0>","<2432, 0>","<null, null>","<null, null>"
curse,詛咒,"<2024, 0>","<null, null>","<null, null>","<null, null>"
chaining,連鎖,"<null, null>","<null, null>","<null, null>","<null, null>"
totem,圖騰,"<null, null>","<null, null>","<null, null>","<10723, 0>"
trap,陷阱,"<8007, 0>","<null, null>","<null, null>","<null, null>"
mine,地雷,"<null, null>","<null, null>","<null, null>","<null, null>"
movement,位移,"<1258, 0>","<null, null>","<null, null>","<null, null>"
cast,施放,"<null, null>","<null, null>","<null, null>","<null, null>"
vaal,瓦爾,"<2140, 0>","<null, null>","<null, null>","<10722, 0>"
active_skill,,"<2403, 0>","<null, null>","<null, null>","<null, null>"
trigger,觸發,"<null, null>","<null, null>","<null, null>","<null, null>"
warcry,戰吼,"<3167, 0>","<null, null>","<null, null>","<null, null>"
golem,魔像,"<3171, 0>","<null, null>","<null, null>","<null, null>"
low_max_level,,"<null, null>","<null, null>","<null, null>","<null, null>"
channelling,引導,"<null, null>","<null, null>","<null, null>","<null, null>"
herald,捷光環,"<6150, 0>","<null, null>","<null, null>","<null, null>"
brand,烙印,"<null, null>","<null, null>","<null, null>","<null, null>"
physical,物理,"<null, null>","<null, null>","<10262, 0>","<10718, 0>"
guard,守護,"<null, null>","<null, null>","<null, null>","<null, null>"
travel,快行,"<null, null>","<null, null>","<null, null>","<null, null>"
strike,打擊,"<null, null>","<null, null>","<null, null>","<null, null>"
blink,閃現,"<null, null>","<null, null>","<null, null>","<null, null>"
nova,新星,"<null, null>","<null, null>","<null, null>","<null, null>"
banner,,"<null, null>","<null, null>","<null, null>","<null, null>"
slam,重擊,"<null, null>","<null, null>","<null, null>","<null, null>"
stance,姿態,"<null, null>","<null, null>","<null, null>","<null, null>"
hex,咒術,"<13106, 0>","<null, null>","<null, null>","<null, null>"
mark,印記,"<null, null>","<null, null>","<null, null>","<null, null>"
orb,球體,"<null, null>","<null, null>","<null, null>","<null, null>"
random_element,三相,"<null, null>","<null, null>","<null, null>","<null, null>"
arcane,秘能,"<null, null>","<null, null>","<null, null>","<null, null>"
critical,暴擊,"<null, null>","<null, null>","<null, null>","<null, null>"
exceptional,卓越,"<null, null>","<null, null>","<null, null>","<null, null>"
link,連結,"<null, null>","<null, null>","<null, null>","<null, null>"