Id,IsSupport,AllowedActiveSkillTypes,BaseEffectiveness,IncrementalEffectiveness,SupportGemLetter,Unknown0,AddedActiveSkillTypes,ExcludedActiveSkillTypes,SupportsGemsOnly,Unknown1,Unknown2,Unknown3,Unknown4,CastTime,ActiveSkillsKey,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,GrantedEffectsKey
Fireball,False,[],2.9384f,0.0412f,,3,[],[],False,3494114739,[],False,2,750,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballRoyale,False,[],3.4315f,0.0412f,,3,[],[],False,3120300386,[],False,2,750,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireball,False,[],2.5f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballContactPos,False,[],2.5f,0.0394f,,3,[],[],False,0,[],False,2,1330,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BlightMonsterFireball,False,[],2.5f,0.045f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GemlingFireball1,False,[],1.7889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GemlingFireball2,False,[],1.7889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GemlingFireball3,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,3000,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballSuperNovaCitystalker,False,[],0.6111f,0.0394f,,3,[],[],False,0,[],False,2,2300,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireball3Parallel,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
HolyFireElementalFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
LegionTemplarFireball,False,[],2.75f,0.04f,,3,[],[],False,0,[],False,2,1330,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
HolyCitystalkerFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AbberathMinionFireball,False,[],1.7833f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AbberathMinionFireballMap,False,[],1.605f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ExileShadowFireball,False,[],0.9444f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AvariusFireball,False,[],4.4444f,0.03f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AvariusWickermanFireball,False,[],2f,0.03f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AvariusJudgeFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BlackguardClericBossFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
VaalSideAreaBossHolyFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PhoenixMinionFireball,False,[],4.6444f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IzaroDaemonFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballSideArea,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
