BaseItemTypesKey,ItemCurrentLevel,Experience
"<5006, 0>",1,0
"<5006, 0>",2,70
"<5006, 0>",3,378
"<5006, 0>",4,1932
"<5006, 0>",5,8599
"<5006, 0>",6,34646
"<5006, 0>",7,84371
"<5006, 0>",8,180085
"<5006, 0>",9,349680
"<5006, 0>",10,633439
"<5006, 0>",11,1087435
"<5006, 0>",12,1790563
"<5006, 0>",13,2851786
"<5006, 0>",14,4917656
"<5006, 0>",15,7424766
"<5006, 0>",16,13223702
"<5006, 0>",17,28307621
"<5006, 0>",18,56100356
"<5006, 0>",19,99970095
"<5006, 0>",20,342051651
"<5007, 0>",1,0
"<5007, 0>",2,15249
"<5007, 0>",3,56766
"<5007, 0>",4,138749
"<5007, 0>",5,286717
"<5007, 0>",6,537274
"<5007, 0>",7,942360
"<5007, 0>",8,1390078
"<5007, 0>",9,2005396
"<5007, 0>",10,2840035
"<5007, 0>",11,4410795
"<5007, 0>",12,6044782
"<5007, 0>",13,8195812
"<5007, 0>",14,11008001
"<5007, 0>",15,16107361
"<5007, 0>",16,25508092
"<5007, 0>",17,40781458
"<5007, 0>",18,67068040
"<5007, 0>",19,129958630
"<5007, 0>",20,342004647
"<5008, 0>",1,0
"<5008, 0>",2,9569
"<5008, 0>",3,37758
"<5008, 0>",4,96904
"<5008, 0>",5,208096
"<5008, 0>",6,401896
"<5008, 0>",7,722176
"<5008, 0>",8,1081266
"<5008, 0>",9,1579774
"<5008, 0>",10,2261831
"<5008, 0>",11,3183608
"<5008, 0>",12,4911487
"<5008, 0>",13,6703256
"<5008, 0>",14,9056935
"<5008, 0>",15,12127847
"<5008, 0>",16,21223313
"<5008, 0>",17,37263203
"<5008, 0>",18,67080320
"<5008, 0>",19,129975376
"<5008, 0>",20,342026975
"<5011, 0>",1,0
"<5011, 0>",2,15249
"<5011, 0>",3,56766
"<5011, 0>",4,138749
"<5011, 0>",5,286717
"<5011, 0>",6,537274
"<5011, 0>",7,942360
"<5011, 0>",8,1390078
"<5011, 0>",9,2005396
"<5011, 0>",10,2840035
"<5011, 0>",11,4410795
"<5011, 0>",12,6044782
"<5011, 0>",13,8195812
"<5011, 0>",14,11008001
"<5011, 0>",15,16107361
"<5011, 0>",16,25508092
"<5011, 0>",17,40781458
"<5011, 0>",18,67068040
"<5011, 0>",19,129958630
"<5011, 0>",20,342004647
"<5013, 0>",1,0
"<5013, 0>",2,70
"<5013, 0>",3,378
"<5013, 0>",4,1932
"<5013, 0>",5,8599
"<5013, 0>",6,34646
"<5013, 0>",7,84371
"<5013, 0>",8,180085
"<5013, 0>",9,349680
"<5013, 0>",10,633439
"<5013, 0>",11,1087435
"<5013, 0>",12,1790563
"<5013, 0>",13,2851786
"<5013, 0>",14,4917656
"<5013, 0>",15,7424766
"<5013, 0>",16,13223702
"<5013, 0>",17,28307621
"<5013, 0>",18,56100356
"<5013, 0>",19,99970095
"<5013, 0>",20,342051651
"<5014, 0>",1,0
"<5014, 0>",2,70
"<5014, 0>",3,378
"<5014, 0>",4,1932
"<5014, 0>",5,8599
"<5014, 0>",6,34646
"<5014, 0>",7,84371
"<5014, 0>",8,180085
"<5014, 0>",9,349680
"<5014, 0>",10,633439
"<5014, 0>",11,1087435
"<5014, 0>",12,1790563
"<5014, 0>",13,2851786
"<5014, 0>",14,4917656
"<5014, 0>",15,7424766
"<5014, 0>",16,13223702
"<5014, 0>",17,28307621
"<5014, 0>",18,56100356
"<5014, 0>",19,99970095
"<5014, 0>",20,342051651
"<5015, 0>",1,0
"<5015, 0>",2,9569
"<5015, 0>",3,37758
"<5015, 0>",4,96904
"<5015, 0>",5,208096
"<5015, 0>",6,401896
"<5015, 0>",7,722176
"<5015, 0>",8,1081266
"<5015, 0>",9,1579774
"<5015, 0>",10,2261831
"<5015, 0>",11,3183608
"<5015, 0>",12,4911487
"<5015, 0>",13,6703256
"<5015, 0>",14,9056935
"<5015, 0>",15,12127847
"<5015, 0>",16,21223313
"<5015, 0>",17,37263203
"<5015, 0>",18,67080320
"<5015, 0>",19,129975376
"<5015, 0>",20,342026975
"<5016, 0>",1,0
"<5016, 0>",2,9569
"<5016, 0>",3,37758
"<5016, 0>",4,96904
"<5016, 0>",5,208096
"<5016, 0>",6,401896
"<5016, 0>",7,722176
"<5016, 0>",8,1081266
"<5016, 0>",9,1579774
"<5016, 0>",10,2261831
"<5016, 0>",11,3183608
"<5016, 0>",12,4911487
"<5016, 0>",13,6703256
"<5016, 0>",14,9056935
"<5016, 0>",15,12127847
"<5016, 0>",16,21223313
"<5016, 0>",17,37263203
"<5016, 0>",18,67080320
"<5016, 0>",19,129975376
"<5016, 0>",20,342026975
"<5017, 0>",1,0
"<5017, 0>",2,70
"<5017, 0>",3,378
"<5017, 0>",4,1932
"<5017, 0>",5,8599
"<5017, 0>",6,34646
"<5017, 0>",7,84371
"<5017, 0>",8,180085
"<5017, 0>",9,349680
"<5017, 0>",10,633439
"<5017, 0>",11,1087435
"<5017, 0>",12,1790563
"<5017, 0>",13,2851786
"<5017, 0>",14,4917656
"<5017, 0>",15,7424766
"<5017, 0>",16,13223702
"<5017, 0>",17,28307621
"<5017, 0>",18,56100356
"<5017, 0>",19,99970095
"<5017, 0>",20,342051651
"<5019, 0>",1,0
"<5019, 0>",2,15249
"<5019, 0>",3,56766
"<5019, 0>",4,138749
"<5019, 0>",5,286717
"<5019, 0>",6,537274
"<5019, 0>",7,942360
"<5019, 0>",8,1390078
"<5019, 0>",9,2005396
"<5019, 0>",10,2840035
"<5019, 0>",11,4410795
"<5019, 0>",12,6044782
"<5019, 0>",13,8195812
"<5019, 0>",14,11008001
"<5019, 0>",15,16107361
"<5019, 0>",16,25508092
"<5019, 0>",17,40781458
"<5019, 0>",18,67068040
"<5019, 0>",19,129958630
"<5019, 0>",20,342004647
"<5020, 0>",1,0
"<5020, 0>",2,252595
"<5020, 0>",3,566989
"<5020, 0>",4,955723
"<5020, 0>",5,1433160
"<5020, 0>",6,2016946
"<5020, 0>",7,2727305
"<5020, 0>",8,4082816
"<5020, 0>",9,5221693
"<5020, 0>",10,6589926
"<5020, 0>",11,8228264
"<5020, 0>",12,10184912
"<5020, 0>",13,13840096
"<5020, 0>",14,16857423
"<5020, 0>",15,20433655
"<5020, 0>",16,29598386
"<5020, 0>",17,47459814
"<5020, 0>",18,93492200
"<5020, 0>",19,180740239
"<5020, 0>",20,338712291
"<5021, 0>",1,0
"<5021, 0>",2,70
"<5021, 0>",3,378
"<5021, 0>",4,1932
"<5021, 0>",5,8599
"<5021, 0>",6,34646
"<5021, 0>",7,84371
"<5021, 0>",8,180085
"<5021, 0>",9,349680
"<5021, 0>",10,633439
"<5021, 0>",11,1087435
"<5021, 0>",12,1790563
"<5021, 0>",13,2851786
"<5021, 0>",14,4917656
"<5021, 0>",15,7424766
"<5021, 0>",16,13223702
"<5021, 0>",17,28307621
"<5021, 0>",18,56100356
"<5021, 0>",19,99970095
"<5021, 0>",20,342051651
"<5022, 0>",1,0
"<5022, 0>",2,9569
"<5022, 0>",3,37758
"<5022, 0>",4,96904
"<5022, 0>",5,208096
"<5022, 0>",6,401896
"<5022, 0>",7,722176
"<5022, 0>",8,1081266
"<5022, 0>",9,1579774
"<5022, 0>",10,2261831
"<5022, 0>",11,3183608
"<5022, 0>",12,4911487
"<5022, 0>",13,6703256
"<5022, 0>",14,9056935
"<5022, 0>",15,12127847
"<5022, 0>",16,21223313
"<5022, 0>",17,37263203
"<5022, 0>",18,67080320
"<5022, 0>",19,129975376
"<5022, 0>",20,342026975
"<5023, 0>",1,0
"<5023, 0>",2,49725
"<5023, 0>",3,145439
"<5023, 0>",4,315034
"<5023, 0>",5,514379
"<5023, 0>",6,800194
"<5023, 0>",7,1201538
"<5023, 0>",8,1755917
"<5023, 0>",9,2510966
"<5023, 0>",10,3527499
"<5023, 0>",11,5426101
"<5023, 0>",12,7390120
"<5023, 0>",13,9963851
"<5023, 0>",14,14640290
"<5023, 0>",15,17657617
"<5023, 0>",16,25480618
"<5023, 0>",17,40744826
"<5023, 0>",18,67017671
"<5023, 0>",19,129889945
"<5023, 0>",20,341913067
"<5026, 0>",1,0
"<5026, 0>",2,841
"<5026, 0>",3,3940
"<5026, 0>",4,11373
"<5026, 0>",5,34268
"<5026, 0>",6,83993
"<5026, 0>",7,179707
"<5026, 0>",8,349302
"<5026, 0>",9,633061
"<5026, 0>",10,1087057
"<5026, 0>",11,1790185
"<5026, 0>",12,2851408
"<5026, 0>",13,4917278
"<5026, 0>",14,7424388
"<5026, 0>",15,9998119
"<5026, 0>",16,17609470
"<5026, 0>",17,31047378
"<5026, 0>",18,56099525
"<5026, 0>",19,99968961
"<5026, 0>",20,342050139
"<5029, 0>",1,0
"<5029, 0>",2,9569
"<5029, 0>",3,37758
"<5029, 0>",4,96904
"<5029, 0>",5,208096
"<5029, 0>",6,401896
"<5029, 0>",7,722176
"<5029, 0>",8,1081266
"<5029, 0>",9,1579774
"<5029, 0>",10,2261831
"<5029, 0>",11,3183608
"<5029, 0>",12,4911487
"<5029, 0>",13,6703256
"<5029, 0>",14,9056935
"<5029, 0>",15,12127847
"<5029, 0>",16,21223313
"<5029, 0>",17,37263203
"<5029, 0>",18,67080320
"<5029, 0>",19,129975376
"<5029, 0>",20,342026975
"<5034, 0>",1,0
"<5034, 0>",2,70
"<5034, 0>",3,378
"<5034, 0>",4,1932
"<5034, 0>",5,8599
"<5034, 0>",6,34646
"<5034, 0>",7,84371
"<5034, 0>",8,180085
"<5034, 0>",9,349680
"<5034, 0>",10,633439
"<5034, 0>",11,1087435
"<5034, 0>",12,1790563
"<5034, 0>",13,2851786
"<5034, 0>",14,4917656
"<5034, 0>",15,7424766
"<5034, 0>",16,13223702
"<5034, 0>",17,28307621
"<5034, 0>",18,56100356
"<5034, 0>",19,99970095
"<5034, 0>",20,342051651
"<5035, 0>",1,0
"<5035, 0>",2,3231
"<5035, 0>",3,12800
"<5035, 0>",4,40989
"<5035, 0>",5,100135
"<5035, 0>",6,211327
"<5035, 0>",7,405127
"<5035, 0>",8,725407
"<5035, 0>",9,1233246
"<5035, 0>",10,1787625
"<5035, 0>",11,2542674
"<5035, 0>",12,3559207
"<5035, 0>",13,5457809
"<5035, 0>",14,7421828
"<5035, 0>",15,9995559
"<5035, 0>",16,17606398
"<5035, 0>",17,31043282
"<5035, 0>",18,56093893
"<5035, 0>",19,99961281
"<5035, 0>",20,342039899
"<5036, 0>",1,0
"<5036, 0>",2,69833
"<5036, 0>",3,198382
"<5036, 0>",4,352935
"<5036, 0>",5,578309
"<5036, 0>",6,898981
"<5036, 0>",7,1346699
"<5036, 0>",8,1962017
"<5036, 0>",9,2796656
"<5036, 0>",10,4367416
"<5036, 0>",11,6001403
"<5036, 0>",12,8152433
"<5036, 0>",13,10964622
"<5036, 0>",14,14619806
"<5036, 0>",15,17637133
"<5036, 0>",16,25456038
"<5036, 0>",17,40712051
"<5036, 0>",18,66972606
"<5036, 0>",19,129828493
"<5036, 0>",20,341831131
"<5038, 0>",1,0
"<5038, 0>",2,3231
"<5038, 0>",3,12800
"<5038, 0>",4,40989
"<5038, 0>",5,100135
"<5038, 0>",6,211327
"<5038, 0>",7,405127
"<5038, 0>",8,725407
"<5038, 0>",9,1233246
"<5038, 0>",10,1787625
"<5038, 0>",11,2542674
"<5038, 0>",12,3559207
"<5038, 0>",13,5457809
"<5038, 0>",14,7421828
"<5038, 0>",15,9995559
"<5038, 0>",16,17606398
"<5038, 0>",17,31043282
"<5038, 0>",18,56093893
"<5038, 0>",19,99961281
"<5038, 0>",20,342039899
"<5037, 0>",1,0
"<5037, 0>",2,388734
"<5037, 0>",3,866171
"<5037, 0>",4,1449957
"<5037, 0>",5,2160316
"<5037, 0>",6,3515827
"<5037, 0>",7,4654704
"<5037, 0>",8,6022937
"<5037, 0>",9,7661275
"<5037, 0>",10,9617923
"<5037, 0>",11,13273107
"<5037, 0>",12,16290434
"<5037, 0>",13,19866666
"<5037, 0>",14,24098333
"<5037, 0>",15,26493411
"<5037, 0>",16,34914474
"<5037, 0>",17,51074457
"<5037, 0>",18,92244824
"<5037, 0>",19,179039272
"<5037, 0>",20,336444335
"<5040, 0>",1,0
"<5040, 0>",2,285815
"<5040, 0>",3,538410
"<5040, 0>",4,852804
"<5040, 0>",5,1241538
"<5040, 0>",6,1718975
"<5040, 0>",7,2302761
"<5040, 0>",8,3013120
"<5040, 0>",9,4368631
"<5040, 0>",10,5507508
"<5040, 0>",11,6875741
"<5040, 0>",12,8514079
"<5040, 0>",13,10470727
"<5040, 0>",14,14125911
"<5040, 0>",15,17143238
"<5040, 0>",16,24863364
"<5040, 0>",17,39921819
"<5040, 0>",18,65886037
"<5040, 0>",19,128346808
"<5040, 0>",20,339855551
"<5041, 0>",1,0
"<5041, 0>",2,3231
"<5041, 0>",3,12800
"<5041, 0>",4,40989
"<5041, 0>",5,100135
"<5041, 0>",6,211327
"<5041, 0>",7,405127
"<5041, 0>",8,725407
"<5041, 0>",9,1233246
"<5041, 0>",10,1787625
"<5041, 0>",11,2542674
"<5041, 0>",12,3559207
"<5041, 0>",13,5457809
"<5041, 0>",14,7421828
"<5041, 0>",15,9995559
"<5041, 0>",16,17606398
"<5041, 0>",17,31043282
"<5041, 0>",18,56093893
"<5041, 0>",19,99961281
"<5041, 0>",20,342039899
"<5043, 0>",1,0
"<5043, 0>",2,388734
"<5043, 0>",3,866171
"<5043, 0>",4,1449957
"<5043, 0>",5,2160316
"<5043, 0>",6,3515827
"<5043, 0>",7,4654704
"<5043, 0>",8,6022937
"<5043, 0>",9,7661275
"<5043, 0>",10,9617923
"<5043, 0>",11,13273107
"<5043, 0>",12,16290434
"<5043, 0>",13,19866666
"<5043, 0>",14,24098333
"<5043, 0>",15,26493411
"<5043, 0>",16,34914474
"<5043, 0>",17,51074457
"<5043, 0>",18,92244824
"<5043, 0>",19,179039272
"<5043, 0>",20,336444335
"<5044, 0>",1,0
"<5044, 0>",2,3231
"<5044, 0>",3,12800
"<5044, 0>",4,40989
"<5044, 0>",5,100135
"<5044, 0>",6,211327
"<5044, 0>",7,405127
"<5044, 0>",8,725407
"<5044, 0>",9,1233246
"<5044, 0>",10,1787625
"<5044, 0>",11,2542674
"<5044, 0>",12,3559207
"<5044, 0>",13,5457809
"<5044, 0>",14,7421828
"<5044, 0>",15,9995559
"<5044, 0>",16,17606398
"<5044, 0>",17,31043282
"<5044, 0>",18,56093893
"<5044, 0>",19,99961281
"<5044, 0>",20,342039899
"<5024, 0>",1,0
"<5024, 0>",2,49725
"<5024, 0>",3,145439
"<5024, 0>",4,315034
"<5024, 0>",5,514379
"<5024, 0>",6,800194
"<5024, 0>",7,1201538
"<5024, 0>",8,1755917
"<5024, 0>",9,2510966
"<5024, 0>",10,3527499
"<5024, 0>",11,5426101
"<5024, 0>",12,7390120
"<5024, 0>",13,9963851
"<5024, 0>",14,14640290
"<5024, 0>",15,17657617
"<5024, 0>",16,25480618
"<5024, 0>",17,40744826
"<5024, 0>",18,67017671
"<5024, 0>",19,129889945
"<5024, 0>",20,341913067
"<5025, 0>",1,0
"<5025, 0>",2,70
"<5025, 0>",3,378
"<5025, 0>",4,1932
"<5025, 0>",5,8599
"<5025, 0>",6,34646
"<5025, 0>",7,84371
"<5025, 0>",8,180085
"<5025, 0>",9,349680
"<5025, 0>",10,633439
"<5025, 0>",11,1087435
"<5025, 0>",12,1790563
"<5025, 0>",13,2851786
"<5025, 0>",14,4917656
"<5025, 0>",15,7424766
"<5025, 0>",16,13223702
"<5025, 0>",17,28307621
"<5025, 0>",18,56100356
"<5025, 0>",19,99970095
"<5025, 0>",20,342051651
"<5030, 0>",1,0
"<5030, 0>",2,70
"<5030, 0>",3,378
"<5030, 0>",4,1932
"<5030, 0>",5,8599
"<5030, 0>",6,34646
"<5030, 0>",7,84371
"<5030, 0>",8,180085
"<5030, 0>",9,349680
"<5030, 0>",10,633439
"<5030, 0>",11,1087435
"<5030, 0>",12,1790563
"<5030, 0>",13,2851786
"<5030, 0>",14,4917656
"<5030, 0>",15,7424766
"<5030, 0>",16,13223702
"<5030, 0>",17,28307621
"<5030, 0>",18,56100356
"<5030, 0>",19,99970095
"<5030, 0>",20,342051651
"<5045, 0>",1,0
"<5045, 0>",2,9569
"<5045, 0>",3,37758
"<5045, 0>",4,96904
"<5045, 0>",5,208096
"<5045, 0>",6,401896
"<5045, 0>",7,722176
"<5045, 0>",8,1081266
"<5045, 0>",9,1579774
"<5045, 0>",10,2261831
"<5045, 0>",11,3183608
"<5045, 0>",12,4911487
"<5045, 0>",13,6703256
"<5045, 0>",14,9056935
"<5045, 0>",15,12127847
"<5045, 0>",16,21223313
"<5045, 0>",17,37263203
"<5045, 0>",18,67080320
"<5045, 0>",19,129975376
"<5045, 0>",20,342026975
"<5046, 0>",1,0
"<5046, 0>",2,49725
"<5046, 0>",3,145439
"<5046, 0>",4,315034
"<5046, 0>",5,514379
"<5046, 0>",6,800194
"<5046, 0>",7,1201538
"<5046, 0>",8,1755917
"<5046, 0>",9,2510966
"<5046, 0>",10,3527499
"<5046, 0>",11,5426101
"<5046, 0>",12,7390120
"<5046, 0>",13,9963851
"<5046, 0>",14,14640290
"<5046, 0>",15,17657617
"<5046, 0>",16,25480618
"<5046, 0>",17,40744826
"<5046, 0>",18,67017671
"<5046, 0>",19,129889945
"<5046, 0>",20,341913067
"<5048, 0>",1,0
"<5048, 0>",2,9569
"<5048, 0>",3,37758
"<5048, 0>",4,96904
"<5048, 0>",5,208096
"<5048, 0>",6,401896
"<5048, 0>",7,722176
"<5048, 0>",8,1081266
"<5048, 0>",9,1579774
"<5048, 0>",10,2261831
"<5048, 0>",11,3183608
"<5048, 0>",12,4911487
"<5048, 0>",13,6703256
"<5048, 0>",14,9056935
"<5048, 0>",15,12127847
"<5048, 0>",16,21223313
"<5048, 0>",17,37263203
"<5048, 0>",18,67080320
"<5048, 0>",19,129975376
"<5048, 0>",20,342026975
"<5049, 0>",1,0
"<5049, 0>",2,49725
"<5049, 0>",3,145439
"<5049, 0>",4,315034
"<5049, 0>",5,514379
"<5049, 0>",6,800194
"<5049, 0>",7,1201538
"<5049, 0>",8,1755917
"<5049, 0>",9,2510966
"<5049, 0>",10,3527499
"<5049, 0>",11,5426101
"<5049, 0>",12,7390120
"<5049, 0>",13,9963851
"<5049, 0>",14,14640290
"<5049, 0>",15,17657617
"<5049, 0>",16,25480618
"<5049, 0>",17,40744826
"<5049, 0>",18,67017671
"<5049, 0>",19,129889945
"<5049, 0>",20,341913067
"<5050, 0>",1,0
"<5050, 0>",2,9569
"<5050, 0>",3,37758
"<5050, 0>",4,96904
"<5050, 0>",5,208096
"<5050, 0>",6,401896
"<5050, 0>",7,722176
"<5050, 0>",8,1081266
"<5050, 0>",9,1579774
"<5050, 0>",10,2261831
"<5050, 0>",11,3183608
"<5050, 0>",12,4911487
"<5050, 0>",13,6703256
"<5050, 0>",14,9056935
"<5050, 0>",15,12127847
"<5050, 0>",16,21223313
"<5050, 0>",17,37263203
"<5050, 0>",18,67080320
"<5050, 0>",19,129975376
"<5050, 0>",20,342026975
"<5052, 0>",1,0
"<5247, 0>",1,0
"<5051, 0>",1,0
"<5051, 0>",2,199345
"<5051, 0>",3,485160
"<5051, 0>",4,886504
"<5051, 0>",5,1440883
"<5051, 0>",6,1918320
"<5051, 0>",7,2502106
"<5051, 0>",8,3212465
"<5051, 0>",9,4567976
"<5051, 0>",10,5706853
"<5051, 0>",11,7075086
"<5051, 0>",12,8713424
"<5051, 0>",13,10670072
"<5051, 0>",14,14325256
"<5051, 0>",15,17342583
"<5051, 0>",16,25102578
"<5051, 0>",17,40240771
"<5051, 0>",18,66324596
"<5051, 0>",19,128944843
"<5051, 0>",20,340652931
"<5042, 0>",1,0
"<5042, 0>",2,3231
"<5042, 0>",3,12800
"<5042, 0>",4,40989
"<5042, 0>",5,100135
"<5042, 0>",6,211327
"<5042, 0>",7,405127
"<5042, 0>",8,725407
"<5042, 0>",9,1233246
"<5042, 0>",10,1787625
"<5042, 0>",11,2542674
"<5042, 0>",12,3559207
"<5042, 0>",13,5457809
"<5042, 0>",14,7421828
"<5042, 0>",15,9995559
"<5042, 0>",16,17606398
"<5042, 0>",17,31043282
"<5042, 0>",18,56093893
"<5042, 0>",19,99961281
"<5042, 0>",20,342039899
"<5053, 0>",1,0
"<5053, 0>",2,285815
"<5053, 0>",3,538410
"<5053, 0>",4,852804
"<5053, 0>",5,1241538
"<5053, 0>",6,1718975
"<5053, 0>",7,2302761
"<5053, 0>",8,3013120
"<5053, 0>",9,4368631
"<5053, 0>",10,5507508
"<5053, 0>",11,6875741
"<5053, 0>",12,8514079
"<5053, 0>",13,10470727
"<5053, 0>",14,14125911
"<5053, 0>",15,17143238
"<5053, 0>",16,24863364
"<5053, 0>",17,39921819
"<5053, 0>",18,65886037
"<5053, 0>",19,128346808
"<5053, 0>",20,339855551
"<5054, 0>",1,0
"<5054, 0>",2,3231
"<5054, 0>",3,12800
"<5054, 0>",4,40989
"<5054, 0>",5,100135
"<5054, 0>",6,211327
"<5054, 0>",7,405127
"<5054, 0>",8,725407
"<5054, 0>",9,1233246
"<5054, 0>",10,1787625
"<5054, 0>",11,2542674
"<5054, 0>",12,3559207
"<5054, 0>",13,5457809
"<5054, 0>",14,7421828
"<5054, 0>",15,9995559
"<5054, 0>",16,17606398
"<5054, 0>",17,31043282
"<5054, 0>",18,56093893
"<5054, 0>",19,99961281
"<5054, 0>",20,342039899
"<5055, 0>",1,0
"<5055, 0>",2,69833
"<5055, 0>",3,198382
"<5055, 0>",4,352935
"<5055, 0>",5,578309
"<5055, 0>",6,898981
"<5055, 0>",7,1346699
"<5055, 0>",8,1962017
"<5055, 0>",9,2796656
"<5055, 0>",10,4367416
"<5055, 0>",11,6001403
"<5055, 0>",12,8152433
"<5055, 0>",13,10964622
"<5055, 0>",14,14619806
"<5055, 0>",15,17637133
"<5055, 0>",16,25456038
"<5055, 0>",17,40712051
"<5055, 0>",18,66972606
"<5055, 0>",19,129828493
"<5055, 0>",20,341831131
"<5056, 0>",1,0
"<5056, 0>",2,3231
"<5056, 0>",3,12800
"<5056, 0>",4,40989
"<5056, 0>",5,100135
"<5056, 0>",6,211327
"<5056, 0>",7,405127
"<5056, 0>",8,725407
"<5056, 0>",9,1233246
"<5056, 0>",10,1787625
"<5056, 0>",11,2542674
"<5056, 0>",12,3559207
"<5056, 0>",13,5457809
"<5056, 0>",14,7421828
"<5056, 0>",15,9995559
"<5056, 0>",16,17606398
"<5056, 0>",17,31043282
"<5056, 0>",18,56093893
"<5056, 0>",19,99961281
"<5056, 0>",20,342039899
"<5057, 0>",1,0
"<5057, 0>",2,285815
"<5057, 0>",3,538410
"<5057, 0>",4,852804
"<5057, 0>",5,1241538
"<5057, 0>",6,1718975
"<5057, 0>",7,2302761
"<5057, 0>",8,3013120
"<5057, 0>",9,4368631
"<5057, 0>",10,5507508
"<5057, 0>",11,6875741
"<5057, 0>",12,8514079
"<5057, 0>",13,10470727
"<5057, 0>",14,14125911
"<5057, 0>",15,17143238
"<5057, 0>",16,24863364
"<5057, 0>",17,39921819
"<5057, 0>",18,65886037
"<5057, 0>",19,128346808
"<5057, 0>",20,339855551
"<5058, 0>",1,0
"<5058, 0>",2,285815
"<5058, 0>",3,538410
