Name,ModSellPriceTypesKeys
IncreasedLife,"[<1, 0>]"
FireDamage,"[<0, 0>]"
FireDamageWithBows,"[<0, 0>]"
FireDamageWithBowsJewel,"[<0, 0>]"
ColdDamage,"[<0, 0>]"
LightningDamage,"[<0, 0>]"
EnergyShield,"[<1, 0>]"
EnergyShieldImplicit,"[<1, 0>]"
LocalEnergyShield,"[<1, 0>]"
LocalEnergyShieldPercent,"[<1, 0>]"
LocalEnergyShieldPercentSuffix,"[<2, 0>]"
IncreasedMana,"[<0, 0>]"
LocalIncreasedPhysicalDamagePercentAndAccuracyRating,"[<1, 0>]"
LocalColdDamage,"[<0, 0>]"
LocalColdDamageTwoHand,"[<0, 0>]"
LocalColdDamageRanged,"[<0, 0>]"
PhysicalDamage,"[<1, 0>]"
PhysicalDamageWithBows,"[<1, 0>]"
PhysicalDamageWithBowsJewel,[]
LifeLeech,"[<1, 0>]"
LifeLeechLocal,"[<1, 0>]"
LifeLeechPermyriad,"[<1, 0>]"
LifeLeechLocalPermyriad,"[<1, 0>]"
MonsterLifeLeech,[]
MonsterLifeLeechAndDegen,[]
ManaLeech,"[<2, 0>]"
ManaLeechLocal,"[<2, 0>]"
ManaLeechPermyriad,"[<2, 0>]"
ManaLeechLocalPermyriad,"[<2, 0>]"
AdditionalArrows,"[<6, 0>]"
LocalKnockback,"[<4, 0>]"
CannotBeFrozen,"[<5, 0>]"
CannotBeSlowedBelowValue,[]
ShieldArmourIncrease,"[<1, 0>]"
MaxQuality,[]
IncreasedShieldBlockPercentage,"[<5, 0>]"
LocalEvasionRatingIncreasePercent,"[<1, 0>]"
LocalEvasionRatingIncreasePercentSuffix,"[<2, 0>]"
LocalEvasionRatingAndStunRecoveryIncreasePercent,"[<1, 0>]"
LocalPhysicalDamageReductionRatingAndStunRecoveryPercent,"[<1, 0>]"
LocalPhysicalDamageReductionRatingPercentAndBlockChance,"[<1, 0>]"
LocalEnergyShieldAndStunRecoveryPercent,"[<1, 0>]"
GlobalEvasionRatingPercent,"[<1, 0>]"
GlobalEvasionAndArmourPercent,"[<6, 0>]"
MonsterEvasionRatingPercent,[]
LocalPhysicalDamage,"[<2, 0>]"
LocalPhysicalDamageTwoHanded,"[<2, 0>]"
EvasionRating,"[<1, 0>]"
LocalEvasionRating,"[<1, 0>]"
PhysicalDamageReductionRating,"[<1, 0>]"
LocalPhysicalDamageReductionRating,"[<1, 0>]"
GlobalPhysicalDamageReductionRatingPercent,"[<1, 0>]"
GlobalPhysicalDamageReductionRatingPercentUnused,"[<1, 0>]"
MonsterPhysicalDamageReductionRatingPercent,[]
LocalPhysicalDamageReductionRatingPercent,"[<1, 0>]"
LocalPhysicalDamageReductionRatingPercentSuffix,"[<2, 0>]"
GlobalEnergyShieldPercent,"[<1, 0>]"
