Id,Unknown0,IsSummoned,Armour,Evasion,EnergyShieldFromLife,DamageSpread,MonsterResistancesKey,IsLargeAbyssMonster,IsSmallAbyssMonster,Flag0
BloodMonkey,100,False,0,15,0,20,"<1, 0>",False,False,False
BloodMonkey2,100,False,0,15,0,20,"<1, 0>",False,False,False
BloodMonkeySideArea,100,False,0,15,0,20,"<37, 0>",False,False,False
BloodMonkeyBossInvasion,100,False,0,15,0,20,"<37, 0>",False,False,False
BloodMonkeyBossEndlessLedge,100,False,0,15,0,20,"<25, 0>",False,False,False
BloodMonkeyMapBoss,100,False,0,15,0,20,"<34, 0>",False,False,False
BloodMonkeyBossDescent,100,False,0,15,0,20,"<0, 0>",False,False,False
BloodMonkeyEnrage,100,False,0,15,0,20,"<1, 0>",False,False,False
BloodMonkeyTalisman,100,False,0,15,0,20,"<1, 0>",False,False,False
BloodMonkeyTalismanSummoned,100,False,0,15,0,20,"<37, 0>",False,False,False
BloodMonkeyParasite,100,False,0,15,0,20,"<1, 0>",False,False,False
BloodMonkeyUltimatum,100,False,0,15,0,20,"<1, 0>",True,False,False
Flamebearer,100,False,0,0,0,20,"<1, 0>",False,False,False
FlamebearerPurple,100,False,0,0,0,20,"<14, 0>",False,False,False
FlamebearerChampion,100,False,0,0,0,20,"<14, 0>",False,False,False
Flamebearer2,100,False,0,0,0,20,"<1, 0>",False,False,False
FlamebearerBossStrIntMission,100,False,0,0,0,20,"<25, 0>",False,False,False
FlamebearerBoss,100,False,0,0,0,20,"<25, 0>",False,False,False
FlamebearerBossInvasion,100,False,0,0,0,20,"<37, 0>",False,False,False
FlamebearerBossDocks,100,False,0,0,0,20,"<25, 0>",False,False,False
FlamebearerMapBoss,100,False,0,0,0,20,"<34, 0>",False,False,False
FlamebearerBossEndlessLedge,100,False,0,0,0,20,"<25, 0>",False,False,False
FlamebearerStationaryDefensive,100,False,0,0,0,0,"<1, 0>",False,False,False
Spawn,100,False,0,10,0,20,"<2, 0>",False,False,True
SpawnBossInvasion,100,False,0,10,0,20,"<37, 0>",False,False,False
SpawnTiny,100,False,0,10,0,20,"<2, 0>",False,False,True
ProphecySpawn,100,False,0,10,0,20,"<2, 0>",False,False,True
TestSpawn,500,False,0,0,0,0,"<0, 0>",False,False,True
MerveilSpawn,100,False,0,10,0,20,"<2, 0>",False,False,True
AnimTest,100,False,0,0,0,0,"<0, 0>",False,False,False
SandSpitterBossDeep,100,False,0,0,0,20,"<27, 0>",False,False,True
SandSpitterBossInvasion,100,False,0,0,0,20,"<37, 0>",False,False,True
SandSpitterFromCrabBossInvasion,100,False,0,0,0,20,"<37, 0>",False,False,True
SandSpitterBossLedge,100,False,0,0,0,20,"<27, 0>",False,False,True
SandSpitterEmerge,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterEmergeCoast,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterEmergeSideArea,100,False,0,0,0,20,"<37, 0>",False,False,True
SandSpitter,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterTwilightStrand,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterCavern,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitter1bResist,100,False,0,0,0,20,"<11, 0>",False,False,True
SandSpitterUntaintedBoss,100,False,0,0,0,20,"<34, 0>",False,False,True
SandSpitterMaps,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterBossSideArea,100,False,0,0,0,20,"<37, 0>",False,False,True
SandSpitterBossSideAreaLowbie,100,False,0,0,0,20,"<37, 0>",False,False,True
SandSpitterProphecyBossSummoned,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterProphecyBossSummonedMap,100,False,0,0,0,20,"<3, 0>",False,False,True
SandSpitterRoyale,100,False,0,0,0,20,"<3, 0>",False,False,True
Scavenger,100,False,0,15,0,20,"<0, 0>",False,False,False
ScavengerFireFury,100,False,0,15,0,20,"<0, 0>",False,False,False
ScavengerFireFuryMapBoss,100,False,0,15,0,20,"<34, 0>",False,False,False
ScavengerBoss,100,False,0,15,0,20,"<0, 0>",False,False,False
Spider,100,False,0,0,0,20,"<3, 0>",False,False,True
WeaverSpider,100,False,0,0,0,20,"<3, 0>",False,False,True
VaalSpider,100,False,0,0,0,20,"<3, 0>",False,False,True
SpiderWildSmall,100,False,0,0,0,20,"<3, 0>",False,False,True
SpiderWildMedium,100,False,0,0,0,20,"<3, 0>",False,False,False
SpiderWildLarge,100,False,0,0,0,20,"<3, 0>",False,False,False
SpiderChampion,100,False,0,0,0,20,"<20, 0>",False,False,True
SpiderShaped,100,False,0,0,0,20,"<8, 0>",False,False,True
EssenceSpiderSmall,100,False,0,0,0,20,"<3, 0>",False,False,True
SpiderLabyrinthSmall,100,False,0,0,0,20,"<3, 0>",False,False,True
SpiderSmallSinsMinion,100,False,0,0,0,20,"<3, 0>",False,False,True
IntMissionSpider,100,False,0,0,0,20,"<23, 0>",False,False,True
MapSpider,100,False,0,0,0,20,"<34, 0>",False,False,True
SpiderLowRewards,100,False,0,0,0,20,"<3, 0>",False,False,False
TinySpider,100,False,0,0,0,20,"<3, 0>",False,False,True
TinySpiderMinionFromUnique,340,True,0,0,0,20,"<41, 0>",False,False,False
BarrelOfSpidersSmall,100,False,0,0,0,20,"<3, 0>",False,False,True
BarrelOfSpidersMedium,100,False,0,0,0,20,"<3, 0>",False,False,True
BarrelOfSpidersLarge,100,False,0,0,0,20,"<3, 0>",False,False,True
BarrelOfSpidersBoss,100,False,0,0,0,20,"<33, 0>",False,False,True
WeaverTinySpider,100,False,0,0,0,20,"<3, 0>",False,False,True
TalismanSpider,100,False,0,0,0,20,"<3, 0>",False,False,False
TalismanSpiderMinion,100,False,0,0,0,20,"<3, 0>",False,False,False
SpiderPlague,100,False,0,0,0,20,"<12, 0>",False,False,False
SpiderPlagueCrawler,100,False,0,0,0,20,"<47, 0>",False,False,False
SpiderPlagueMinion,100,False,0,0,0,20,"<0, 0>",False,False,False
SpiderPlagueChampion,100,False,0,0,0,20,"<12, 0>",False,False,False
SpiderPlagueBaby,100,False,0,0,0,20,"<47, 0>",False,False,False
SpiderPlated,100,False,0,0,0,20,"<14, 0>",False,False,False
SpiderPlatedChampion,100,False,0,0,0,20,"<14, 0>",False,False,False
SpiderPlatedUnholyEmerge,100,False,0,0,0,20,"<0, 0>",False,False,False
Zombie,100,False,50,0,0,30,"<2, 0>",False,False,False
ZombieTutorial,100,False,50,0,0,30,"<2, 0>",False,False,False
ZombieTolman,100,False,50,0,0,30,"<2, 0>",False,False,False
ZombieTolmanFast,100,False,50,0,0,30,"<2, 0>",False,False,False
BlightZombieBossMinion,100,False,50,0,0,30,"<2, 0>",False,False,False
ZombieDoedreMinion,100,False,50,0,0,30,"<2, 0>",False,False,False
