Id,X,Y,IsMajorGod,CoverImage,GodName2,SelectionImage,Effect1_StatsKeys,Effect1_Values,Effect2_StatsKeys,GodName3,Effect3_Values,Effect3_StatsKeys,GodName4,Effect4_StatsKeys,Effect4_Values,GodName1,Effect2_Values,QuestState1,QuestState2,QuestState3,QuestState4,IsDisabled,Unknown0
TheBrineKing,60,242,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft,"Nassar, León de los mares",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6440, 0>]",[1],"[<221, 0>]","Litanius, el Orador oscuro",[100],"[<191, 0>]","Poporo, la Aguja más alta","[<2593, 0>]",[-50],Alma del Rey del mar,[30],1165,1390,1391,1392,False,"[<6981, 0>]"
Arakaali,760,300,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight,Murgeth Bogsong,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<542, 0>]",[-10],"[<5848, 0>]",Arachnoxia,[20],"[<6346, 0>]",Hilandera de falsa esperanza,"[<6104, 0>]",[40],Alma de Arakaali,[20],1295,1393,1394,1395,False,"[<6981, 0>]"
Solaris,560,357,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight,Visión de justicia,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6169, 0>, <6170, 0>]","[6, 20]","[<6171, 0>]",Belicista,[1],"[<6172, 0>]","Kitava, el Destructor","[<6175, 0>]",[50],Alma de Solaris,[-8],1427,1396,1397,1398,False,"[<6981, 0>]"
Lunaris,354,386,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft,Trampa de túnel,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6176, 0>, <6177, 0>]","[1, 1]","[<6178, 0>]",Heraldo de Trueno,[-6],"[<15385, 0>]",La sirena sanguina,"[<6180, 0>]",[100],Alma de Lunaris,[10],1427,1399,1400,1401,False,"[<6981, 0>]"
Minor God 1,780,517,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Minor God 2,682,550,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Abberath,328,584,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,"Mephod, Calcinatierra",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<14739, 0>]",[-60],"[<6926, 0>, <5849, 0>]",,[],[],,[],[],Alma de Abberath,"[1, 10]",1201,1403,72,72,False,[]
Minor God 4,359,794,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Gruthkul,425,609,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,"Erebix, Flagelo de la luz",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<5858, 0>]",[1],"[<6161, 0>]",,[],[],,[],[],Alma de Gruthkul,[-8],1387,1406,72,72,False,[]
Yugul,225,627,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,"Varhesh, Aberración brillante",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<10944, 0>, <14740, 0>]","[-50, 50]","[<1278, 0>]",,[],[],,[],[],Alma de Yugul,[-30],1439,1407,72,72,False,[]
Shakari,703,566,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,La sombra incesante,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<11845, 0>, <11846, 0>]","[-50, 3]","[<3424, 0>, <6528, 0>]",,[],[],,[],[],Alma de Shakari,"[-5, -25]",1630,1408,72,72,False,[]
Tukohama,335,711,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,"Tahsin, Creador de guerras",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<5851, 0>]",[3],"[<11803, 0>]",,[],[],,[],[],Alma de Tukohama,[120],1176,1402,72,72,False,[]
Minor God 9,547,725,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Ralakesh,515,747,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,"Drek, Cazador alfa",Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<6168, 0>, <3385, 0>]","[-25, 1]","[<14373, 0>]",,[],[],,[],[],Alma de Ralakesh,[1],1274,1405,72,72,False,[]
Garukhan,101,501,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,Acechador de las dunas interminables,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<3590, 0>]",[-60],"[<2402, 0>, <5862, 0>]",,[],[],,[],[],Alma de Garukhan,"[1, 100]",1567,1409,72,72,False,[]
Ryslatha,524,664,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,Asha Invocasol,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<5854, 0>]",[3],"[<5855, 0>]",,[],[],,[],[],Alma de Ryslatha,[60],1194,1404,72,72,False,[]