Id,X,Y,IsMajorGod,CoverImage,GodName2,SelectionImage,Effect1_StatsKeys,Effect1_Values,Effect2_StatsKeys,GodName3,Effect3_Values,Effect3_StatsKeys,GodName4,Effect4_StatsKeys,Effect4_Values,GodName1,Effect2_Values,QuestState1,QuestState2,QuestState3,QuestState4,IsDisabled,Unknown0
TheBrineKing,60,242,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft,นาสซาร์ สิงห์แห่งท้องทะเล,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6440, 0>]",[1],"[<221, 0>]",ลิทาเนียส ผู้สวดมืดดำ,[100],"[<191, 0>]",โพโพโร ยอดแหลมผู้สูงยิ่ง,"[<2593, 0>]",[-50],วิญญาณราชันน้ำเค็ม,[30],1165,1390,1391,1392,False,"[<6981, 0>]"
Arakaali,760,300,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight,เมอร์เกธ บ็อกซอง,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<542, 0>]",[-10],"[<5848, 0>]",อารัคน็อกเซีย,[20],"[<6346, 0>]",ผู้ถักทอความหวังอันลวงหลอก,"[<6104, 0>]",[40],วิญญาณอาราคาลี,[20],1295,1393,1394,1395,False,"[<6981, 0>]"
Solaris,560,357,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight,นิมิตแห่งความยุติธรรม,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6169, 0>, <6170, 0>]","[6, 20]","[<6171, 0>]",ผู้ทำสงคราม,[1],"[<6172, 0>]",คิทาวา ผู้ทำลายล้าง,"[<6175, 0>]",[50],วิญญาณโซลาริส,[-8],1427,1396,1397,1398,False,"[<6981, 0>]"
Lunaris,354,386,True,Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft,ทันเนลแทร็ป,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge,"[<6176, 0>, <6177, 0>]","[1, 1]","[<6178, 0>]",สาส์นแห่งสายฟ้า,[-6],"[<15385, 0>]",พรายโลหิต,"[<6180, 0>]",[100],วิญญาณลูนาริส,[10],1427,1399,1400,1401,False,"[<6981, 0>]"
Minor God 1,780,517,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Minor God 2,682,550,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Abberath,328,584,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,เมฟ็อด ผู้เผาปฐพี,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<14739, 0>]",[-60],"[<6926, 0>, <5849, 0>]",,[],[],,[],[],วิญญาณแอ็บเบอร์แรธ,"[1, 10]",1201,1403,72,72,False,[]
Minor God 4,359,794,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
Gruthkul,425,609,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,เอเรบิกซ์ หายนะแก่สรรพแสง,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<5858, 0>]",[1],"[<6161, 0>]",,[],[],,[],[],วิญญาณกรัธท์คัล,[-8],1387,1406,72,72,False,[]
Yugul,225,627,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,วาร์เฮช ระยิบวิปลาส,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<10944, 0>, <14740, 0>]","[-50, 50]","[<1278, 0>]",,[],[],,[],[],วิญญาณยูกูล,[-30],1439,1407,72,72,False,[]
Shakari,703,566,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,วิญญาณผู้มิอาจพัก,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<11845, 0>, <11846, 0>]","[-50, 3]","[<3424, 0>, <6528, 0>]",,[],[],,[],[],วิญญาณชาคารี,"[-5, -25]",1630,1408,72,72,False,[]
Tukohama,335,711,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,ทาห์ซิน ผู้สร้างศึก,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,"[<5851, 0>]",[3],"[<11803, 0>]",,[],[],,[],[],วิญญาณทูโคฮาม่า,[120],1176,1402,72,72,False,[]
Minor God 9,547,725,False,Art/2DArt/UIImages/InGame/Pantheon/CoverSmall,,Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall,[],[],[],,[],[],,[],[],,[],72,72,72,72,True,[]
