BaseItemTypesKey,GrantedEffectsKey,Str,Dex,Int,GemTagsKeys,VaalVariant_BaseItemTypesKey,IsVaalVariant,Description,Consumed_ModsKey,GrantedEffectsKey2,MinionGlobalSkillLevelStat,SupportSkillName,Unknown0,Unknown1,AwakenedVariant,RegularVariant
"<5006, 0>","<0, 0>",0,0,100,"[<11, 0>, <25, 0>, <5, 0>, <4, 0>, <14, 0>, <0, 0>]","<5215, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5215, 0>","<2877, 0>",0,0,100,"[<11, 0>, <25, 0>, <24, 0>, <5, 0>, <4, 0>, <14, 0>, <0, 0>]","<null, null>",True,,"<null, null>","<0, 0>","<null, null>",,True,True,<null>,<null>
"<5007, 0>","<58, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <1, 0>, <38, 0>]","<5224, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5047, 0>","<4881, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <5, 0>]","<5215, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5224, 0>","<67, 0>",0,0,100,"[<11, 0>, <25, 0>, <24, 0>, <4, 0>, <14, 0>, <1, 0>, <38, 0>]","<null, null>",True,,"<null, null>","<58, 0>","<null, null>",,True,True,<null>,<null>
"<5008, 0>","<96, 0>",100,0,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <22, 0>, <35, 0>, <40, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5060, 0>","<4849, 0>",100,0,100,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <5, 0>, <1, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5009, 0>","<7552, 0>",0,100,0,"[<10, 0>, <25, 0>, <22, 0>, <14, 0>, <30, 0>, <13, 0>, <2, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5010, 0>","<4867, 0>",0,60,40,"[<10, 0>, <25, 0>, <13, 0>, <14, 0>, <30, 0>, <33, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5011, 0>","<100, 0>",100,0,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <33, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5012, 0>","<6906, 0>",100,0,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5245, 0>","<102, 0>",100,0,0,"[<9, 0>, <25, 0>, <24, 0>, <13, 0>, <14, 0>, <33, 0>, <7, 0>]","<null, null>",True,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5225, 0>","<4936, 0>",0,0,0,"[<25, 0>, <4, 0>, <5, 0>, <22, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5013, 0>","<7607, 0>",100,0,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <40, 0>, <7, 0>]","<5227, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5227, 0>","<7611, 0>",100,0,0,"[<9, 0>, <25, 0>, <24, 0>, <13, 0>, <14, 0>, <40, 0>, <7, 0>]","<null, null>",True,,"<null, null>","<7607, 0>","<null, null>",,True,True,<null>,<null>
"<5014, 0>","<163, 0>",60,40,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <33, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5015, 0>","<184, 0>",100,0,0,"[<9, 0>, <25, 0>, <13, 0>, <14, 0>, <22, 0>, <35, 0>, <33, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5016, 0>","<223, 0>",100,0,0,"[<27, 0>, <9, 0>, <25, 0>, <14, 0>, <15, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5017, 0>","<233, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <7, 0>, <36, 0>, <33, 0>]","<5233, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5233, 0>","<7605, 0>",0,100,0,"[<10, 0>, <25, 0>, <24, 0>, <13, 0>, <7, 0>, <36, 0>, <15, 0>, <33, 0>]","<null, null>",True,,"<null, null>","<233, 0>","<null, null>",,True,True,<null>,<null>
"<5018, 0>","<4915, 0>",40,60,0,"[<10, 0>, <25, 0>, <13, 0>, <14, 0>, <33, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5019, 0>","<241, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <5, 0>, <7, 0>, <36, 0>, <0, 0>, <1, 0>, <2, 0>, <14, 0>, <45, 0>, <6, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5020, 0>","<253, 0>",100,0,0,"[<9, 0>, <25, 0>, <4, 0>, <15, 0>, <34, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5221, 0>","<255, 0>",100,0,0,"[<9, 0>, <25, 0>, <24, 0>, <4, 0>, <15, 0>, <34, 0>]","<null, null>",True,,"<null, null>","<253, 0>","<null, null>",,True,True,<null>,<null>
"<5021, 0>","<259, 0>",40,60,0,"[<47, 0>, <10, 0>, <25, 0>, <13, 0>, <7, 0>, <36, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5022, 0>","<270, 0>",0,60,40,"[<10, 0>, <25, 0>, <13, 0>, <22, 0>, <35, 0>, <7, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5023, 0>","<303, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <5, 0>, <7, 0>, <36, 0>, <6, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5026, 0>","<309, 0>",0,60,40,"[<10, 0>, <25, 0>, <4, 0>, <14, 0>, <0, 0>]","<5226, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5226, 0>","<7606, 0>",0,60,40,"[<10, 0>, <25, 0>, <24, 0>, <4, 0>, <14, 0>, <0, 0>]","<null, null>",True,,"<null, null>","<309, 0>","<null, null>",,True,True,<null>,<null>
"<5027, 0>","<6898, 0>",0,60,40,"[<10, 0>, <25, 0>, <4, 0>, <14, 0>, <0, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5028, 0>","<6907, 0>",0,60,40,"[<10, 0>, <25, 0>, <4, 0>, <5, 0>, <14, 0>, <33, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5029, 0>","<327, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <5, 0>, <6, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5034, 0>","<328, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <5, 0>, <33, 0>, <6, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5035, 0>","<506, 0>",100,0,0,"[<0, 0>, <33, 0>, <9, 0>, <16, 0>]","<null, null>",False,Asiste cualquier habilidad que golpee enemigos.,"<13038, 0>","<null, null>","<null, null>",,True,True,<433>,<null>
"<5036, 0>","<507, 0>",0,100,0,"[<13, 0>, <10, 0>, <16, 0>]","<null, null>",False,Asiste habilidades de ataque.,"<13133, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5037, 0>","<509, 0>",0,100,0,"[<10, 0>, <16, 0>, <5, 0>]","<null, null>",False,Asiste habilidades de proyectiles.,"<13077, 0>","<null, null>","<null, null>",,True,True,<450>,<null>
"<5038, 0>","<511, 0>",0,100,0,"[<10, 0>, <16, 0>, <5, 0>]","<null, null>",False,Asiste habilidades de proyectiles.,"<13065, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5040, 0>","<513, 0>",0,100,0,"[<10, 0>, <16, 0>, <5, 0>]","<null, null>",False,Asiste habilidades de proyectiles.,"<13053, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5041, 0>","<515, 0>",0,100,0,"[<1, 0>, <10, 0>, <16, 0>]","<null, null>",False,Asiste cualquier habilidad que golpee enemigos.,"<13042, 0>","<null, null>","<null, null>",,True,True,<443>,<null>
"<5042, 0>","<517, 0>",40,60,0,"[<13, 0>, <10, 0>, <16, 0>]","<null, null>",False,Asiste habilidades de ataque.,"<13044, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5043, 0>","<518, 0>",0,0,100,"[<11, 0>, <16, 0>, <14, 0>]","<null, null>",False,Asiste cualquier habilidad con un efecto de área.,"<13061, 0>","<null, null>","<null, null>",,True,True,<461>,<null>
"<5044, 0>","<520, 0>",0,0,100,"[<2, 0>, <11, 0>, <16, 0>]","<null, null>",False,Asiste cualquier habilidad que golpee enemigos.,"<13141, 0>","<null, null>","<null, null>",,True,True,<455>,<null>
"<5024, 0>","<7543, 0>",0,40,60,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <1, 0>, <15, 0>]","<5229, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5229, 0>","<7550, 0>",0,40,60,"[<11, 0>, <25, 0>, <24, 0>, <4, 0>, <14, 0>, <15, 0>, <1, 0>]","<null, null>",True,,"<null, null>","<7543, 0>","<null, null>",,True,True,<null>,<null>
"<5025, 0>","<541, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <8, 0>]","<null, null>",False,,"<null, null>","<null, null>","<10265, 0>",,True,True,<null>,<null>
"<5030, 0>","<553, 0>",0,100,0,"[<10, 0>, <25, 0>, <13, 0>, <5, 0>, <14, 0>, <15, 0>, <3, 0>, <6, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5045, 0>","<565, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5046, 0>","<566, 0>",0,100,0,"[<10, 0>, <25, 0>, <4, 0>, <15, 0>, <33, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5048, 0>","<570, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <15, 0>, <0, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5049, 0>","<571, 0>",40,0,60,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <0, 0>]","<5246, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5246, 0>","<7619, 0>",40,0,60,"[<11, 0>, <25, 0>, <24, 0>, <4, 0>, <14, 0>, <0, 0>, <15, 0>]","<null, null>",True,,"<null, null>","<571, 0>","<null, null>",,True,True,<null>,<null>
"<5050, 0>","<613, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <15, 0>, <0, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5051, 0>","<614, 0>",0,0,100,"[<11, 0>, <25, 0>, <4, 0>, <14, 0>, <0, 0>, <1, 0>, <2, 0>, <38, 0>]","<null, null>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5052, 0>","<619, 0>",33,33,34,"[<29, 0>, <25, 0>, <4, 0>]","<5247, 0>",False,,"<null, null>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5247, 0>","<620, 0>",33,33,34,"[<29, 0>, <25, 0>, <24, 0>, <4, 0>]","<null, null>",True,,"<null, null>","<619, 0>","<null, null>",,True,True,<null>,<null>
"<5053, 0>","<621, 0>",60,0,40,"[<47, 0>, <9, 0>, <16, 0>]","<null, null>",False,"Asiste cualquier habilidad. Los esbirros, los tótems, las trampas y las minas no pueden ganar cargas de inspiración.","<13043, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
"<5054, 0>","<626, 0>",0,0,100,"[<47, 0>, <11, 0>, <16, 0>]","<null, null>",False,Asiste cualquier habilidad que golpee enemigos.,"<13078, 0>","<null, null>","<null, null>",,True,True,<null>,<null>
